#
# 3-day summary product time series for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 37.7467
# Lon: -119.5816
# Elev: 1199
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:37:21
# Update Date: 2017-02-20
# Update Time: 10:37:22
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:09:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-05-31,2008,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37852,0.38151,0.38389,0.38566,0.36744,0.37353,0.37755,0.38157,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-03,2008,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37769,0.38088,0.38315,0.38486,0.3682,0.37435,0.3781,0.38173,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-06,2008,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37716,0.38047,0.38269,0.38438,0.36897,0.37503,0.37859,0.38195,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-09,2008,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37685,0.38021,0.38244,0.38413,0.36971,0.37559,0.37902,0.38217,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-12,2008,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3768,0.38013,0.38243,0.38417,0.37045,0.37603,0.37939,0.38245,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-15,2008,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37699,0.38021,0.38266,0.38445,0.37117,0.37635,0.37971,0.38276,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-18,2008,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37728,0.38038,0.38299,0.38486,0.3718,0.37655,0.37994,0.38303,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-21,2008,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37806,0.38087,0.38376,0.38577,0.37249,0.37659,0.38013,0.38345,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-24,2008,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37896,0.38146,0.38466,0.38682,0.37307,0.37649,0.38022,0.38383,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-27,2008,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37993,0.38222,0.38575,0.38798,0.37328,0.37614,0.38007,0.3839,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-30,2008,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38069,0.38282,0.38665,0.38893,0.37336,0.37577,0.37983,0.38379,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
