#
# 3-day summary product time series for armoklahoma
#
# Site: armoklahoma
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 36.6058
# Lon: -97.4888
# Elev: 314
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:37:54
# Update Date: 2017-02-20
# Update Time: 10:37:56
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:12:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-01-05,2003,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35927,0.35944,0.36261,0.3644,0.35458,0.35424,0.35622,0.35757,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-08,2003,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35798,0.35865,0.36195,0.3637,0.35403,0.35398,0.35717,0.35916,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-11,2003,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35724,0.35825,0.36155,0.36328,0.35424,0.3544,0.35847,0.3609,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-14,2003,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35696,0.35813,0.3614,0.36314,0.35493,0.35522,0.35988,0.36257,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-17,2003,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35702,0.35821,0.36142,0.3632,0.35572,0.35609,0.3611,0.36394,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-20,2003,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3576,0.35857,0.36165,0.36351,0.35712,0.35745,0.36243,0.36518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-23,2003,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35835,0.35905,0.36198,0.36391,0.35811,0.35834,0.36317,0.36574,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-26,2003,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35857,0.35901,0.36198,0.36395,0.35652,0.35652,0.36124,0.36365,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-01-29,2003,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35889,0.3591,0.36223,0.36436,0.35426,0.35406,0.35929,0.36201,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-01,2003,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35933,0.35942,0.36277,0.36505,0.35185,0.35153,0.35728,0.36033,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-04,2003,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36006,0.36059,0.36404,0.36616,0.35075,0.35048,0.35633,0.35942,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-07,2003,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36107,0.36216,0.36567,0.36759,0.35013,0.35001,0.35573,0.35874,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-10,2003,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36254,0.36419,0.36794,0.36978,0.35103,0.35133,0.3563,0.35918,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-13,2003,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36402,0.36582,0.36984,0.37181,0.35116,0.352,0.35608,0.35866,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-16,2003,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36593,0.36768,0.37193,0.37408,0.35106,0.35239,0.35559,0.35783,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-19,2003,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36834,0.36961,0.37383,0.37624,0.35046,0.35204,0.35463,0.35653,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-22,2003,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37157,0.37232,0.37646,0.3791,0.34962,0.35131,0.35349,0.3551,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-25,2003,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37637,0.37669,0.38086,0.38366,0.34889,0.35042,0.35258,0.35407,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-02-28,2003,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38224,0.38263,0.38675,0.38931,0.34719,0.34835,0.35078,0.35232,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-03,2003,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38857,0.38914,0.39319,0.39548,0.34493,0.34569,0.34851,0.35018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-06,2003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39523,0.39582,0.3999,0.40216,0.34159,0.34229,0.34544,0.34732,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-09,2003,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40179,0.4024,0.40661,0.40891,0.33794,0.33863,0.3421,0.34427,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-12,2003,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40798,0.40839,0.4128,0.41526,0.3339,0.33458,0.3383,0.3408,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-15,2003,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41222,0.41266,0.41746,0.42018,0.33036,0.33102,0.33504,0.33782,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-18,2003,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41545,0.41607,0.42136,0.42442,0.32762,0.32822,0.33249,0.33548,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-21,2003,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42247,0.42402,0.42639,0.42776,0.32896,0.3281,0.33029,0.33194,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-24,2003,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.43274,0.43513,0.43347,0.43248,0.33172,0.32915,0.32873,0.32866,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-27,2003,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44368,0.44515,0.44414,0.44352,0.33038,0.32877,0.32937,0.32987,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-03-30,2003,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45379,0.45341,0.45363,0.45378,0.32674,0.32629,0.32717,0.32775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-04-02,2003,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.46207,0.46081,0.46233,0.46327,0.32792,0.32845,0.33031,0.33142,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-04-05,2003,95,2,armoklahoma_2003_04_05_070429.jpg,95.60919,131.41061,52.08682,0.47083,0.34255,92.68509,2.9241,128.86429,2.54631,53.00378,0.91696,0.46934,0.0015,0.46934,0.47008,0.47053,0.3375,0.00505,0.3375,0.34003,0.34154,10.31919,2,0,0,0,0,0.46932,0.46891,0.47073,0.47183,0.33645,0.33707,0.34029,0.34222,0.01195,0.01222,0.0117,0.01253,0.01368,0.01478,0.01428,0.0148,NA
2003-04-08,2003,98,3,armoklahoma_2003_04_08_070429.jpg,87.95341,128.06713,57.63685,0.46798,0.3214,91.02564,2.57813,127.95592,1.06736,50.04334,5.37037,0.4757,0.00701,0.47418,0.47956,0.48279,0.3385,0.01305,0.34103,0.34705,0.35066,11.14486,2,0,0,0,0,0.47517,0.47494,0.4776,0.47921,0.34277,0.34317,0.34664,0.34871,0.00719,0.00735,0.00704,0.00754,0.00823,0.00889,0.00859,0.0089,NA
2003-04-11,2003,101,3,armoklahoma_2003_04_11_070430.jpg,98.35543,132.1996,47.73148,0.47505,0.35343,98.2481,2.61134,131.13529,1.88888,47.48411,1.76407,0.47373,0.00428,0.47505,0.47662,0.47755,0.35482,0.00188,0.35356,0.35552,0.3567,11.95336,2,0,0,0,0,0.47891,0.47812,0.48254,0.4852,0.3462,0.34662,0.34956,0.35132,0.00679,0.00695,0.00665,0.00712,0.00778,0.0084,0.00812,0.00841,NA
2003-04-14,2003,104,3,armoklahoma_2003_04_14_070431.jpg,92.83793,131.77557,42.2846,0.49373,0.34784,95.7062,2.47628,133.7003,3.55287,44.47595,1.82879,0.4882,0.00435,0.48776,0.49074,0.49254,0.34946,0.00234,0.34784,0.35031,0.35179,12.738,2,0,0,0,0,0.47908,0.47755,0.48371,0.48741,0.34991,0.35007,0.35262,0.35415,0.00663,0.00678,0.00649,0.00695,0.00759,0.0082,0.00792,0.00821,NA
