#
# 3-day summary product time series for asa
#
# Site: asa
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 57.16449
# Lon: 14.7825
# Elev: 180
# UTC Offset: 1
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:38:02
# Update Date: 2017-02-20
# Update Time: 10:38:03
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:14:28
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-08-03,2010,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33271,0.33219,0.33553,0.33968,0.37999,0.38026,0.38753,0.39198,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-06,2010,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33297,0.33261,0.3359,0.33961,0.37959,0.38023,0.38675,0.39149,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-09,2010,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33313,0.3329,0.33612,0.33946,0.37941,0.38034,0.38624,0.39122,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-12,2010,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33322,0.33309,0.33622,0.33925,0.37943,0.38061,0.386,0.39116,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-15,2010,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33322,0.33317,0.3362,0.33898,0.37967,0.38105,0.38604,0.39134,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-18,2010,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33314,0.33315,0.33606,0.33864,0.3801,0.38163,0.38633,0.39173,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-21,2010,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33297,0.33301,0.33577,0.33823,0.38077,0.38231,0.38691,0.39237,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-24,2010,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33273,0.33278,0.33539,0.33775,0.38163,0.38307,0.38773,0.39321,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-27,2010,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33247,0.33248,0.33497,0.33727,0.38275,0.38404,0.3889,0.39438,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-30,2010,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33213,0.3321,0.33447,0.33671,0.38399,0.38528,0.39025,0.3957,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-02,2010,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33186,0.3318,0.33408,0.33616,0.38526,0.38658,0.39171,0.39722,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-05,2010,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33146,0.33137,0.33357,0.33548,0.38658,0.38774,0.39324,0.3988,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-08,2010,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33087,0.33081,0.33289,0.33461,0.38805,0.38894,0.39489,0.40045,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-11,2010,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3302,0.33019,0.33215,0.33366,0.38969,0.39021,0.39672,0.40228,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-14,2010,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32916,0.32919,0.33103,0.33235,0.39098,0.39117,0.3981,0.40367,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-17,2010,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32767,0.32774,0.3294,0.33055,0.39211,0.39202,0.39917,0.40473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-20,2010,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32591,0.32601,0.3275,0.3285,0.39297,0.39297,0.39991,0.40544,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-23,2010,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32361,0.32371,0.32508,0.326,0.39351,0.39361,0.40036,0.40588,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-26,2010,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32112,0.32121,0.32247,0.32337,0.3936,0.39352,0.40033,0.40579,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-29,2010,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31849,0.31853,0.31975,0.32069,0.39271,0.39213,0.39923,0.4045,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-02,2010,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31555,0.3155,0.31674,0.31777,0.39124,0.38982,0.39748,0.40249,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-05,2010,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.313,0.31288,0.31414,0.31524,0.38932,0.38755,0.39529,0.40013,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-08,2010,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31046,0.31021,0.31185,0.31268,0.38616,0.38466,0.38995,0.39451,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-11,2010,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30808,0.30769,0.30979,0.31027,0.38264,0.38047,0.38391,0.38814,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-14,2010,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30761,0.30723,0.30925,0.3094,0.37851,0.37599,0.37811,0.38244,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-17,2010,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30777,0.30743,0.30927,0.3091,0.37408,0.37221,0.37232,0.37691,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-20,2010,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30819,0.30795,0.30957,0.30909,0.37159,0.36915,0.36901,0.374,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-23,2010,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30916,0.30904,0.31036,0.30956,0.3697,0.36627,0.36662,0.37216,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-26,2010,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30853,0.3085,0.30975,0.3092,0.36651,0.36372,0.36517,0.37112,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-10-29,2010,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30642,0.30648,0.30792,0.30803,0.36226,0.36166,0.36413,0.37055,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-11-01,2010,305,8,asa_2010_11_02_090000.jpg,147.97372,125.30811,139.214,0.30378,0.35873,146.2675,4.07126,123.76791,2.53009,137.05178,2.5989,0.30401,0.00181,0.30395,0.30568,0.30599,0.35926,0.00609,0.35938,0.3616,0.36668,18.02208,2,0,0,0,0,0.30469,0.30479,0.30631,0.3069,0.35884,0.36016,0.3631,0.36926,0.00239,0.0027,0.0027,0.00246,0.00728,0.00754,0.00809,0.0084,NA
2010-11-04,2010,308,16,asa_2010_11_04_120000.jpg,156.87616,134.37507,145.48059,0.30768,0.3592,146.806,7.28166,126.06766,4.97162,139.82158,8.54541,0.30543,0.00184,0.30569,0.30646,0.3076,0.35584,0.01505,0.35874,0.36327,0.36935,17.7093,2,0,0,0,0,0.30368,0.30378,0.30519,0.30604,0.357,0.3592,0.36259,0.36751,0.00153,0.00174,0.00174,0.00158,0.00468,0.0051,0.0052,0.0054,NA
2010-11-07,2010,311,15,asa_2010_11_07_120000.jpg,145.49443,117.41248,128.88728,0.29968,0.37135,147.4281,6.44186,125.92724,6.52728,140.94807,10.17098,0.30386,0.00241,0.30412,0.30577,0.30686,0.35619,0.01484,0.35983,0.36614,0.37245,16.79689,2,0,0,0,0,0.30302,0.30325,0.30448,0.30543,0.3563,0.3588,0.36247,0.36623,0.00127,0.00144,0.00143,0.00131,0.00386,0.00408,0.00429,0.00446,NA
2010-11-10,2010,314,15,asa_2010_11_10_120000.jpg,113.89297,94.21276,115.16458,0.29144,0.35231,118.1345,4.76767,99.7038,4.56164,120.11383,3.83188,0.29493,0.0027,0.29467,0.29687,0.29879,0.34954,0.00435,0.34926,0.3535,0.35491,15.92579,4,0,0,0,0,0.3022,0.30264,0.30368,0.30458,0.35593,0.35849,0.36194,0.36493,0.00121,0.00138,0.00137,0.00125,0.0037,0.00382,0.00411,0.00427,NA
2010-11-13,2010,317,13,asa_2010_11_13_120000.jpg,148.19394,122.91958,132.78843,0.30433,0.36691,145.7742,4.10883,124.73308,1.70552,139.95711,5.21083,0.30388,0.00122,0.30433,0.30478,0.30497,0.35518,0.0103,0.35942,0.36143,0.36202,15.09864,2,0,0,0,0,0.30125,0.30186,0.30276,0.3036,0.35515,0.35768,0.36076,0.36331,0.00123,0.0014,0.00139,0.00127,0.00376,0.00378,0.00418,0.00434,NA
2010-11-16,2010,320,12,asa_2010_11_16_120000.jpg,136.30564,119.20037,138.93559,0.3022,0.34557,144.4639,6.12955,124.58276,3.23822,140.87474,5.20043,0.3039,0.00171,0.30442,0.30496,0.30575,0.35237,0.01095,0.35901,0.35993,0.36336,14.31832,4,0,0,0,0,0.30007,0.30069,0.30171,0.30256,0.35376,0.35621,0.35915,0.36172,0.00121,0.00138,0.00138,0.00125,0.00371,0.00386,0.00412,0.00428,NA
2010-11-19,2010,323,12,asa_2010_11_19_120000.jpg,129.37319,110.20105,131.49797,0.29698,0.34865,134.1541,7.31038,112.31316,6.76788,128.32594,7.92451,0.29957,0.00196,0.29988,0.30099,0.30188,0.35806,0.00928,0.35598,0.35912,0.361,13.58851,4,0,0,0,0,0.29888,0.29944,0.30064,0.30151,0.3517,0.35388,0.35688,0.35967,0.00121,0.00137,0.00137,0.00125,0.00369,0.00397,0.0041,0.00425,NA
2010-11-22,2010,326,9,asa_2010_11_22_120000.jpg,141.22725,117.2076,130.13487,0.30164,0.36345,133.3763,11.34495,112.60134,9.65396,130.41144,7.68131,0.29886,0.00434,0.30164,0.30269,0.30298,0.35411,0.00877,0.35424,0.3608,0.36375,12.91121,4,0,0,0,0,0.29783,0.29827,0.29971,0.30063,0.34892,0.35072,0.35403,0.35717,0.00121,0.00137,0.00137,0.00125,0.00369,0.00397,0.0041,0.00426,NA
2010-11-25,2010,329,9,asa_2010_11_25_120000.jpg,113.87856,98.53877,122.79367,0.29396,0.33972,111.2231,1.63259,95.5988,1.31296,119.4619,2.62055,0.29299,0.00123,0.29263,0.29349,0.29434,0.3409,0.00476,0.34204,0.34332,0.34481,12.28887,5,0,0,0,0,0.29684,0.29713,0.29882,0.29977,0.34534,0.34682,0.35041,0.35394,0.00122,0.00138,0.00138,0.00126,0.00372,0.0039,0.00414,0.0043,NA
2010-11-28,2010,332,9,asa_2010_11_28_120000.jpg,111.98442,98.23191,121.03074,0.29655,0.33807,110.5978,4.50686,98.22884,2.05014,123.99286,7.37717,0.29515,0.00253,0.29407,0.29673,0.29794,0.33246,0.01542,0.33689,0.33807,0.34742,11.72381,5,0,0,0,0,0.29576,0.29579,0.29779,0.29883,0.34048,0.34209,0.34572,0.34974,0.00122,0.00138,0.00138,0.00126,0.00371,0.00384,0.00413,0.00428,NA
2010-12-01,2010,335,6,asa_2010_12_01_120000.jpg,126.33211,108.42656,128.10235,0.29881,0.34816,115.4384,8.01025,100.52165,5.93917,124.32643,5.503,0.29526,0.00378,0.29475,0.29789,0.29995,0.33903,0.01155,0.34218,0.34672,0.34955,11.21833,4,0,0,0,0,0.29489,0.29466,0.29687,0.29797,0.3348,0.33644,0.34013,0.34442,0.00123,0.00139,0.00139,0.00127,0.00375,0.00377,0.00417,0.00433,NA
2010-12-04,2010,338,4,asa_2010_12_04_120000.jpg,107.15672,96.4442,127.93623,0.2909,0.32321,111.9514,4.77867,97.85558,3.52095,122.19886,4.64322,0.29469,0.00326,0.29464,0.29755,0.29816,0.33716,0.0093,0.33818,0.34237,0.34638,10.77448,5,0,0,0,0,0.29471,0.29424,0.29641,0.29746,0.32857,0.33049,0.33368,0.33756,0.00123,0.0014,0.0014,0.00127,0.00376,0.00399,0.00418,0.00434,NA
2010-12-07,2010,341,3,asa_2010_12_07_120000.jpg,107.83237,108.26159,154.87736,0.29183,0.29068,111.9894,3.18041,107.09205,0.90171,144.95458,8.56076,0.29423,0.00288,0.29258,0.29542,0.29713,0.30787,0.01399,0.30799,0.31647,0.32156,10.39402,5,0,0,0,0,0.2948,0.29412,0.29616,0.29713,0.32262,0.32543,0.32743,0.33073,0.00146,0.00166,0.00166,0.00151,0.00446,0.00454,0.00496,0.00515,NA
2010-12-10,2010,344,1,asa_2010_12_09_120000.jpg,116.34961,107.71005,139.72444,0.29608,0.31983,116.3496,0,107.71005,0,139.72444,0,0.29608,0,0.29608,0.29608,0.29608,0.31983,0,0.31983,0.31983,0.31983,10.07846,5,0,0,0,0,0.29506,0.29431,0.29606,0.29689,0.31831,0.32212,0.32253,0.32513,0.00176,0.00199,0.00199,0.00182,0.00537,0.00499,0.00596,0.0062,NA
2010-12-13,2010,347,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29554,0.29492,0.29617,0.29673,0.31529,0.32071,0.31854,0.32014,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-16,2010,350,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29604,0.29558,0.29636,0.2967,0.31363,0.32041,0.31601,0.31673,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-19,2010,353,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29685,0.29656,0.29651,0.29652,0.31608,0.32065,0.31653,0.31645,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-22,2010,356,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29765,0.29753,0.29674,0.29645,0.31955,0.32086,0.31823,0.31749,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-25,2010,359,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29799,0.29792,0.29724,0.29696,0.32337,0.32263,0.32201,0.32128,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-28,2010,362,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29826,0.29823,0.29788,0.2977,0.32866,0.32604,0.32767,0.32717,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-12-31,2010,365,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0.29837,0.29837,0.29825,0.29815,0.33142,0.32826,0.33084,0.33053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-02,2011,2,1,asa_2011_01_03_120000.jpg,114.81472,102.53467,125.96575,0.29866,0.33443,114.8147,0,102.53467,0,125.96575,0,0.29866,0,0.29866,0.29866,0.29866,0.33443,0,0.33443,0.33443,0.33443,10.08091,4,0,0,0,0,0.29833,0.2983,0.29824,0.29818,0.3311,0.32867,0.33074,0.33052,0.00264,0.003,0.00299,0.00273,0.00807,0.0076,0.00897,0.00931,NA
2011-01-05,2011,5,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29804,0.2979,0.29797,0.29797,0.32863,0.32908,0.32858,0.32854,0.00222,0.00252,0.00251,0.00229,0.00677,0.00671,0.00753,0.00782,NA
2011-01-08,2011,8,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2978,0.29768,0.29798,0.29809,0.32706,0.32925,0.32814,0.3284,0.00189,0.00214,0.00214,0.00195,0.00576,0.00573,0.0064,0.00664,NA
2011-01-11,2011,11,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29768,0.29764,0.29823,0.2985,0.32721,0.32914,0.32982,0.33046,0.00169,0.00192,0.00192,0.00175,0.00516,0.00506,0.00574,0.00596,NA
2011-01-14,2011,14,3,asa_2011_01_15_110000.jpg,109.06277,101.78384,132.5672,0.29639,0.31758,109.2745,0.98945,102.51152,0.79038,133.99903,1.08276,0.29646,0.00071,0.29639,0.29688,0.29717,0.31602,0.00206,0.31736,0.31747,0.31754,11.73733,1,0,0,0,0,0.2975,0.29752,0.29832,0.29882,0.32778,0.32943,0.33159,0.33246,0.00156,0.00176,0.00176,0.00161,0.00475,0.00458,0.00528,0.00548,NA
