#
# 1-day summary product time series for ashburnham
#
# Site: ashburnham
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 42.6029
# Lon: -71.926
# Elev: 292
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:53:50
# Update Date: 2017-04-18
# Update Time: 05:16:35
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:15:50
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-11-15,2011,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32026,0.32106,0.32231,0.32265,0.40499,0.40639,0.41117,0.41862,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-16,2011,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32028,0.3211,0.32226,0.32266,0.40448,0.40585,0.41077,0.41749,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-17,2011,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32029,0.32113,0.32221,0.32267,0.40391,0.40522,0.4103,0.41638,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-18,2011,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3203,0.32115,0.32217,0.32269,0.40327,0.40451,0.40977,0.41528,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-19,2011,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3203,0.32116,0.32213,0.32271,0.40257,0.40373,0.40916,0.41421,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-20,2011,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32028,0.32116,0.32209,0.32274,0.40184,0.40291,0.40852,0.41314,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-21,2011,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32026,0.32115,0.32206,0.32276,0.40109,0.40205,0.40783,0.41209,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-22,2011,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32023,0.32113,0.32203,0.32279,0.4003,0.40116,0.40711,0.41105,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-23,2011,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3202,0.32111,0.322,0.32283,0.39948,0.40021,0.40633,0.41003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-11-24,2011,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32016,0.32107,0.32199,0.32287,0.39862,0.39922,0.40551,0.40905,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
