#
# 3-day summary product time series for barrocolorado
#
# Site: barrocolorado
# Veg Type: EB
# ROI ID Number: 0001
# Lat: 9.154
# Lon: -79.848
# Elev: 150
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:38:26
# Update Date: 2017-02-20
# Update Time: 10:38:28
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:16:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-12-21,2012,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36951,0.37495,0.37767,0.37837,0.37427,0.36826,0.37229,0.38187,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-12-24,2012,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36922,0.37461,0.37732,0.37859,0.37375,0.36914,0.37389,0.38265,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-12-27,2012,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36891,0.37428,0.377,0.37875,0.37327,0.36997,0.37534,0.38345,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-12-30,2012,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36858,0.37395,0.37671,0.37886,0.37284,0.37078,0.37666,0.38425,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-02,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36822,0.37363,0.37645,0.37891,0.37244,0.37158,0.37784,0.38508,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-05,2013,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36785,0.37332,0.37623,0.37891,0.37208,0.37235,0.37889,0.3859,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-08,2013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36748,0.373,0.37603,0.37892,0.37176,0.37309,0.37981,0.38678,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-11,2013,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36709,0.37266,0.37586,0.37888,0.37146,0.37379,0.3806,0.38764,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-14,2013,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36668,0.37233,0.37573,0.37845,0.37121,0.37446,0.38113,0.38845,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-17,2013,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36624,0.37204,0.37565,0.37804,0.37102,0.37508,0.38154,0.38917,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-20,2013,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36579,0.37172,0.37559,0.37802,0.37088,0.37578,0.38193,0.38966,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-23,2013,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36535,0.37134,0.37549,0.37806,0.37079,0.37644,0.38225,0.39006,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-26,2013,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36485,0.37097,0.37551,0.37833,0.37074,0.3768,0.38247,0.39018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-01-29,2013,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36428,0.37062,0.37561,0.37879,0.37073,0.37704,0.38258,0.39008,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-01,2013,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36375,0.37015,0.37551,0.37892,0.37075,0.37728,0.38278,0.39014,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-04,2013,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.362,0.36949,0.37514,0.37869,0.37075,0.37741,0.38303,0.39018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-07,2013,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35866,0.36871,0.37464,0.37824,0.37074,0.37752,0.38332,0.39032,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-10,2013,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35515,0.36787,0.37402,0.3773,0.37076,0.37781,0.38397,0.39132,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-13,2013,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3529,0.36702,0.37329,0.37619,0.37085,0.3781,0.38464,0.39232,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-16,2013,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3524,0.36366,0.37143,0.37509,0.37107,0.37842,0.38514,0.39309,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-19,2013,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3528,0.35713,0.36819,0.37388,0.37146,0.37872,0.3856,0.39374,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
