#
# 3-day summary product time series for bitterootvalley
#
# Site: bitterootvalley
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 46.507
# Lon: -114.091
# Elev: 1017
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:38:54
# Update Date: 2017-02-20
# Update Time: 10:38:55
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:20:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2007-06-01,2007,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39818,0.39951,0.40394,0.40574,0.34262,0.34407,0.3506,0.35587,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-04,2007,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39854,0.39928,0.40418,0.40656,0.34046,0.34199,0.34858,0.35412,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-07,2007,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39921,0.39946,0.40467,0.40756,0.3385,0.34016,0.34678,0.35252,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-10,2007,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4002,0.40008,0.40542,0.40876,0.33672,0.3386,0.34522,0.35107,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-13,2007,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40137,0.40096,0.40633,0.41002,0.33515,0.33725,0.34386,0.34976,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-16,2007,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40294,0.40235,0.40755,0.41154,0.33382,0.33617,0.34276,0.34865,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-19,2007,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4049,0.40424,0.40908,0.4133,0.33268,0.33537,0.34191,0.34772,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-22,2007,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40667,0.40601,0.41053,0.41483,0.33171,0.33466,0.34116,0.34685,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-25,2007,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40804,0.40747,0.41182,0.41581,0.33073,0.33397,0.34054,0.34601,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-06-28,2007,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40911,0.40865,0.41292,0.41655,0.32999,0.33343,0.34001,0.34521,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
