#
# 3-day summary product time series for bostoncommon
#
# Site: bostoncommon
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.355912
# Lon: -71.064145
# Elev: 10
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:55:55
# Update Date: 2017-04-18
# Update Time: 05:17:40
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:22:08
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-02-04,2010,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37733,0.3786,0.38095,0.38429,0.29698,0.29764,0.31844,0.3288,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-07,2010,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.377,0.37831,0.381,0.38426,0.29776,0.29867,0.31848,0.32939,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-10,2010,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37676,0.37808,0.38103,0.38421,0.29863,0.29984,0.31876,0.33011,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-13,2010,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3766,0.37792,0.38103,0.38414,0.29959,0.30114,0.31926,0.33094,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-16,2010,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37652,0.37781,0.38102,0.38407,0.30058,0.30253,0.31991,0.33184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-19,2010,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37651,0.37776,0.38103,0.38402,0.3016,0.30399,0.32069,0.33278,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-22,2010,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37662,0.37779,0.38102,0.38398,0.30268,0.30556,0.32168,0.33383,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-25,2010,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37684,0.37788,0.38098,0.38393,0.30383,0.30725,0.32286,0.335,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-02-28,2010,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37702,0.37799,0.38101,0.38395,0.30494,0.30894,0.32408,0.33612,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-03,2010,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37712,0.37812,0.38117,0.38411,0.30608,0.31077,0.32554,0.33732,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-06,2010,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37717,0.37827,0.3814,0.38432,0.30726,0.31277,0.32726,0.33862,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-09,2010,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37715,0.37842,0.3816,0.38451,0.30836,0.31463,0.32878,0.33975,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-12,2010,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37691,0.37849,0.38167,0.38456,0.30919,0.3163,0.32996,0.34057,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-15,2010,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37656,0.37855,0.38172,0.38459,0.30985,0.31795,0.33103,0.34126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-18,2010,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37649,0.3788,0.38194,0.38483,0.31073,0.31954,0.33214,0.34203,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-21,2010,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37678,0.3793,0.38239,0.38535,0.31178,0.32095,0.3332,0.34276,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-24,2010,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37731,0.37995,0.38298,0.38605,0.31282,0.32219,0.33418,0.34339,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-27,2010,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37806,0.38076,0.38377,0.38691,0.31401,0.32348,0.33523,0.34412,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-30,2010,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37897,0.38162,0.38462,0.38777,0.31654,0.3259,0.33739,0.34616,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-02,2010,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38005,0.38259,0.38557,0.38869,0.32002,0.32906,0.34027,0.34907,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-05,2010,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38144,0.38387,0.38689,0.38999,0.32223,0.33095,0.34197,0.35065,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-08,2010,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38303,0.38534,0.38845,0.39153,0.32176,0.3287,0.34112,0.34863,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-11,2010,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38483,0.38701,0.39028,0.39334,0.31975,0.32354,0.33876,0.34433,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-14,2010,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38723,0.38932,0.39277,0.39588,0.31784,0.31957,0.33662,0.34079,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-17,2010,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40015,0.39987,0.40351,0.40581,0.31565,0.31693,0.33482,0.33849,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-20,2010,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42348,0.41875,0.42255,0.4232,0.31249,0.31385,0.33241,0.33581,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-23,2010,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44251,0.43513,0.43906,0.43865,0.3095,0.31169,0.32951,0.33276,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-26,2010,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45354,0.44601,0.44961,0.44879,0.30672,0.31,0.32618,0.32926,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-04-29,2010,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.46047,0.45405,0.45738,0.45649,0.30406,0.30823,0.32296,0.3259,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-05-02,2010,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.46006,0.45699,0.4614,0.46167,0.30244,0.30744,0.32072,0.32365,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-05-05,2010,125,24,bostoncommon_2010_05_06_112648.jpg,72.69278,115.32083,66.70413,0.45274,0.28539,73.11705,6.01414,110.38843,5.38022,56.63319,5.06579,0.45985,0.00638,0.45885,0.46506,0.46662,0.30444,0.01837,0.30767,0.32101,0.32337,64.11303,NA,0,0,0,0,0.4556,0.45646,0.46251,0.46462,0.3017,0.30743,0.31933,0.32236,0.00552,0.00531,0.00475,0.00504,0.01446,0.01855,0.01652,0.01548,NA
2010-05-08,2010,128,143,bostoncommon_2010_05_08_115701.jpg,71.4503,112.40277,79.11003,0.42745,0.27171,72.41576,7.94605,110.40969,12.59688,64.84146,11.77882,0.44483,0.02645,0.45279,0.45877,0.46348,0.29337,0.02625,0.3037,0.31426,0.31823,65.10481,2,0,0,0,0,0.45223,0.45563,0.46239,0.46583,0.30103,0.30726,0.31808,0.32119,0.00325,0.00313,0.00279,0.00296,0.00974,0.0125,0.01114,0.01043,NA
2010-05-11,2010,131,140,bostoncommon_2010_05_11_115720.jpg,80.56292,113.28006,59.47957,0.44718,0.31803,75.6736,6.47226,112.87068,5.8022,61.9533,11.17853,0.45143,0.0173,0.45526,0.46572,0.46905,0.30244,0.02036,0.30705,0.31545,0.31913,65.87556,2,0,0,0,0,0.44943,0.45444,0.46133,0.4656,0.3004,0.30694,0.3169,0.3201,0.00295,0.00284,0.00254,0.00269,0.00775,0.00994,0.00885,0.0083,NA
2010-05-14,2010,134,140,bostoncommon_2010_05_14_115739.jpg,66.70377,107.8839,62.80486,0.45445,0.28099,75.32634,7.46319,112.17513,9.4703,62.84902,9.76095,0.44781,0.02112,0.4533,0.45785,0.46352,0.30106,0.02199,0.3109,0.3182,0.32062,66.60022,2,0,0,0,0,0.44739,0.45325,0.45973,0.46424,0.29913,0.3057,0.31526,0.31857,0.00294,0.00284,0.00253,0.00269,0.00714,0.00916,0.00816,0.00765,NA
2010-05-17,2010,137,143,bostoncommon_2010_05_17_115759.jpg,75.54687,111.31338,56.12288,0.45811,0.31091,74.89097,4.93355,112.239,6.16848,61.15495,8.88872,0.45245,0.01574,0.45659,0.46161,0.46671,0.30193,0.01564,0.30496,0.31243,0.31712,67.27684,2,0,0,0,0,0.44606,0.45213,0.45793,0.46224,0.29712,0.3034,0.31302,0.3165,0.00278,0.00268,0.0024,0.00254,0.00691,0.00887,0.0079,0.0074,NA
2010-05-20,2010,140,149,bostoncommon_2010_05_20_115818.jpg,78.21793,111.64677,58.21342,0.45005,0.3153,73.61215,7.96525,110.824,10.78392,70.97382,12.68643,0.43342,0.02484,0.4427,0.44983,0.45251,0.28856,0.0263,0.29411,0.31196,0.31464,67.90353,2,0,0,0,0,0.44467,0.45066,0.45609,0.4602,0.29512,0.30101,0.31071,0.31443,0.00283,0.00273,0.00244,0.00259,0.00712,0.00913,0.00813,0.00762,NA
2010-05-23,2010,143,132,bostoncommon_2010_05_23_115838.jpg,77.21311,113.01398,61.91266,0.44822,0.30623,74.40613,5.75155,111.97814,5.71631,64.30785,11.77727,0.44734,0.01752,0.45303,0.45789,0.46187,0.29723,0.02007,0.30432,0.30997,0.31383,68.47836,2,0,0,0,0,0.44292,0.44845,0.4541,0.45804,0.29304,0.29828,0.30811,0.31215,0.00265,0.00255,0.00228,0.00242,0.00706,0.00906,0.00807,0.00756,NA
2010-05-26,2010,146,145,bostoncommon_2010_05_26_115858.jpg,77.18464,114.97322,63.19669,0.45025,0.30226,75.81272,5.25255,113.0411,6.45846,66.26031,10.36286,0.44331,0.01611,0.44893,0.45165,0.45433,0.29765,0.02036,0.30241,0.30961,0.31451,68.99979,2,0,0,0,0,0.44115,0.44593,0.45202,0.45571,0.2907,0.29502,0.30512,0.30958,0.00262,0.00252,0.00226,0.00239,0.00682,0.00875,0.00779,0.0073,NA
