#
# 3-day summary product time series for columbiamissouri
#
# Site: columbiamissouri
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.7441
# Lon: -92.1997
# Elev: 232
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:59:29
# Update Date: 2017-04-18
# Update Time: 05:19:09
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:31:53
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-08-21,2006,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34911,0.34536,0.35192,0.35586,0.32658,0.32425,0.32817,0.33185,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-08-24,2006,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34825,0.34629,0.35025,0.35264,0.32926,0.32853,0.33307,0.3357,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-08-27,2006,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34754,0.34679,0.34897,0.35028,0.33102,0.33164,0.33614,0.33794,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-08-30,2006,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3469,0.34697,0.348,0.34862,0.3324,0.3341,0.33801,0.33919,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-02,2006,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3462,0.34657,0.34743,0.34795,0.33317,0.33567,0.33768,0.33849,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-05,2006,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34562,0.34601,0.34714,0.34783,0.33377,0.3368,0.33656,0.33723,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-08,2006,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34502,0.34596,0.34706,0.34772,0.33283,0.33618,0.33604,0.3367,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-11,2006,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34549,0.34612,0.34702,0.34756,0.33535,0.33854,0.33872,0.33939,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-14,2006,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34608,0.34625,0.34694,0.34735,0.33855,0.34117,0.34251,0.34333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-17,2006,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34665,0.3467,0.34706,0.34727,0.34287,0.34387,0.34834,0.3495,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-20,2006,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34536,0.34566,0.34624,0.34659,0.34532,0.34527,0.34967,0.35181,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-23,2006,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34385,0.34448,0.34534,0.34586,0.34698,0.34613,0.34999,0.35302,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-26,2006,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34344,0.34372,0.34477,0.34539,0.34685,0.34545,0.35067,0.35388,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-09-29,2006,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34371,0.34414,0.34513,0.34572,0.34692,0.34587,0.3512,0.35448,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-02,2006,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34452,0.34493,0.34575,0.34625,0.34674,0.34645,0.35172,0.35485,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-05,2006,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34605,0.34614,0.34661,0.3469,0.34591,0.34703,0.35265,0.35514,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-08,2006,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34581,0.34622,0.34669,0.34697,0.34526,0.34726,0.35225,0.3552,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-11,2006,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34485,0.34585,0.34638,0.3467,0.34539,0.34829,0.35262,0.35597,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-14,2006,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34291,0.34502,0.34556,0.34587,0.34728,0.35182,0.35583,0.35839,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-17,2006,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34224,0.34432,0.34488,0.34521,0.35005,0.35559,0.35998,0.36233,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-20,2006,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3415,0.34285,0.3435,0.3439,0.35454,0.36073,0.3654,0.36769,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-23,2006,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34085,0.34103,0.34179,0.34224,0.36161,0.36807,0.37146,0.3735,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-26,2006,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33608,0.33447,0.33593,0.33681,0.37414,0.37983,0.38195,0.38432,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-10-29,2006,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32783,0.32566,0.32782,0.32912,0.38694,0.39145,0.39366,0.39659,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-01,2006,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31312,0.31255,0.31487,0.31626,0.40074,0.40356,0.40948,0.41276,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-04,2006,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30031,0.3015,0.30469,0.3066,0.40619,0.40832,0.41666,0.42079,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-07,2006,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29244,0.29398,0.29785,0.30017,0.40596,0.40756,0.41688,0.42172,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-10,2006,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29671,0.29819,0.30184,0.30402,0.37834,0.37976,0.39819,0.40247,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-13,2006,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30669,0.30802,0.311,0.31279,0.34551,0.34681,0.37113,0.37421,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-16,2006,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31999,0.32128,0.32266,0.32355,0.32969,0.33071,0.33967,0.34052,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-11-19,2006,323,1,columbiamissouri_2006_11_18_144900.jpg,100.46404,103.16408,107.34508,0.33175,0.32306,100.46404,0,103.16408,0,107.34508,0,0.33175,0,0.33175,0.33175,0.33175,0.32306,0,0.32306,0.32306,0.32306,18.97013,NA,0,0,0,0,0.33174,0.33166,0.33167,0.33167,0.32376,0.32366,0.32358,0.32363,0.00368,0.00458,0.00447,0.00505,0.01237,0.01318,0.0101,0.00934,NA
2006-11-22,2006,326,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3326,0.33321,0.33326,0.33326,0.32461,0.32312,0.32855,0.3304,0.00449,0.00414,0.00403,0.00456,0.0097,0.01034,0.00912,0.00843,NA
2006-11-25,2006,329,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33247,0.33296,0.33316,0.33336,0.32355,0.32148,0.32704,0.32997,0.00383,0.00369,0.0036,0.00407,0.00855,0.00911,0.00814,0.00753,NA
2006-11-28,2006,332,3,columbiamissouri_2006_11_28_122000.jpg,115.41293,113.03814,114.3881,0.32971,0.33664,106.34427,6.77475,107.50823,4.39562,110.02841,3.5205,0.332,0.00163,0.33297,0.33315,0.33325,0.32808,0.00612,0.32488,0.33076,0.33429,29.6617,NA,0,0,0,0,0.33171,0.33194,0.33229,0.33268,0.32221,0.32015,0.32387,0.3272,0.00279,0.00312,0.00304,0.00344,0.00767,0.00817,0.00688,0.00636,NA
2006-12-01,2006,335,5,columbiamissouri_2006_12_01_122000.jpg,99.24825,105.00992,114.03413,0.32992,0.31181,89.39364,5.71121,93.33949,6.60257,99.573,8.51939,0.33071,0.00146,0.33082,0.33143,0.33229,0.31688,0.0034,0.31684,0.31722,0.32037,29.34509,NA,0,0,0,0,0.33025,0.33086,0.33118,0.33154,0.3224,0.32097,0.32373,0.32664,0.00231,0.00264,0.00258,0.00291,0.00681,0.00725,0.00583,0.00539,NA
2006-12-04,2006,338,3,columbiamissouri_2006_12_04_122000.jpg,94.99616,97.50657,105.3827,0.32733,0.3189,93.09474,2.3887,95.26707,1.76703,101.66113,2.64191,0.3285,0.00084,0.32888,0.32908,0.3292,0.32098,0.00432,0.3189,0.32295,0.32538,28.92235,NA,0,0,0,0,0.32902,0.32973,0.33001,0.33029,0.32342,0.32304,0.32478,0.32682,0.00222,0.00231,0.00225,0.00254,0.00599,0.00638,0.00508,0.0047,NA
2006-12-07,2006,341,3,columbiamissouri_2006_12_07_122000.jpg,91.2485,91.29269,95.0018,0.32893,0.32877,85.34829,5.75643,85.79227,5.20692,89.68962,4.66854,0.3289,0.00042,0.32893,0.32917,0.32931,0.32706,0.0028,0.32877,0.32904,0.3292,28.56348,NA,0,0,0,0,0.32851,0.32885,0.32913,0.32935,0.32462,0.32551,0.32654,0.32763,0.0022,0.00255,0.00249,0.00281,0.00645,0.00687,0.00563,0.0052,NA
2006-12-10,2006,344,3,columbiamissouri_2006_12_10_122000.jpg,86.93983,86.47279,89.45636,0.32896,0.33073,79.15395,14.62385,79.7892,13.92196,83.79917,13.40907,0.32859,0.00067,0.32896,0.32905,0.32911,0.32528,0.00524,0.3269,0.32882,0.32997,28.26984,NA,0,0,0,0,0.32908,0.32911,0.32968,0.33001,0.32562,0.32743,0.32964,0.33044,0.0022,0.00247,0.0024,0.00272,0.00626,0.00667,0.00543,0.00502,NA
2006-12-13,2006,347,3,columbiamissouri_2006_12_13_122000.jpg,100.60236,99.78771,102.61681,0.32932,0.33201,96.10352,13.98003,96.97127,15.99382,100.63124,17.95275,0.33006,9e-04,0.32952,0.33042,0.33097,0.32818,0.00694,0.33201,0.33305,0.33367,28.04268,NA,0,0,0,0,0.32994,0.32951,0.33027,0.33071,0.32594,0.32847,0.33064,0.33166,0.00196,0.00228,0.00222,0.00251,0.00587,0.00625,0.00503,0.00465,NA
2006-12-16,2006,350,3,columbiamissouri_2006_12_16_122000.jpg,101.50986,100.82599,102.5527,0.3307,0.33294,96.97553,7.31392,98.11277,8.13116,100.72266,7.71166,0.33154,0.00206,0.3307,0.33254,0.33364,0.32791,0.00413,0.32796,0.33045,0.33194,27.883,NA,0,0,0,0,0.33059,0.32993,0.3308,0.33132,0.32591,0.32888,0.33078,0.33212,0.0022,0.00247,0.0024,0.00272,0.0061,0.0065,0.00543,0.00502,NA
2006-12-19,2006,353,3,columbiamissouri_2006_12_19_122000.jpg,75.08991,76.16571,79.84456,0.32958,0.32492,82.552,13.1367,85.21182,10.75885,90.39873,9.27622,0.33005,0.00033,0.33028,0.33028,0.33028,0.31869,0.01454,0.32492,0.32873,0.33102,27.79147,NA,0,0,0,0,0.33015,0.32989,0.33057,0.33098,0.32492,0.32773,0.3298,0.33111,0.0022,0.00246,0.00239,0.0027,0.0061,0.0065,0.00541,0.005,NA
