#
# 3-day summary product time series for contactcreek
#
# Site: contactcreek
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 58.2076
# Lon: -155.9225
# Elev: 200
# UTC Offset: -9
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:39:06
# Update Date: 2017-02-20
# Update Time: 10:39:07
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:32:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-06-16,2010,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34905,0.35037,0.3512,0.35273,0.31664,0.31655,0.32549,0.32776,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-06-19,2010,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35078,0.35187,0.35432,0.35615,0.31531,0.31502,0.32247,0.32536,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-06-22,2010,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35228,0.35317,0.35704,0.35913,0.31413,0.31366,0.32009,0.32351,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-06-25,2010,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35356,0.35424,0.35934,0.36168,0.31312,0.31251,0.31818,0.32206,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-06-28,2010,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3546,0.3551,0.36122,0.36376,0.31227,0.31155,0.3168,0.32104,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-01,2010,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35541,0.35575,0.36269,0.36542,0.31155,0.31074,0.31585,0.32038,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-04,2010,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.356,0.35621,0.36378,0.36668,0.31095,0.31008,0.31554,0.32027,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-07,2010,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35638,0.35652,0.36453,0.36757,0.31047,0.30955,0.31562,0.32048,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-10,2010,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35646,0.35663,0.36474,0.3679,0.31014,0.30921,0.31628,0.32111,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-13,2010,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35624,0.35652,0.36439,0.36762,0.30999,0.30908,0.31712,0.32189,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-16,2010,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35582,0.35625,0.36372,0.367,0.30995,0.30907,0.31761,0.3223,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-19,2010,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35532,0.35586,0.36297,0.3663,0.30996,0.30913,0.31802,0.32263,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-22,2010,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3546,0.35511,0.36188,0.36522,0.31023,0.30949,0.318,0.32271,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-25,2010,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35363,0.35402,0.3604,0.36371,0.31075,0.31016,0.31782,0.32267,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-28,2010,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35274,0.35301,0.35911,0.36245,0.3112,0.31073,0.31774,0.32263,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-07-31,2010,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35194,0.35205,0.35806,0.36154,0.31108,0.31056,0.31766,0.32246,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-03,2010,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35107,0.35094,0.35696,0.36065,0.31051,0.30973,0.31766,0.32233,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-06,2010,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35021,0.34982,0.35589,0.35979,0.31002,0.30896,0.31788,0.32216,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-09,2010,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3494,0.34888,0.35492,0.35897,0.31016,0.30898,0.31819,0.32209,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-12,2010,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34857,0.34832,0.35423,0.35833,0.31345,0.3138,0.31887,0.32262,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-15,2010,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34767,0.34802,0.35371,0.35781,0.31923,0.32249,0.31979,0.32341,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-18,2010,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34681,0.34763,0.35307,0.35708,0.32328,0.32839,0.32044,0.32396,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-21,2010,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34584,0.3471,0.35225,0.35582,0.32561,0.33166,0.31587,0.31921,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-24,2010,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3447,0.34667,0.35141,0.35416,0.32846,0.3358,0.31095,0.31403,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-27,2010,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34366,0.34637,0.35056,0.35242,0.33092,0.33905,0.31291,0.3151,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-08-30,2010,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34296,0.34626,0.34973,0.35094,0.3321,0.33968,0.31616,0.31741,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-02,2010,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34201,0.34672,0.34877,0.34963,0.33474,0.34176,0.31511,0.31675,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-05,2010,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34081,0.34726,0.34771,0.34831,0.33875,0.34581,0.31317,0.31568,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-08,2010,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34051,0.34661,0.34678,0.34714,0.33894,0.34478,0.31865,0.32122,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-11,2010,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34079,0.34492,0.34582,0.34603,0.33572,0.33929,0.33062,0.33255,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-09-14,2010,257,5,contactcreek_2010_09_14_150200.jpg,115.01218,118.94555,111.14227,0.34467,0.33327,142.0828,31.46922,145.52528,31.40754,141.88827,36.2101,0.33992,0.00487,0.34224,0.34454,0.34462,0.33148,0.00322,0.33263,0.33327,0.33487,34.48675,2,0,0,0,0,0.34054,0.34318,0.3445,0.34474,0.33331,0.33505,0.33853,0.34017,0.00386,0.0043,0.00386,0.00362,0.0096,0.0118,0.01244,0.01233,NA
2010-09-17,2010,260,12,contactcreek_2010_09_17_120000.jpg,126.8838,125.67758,115.6417,0.34133,0.3446,129.91439,13.71733,130.43788,15.40793,123.18052,21.06865,0.34051,0.00373,0.34237,0.34281,0.34315,0.33973,0.01145,0.34435,0.34754,0.34958,34.10658,2,0,0,0,0,0.33978,0.34137,0.34282,0.34326,0.3322,0.33273,0.34032,0.34272,0.00261,0.00306,0.00261,0.00245,0.00711,0.00874,0.008,0.00793,NA
2010-09-20,2010,263,12,contactcreek_2010_09_20_120000.jpg,118.82777,127.41437,132.53565,0.33638,0.31371,122.12852,11.58191,125.70051,8.85457,122.47993,8.69976,0.33936,0.00386,0.34071,0.34171,0.3422,0.32941,0.01642,0.33012,0.34423,0.34772,32.9611,2,0,0,0,0,0.33851,0.33946,0.34081,0.34158,0.33288,0.33297,0.33987,0.34392,0.00209,0.00242,0.00209,0.00196,0.00566,0.00695,0.00661,0.00655,NA
2010-09-23,2010,266,12,contactcreek_2010_09_23_120000.jpg,127.4525,136.32151,141.04713,0.33675,0.31484,126.11322,7.71531,130.20851,5.1373,126.99378,9.89158,0.33975,0.0027,0.33872,0.34149,0.34188,0.3291,0.01649,0.3214,0.34691,0.34932,31.80996,2,0,0,0,0,0.33696,0.33757,0.33874,0.3398,0.33528,0.33554,0.34004,0.34534,0.00192,0.00215,0.00192,0.0018,0.00489,0.00601,0.00639,0.00634,NA
2010-09-26,2010,269,12,contactcreek_2010_09_26_120000.jpg,141.41973,137.47982,128.31713,0.33761,0.34728,141.40863,20.67174,139.13921,19.91076,132.28492,18.19418,0.33695,0.00222,0.33754,0.33807,0.33889,0.34234,0.00793,0.34298,0.34566,0.35005,30.65547,2,0,0,0,0,0.33542,0.33582,0.33689,0.3381,0.33825,0.33887,0.3414,0.34729,0.00186,0.00204,0.00186,0.00175,0.00456,0.0056,0.0062,0.00614,NA
2010-09-29,2010,272,12,contactcreek_2010_09_29_120000.jpg,130.54894,133.81718,140.89441,0.3302,0.32214,138.07076,16.22116,141.57101,17.75874,148.21458,19.7249,0.3308,0.00175,0.33078,0.33157,0.33353,0.32302,0.00865,0.31976,0.32997,0.33397,29.50002,3,0,0,0,0,0.33397,0.33422,0.33523,0.33656,0.34073,0.34165,0.34326,0.34963,0.00192,0.00208,0.00192,0.0018,0.00455,0.0056,0.00637,0.00631,NA
