#
# 3-day summary product time series for farewellgap
#
# Site: farewellgap
# Veg Type: SH
# ROI ID Number: 0002
# Lat: 36.453
# Lon: -118.59
# Elev: 6500
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:01:42
# Update Date: 2017-04-18
# Update Time: 05:20:05
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:39:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-02-13,2013,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32617,0.32815,0.32877,0.32913,0.38414,0.38293,0.39063,0.39525,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-16,2013,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32668,0.32825,0.32895,0.32937,0.38451,0.38356,0.39124,0.39584,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-19,2013,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32703,0.32823,0.32902,0.32949,0.38492,0.38422,0.39186,0.39645,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-22,2013,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32719,0.32805,0.32894,0.32947,0.38538,0.38491,0.39252,0.39708,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-25,2013,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32718,0.32776,0.32875,0.32934,0.38587,0.38562,0.39321,0.39776,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-02-28,2013,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32703,0.32738,0.32848,0.32914,0.38641,0.38636,0.39393,0.39847,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-03,2013,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32671,0.32692,0.3281,0.32881,0.38698,0.38711,0.39469,0.39923,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-06,2013,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32627,0.32641,0.32765,0.3284,0.3876,0.38789,0.39548,0.40003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-09,2013,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32579,0.32589,0.32725,0.32806,0.38827,0.3887,0.3963,0.40086,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-12,2013,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32501,0.32508,0.32671,0.32768,0.38899,0.38955,0.39715,0.40171,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-15,2013,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32402,0.32407,0.32605,0.32724,0.38976,0.39044,0.39803,0.40259,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-18,2013,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32349,0.32348,0.32572,0.32705,0.39059,0.39137,0.39895,0.4035,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-21,2013,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32384,0.32365,0.32601,0.32743,0.39163,0.39248,0.40012,0.4047,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-24,2013,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32464,0.32419,0.32664,0.32811,0.39295,0.39383,0.40167,0.40637,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-27,2013,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32529,0.32466,0.32708,0.32854,0.39445,0.39534,0.40344,0.4083,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-03-30,2013,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32577,0.32515,0.3273,0.32859,0.39602,0.39689,0.40526,0.41028,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-02,2013,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32624,0.32573,0.32743,0.32845,0.39753,0.3984,0.40697,0.41212,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-05,2013,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32628,0.32591,0.32725,0.32805,0.39889,0.39974,0.40842,0.41363,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-08,2013,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32534,0.32515,0.32628,0.32697,0.40064,0.40146,0.40981,0.41482,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-11,2013,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3239,0.32392,0.32491,0.32552,0.40319,0.40394,0.4114,0.4159,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-14,2013,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32307,0.32324,0.32418,0.32475,0.40624,0.40689,0.41315,0.41694,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-17,2013,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32333,0.32348,0.32453,0.32517,0.40952,0.41005,0.41498,0.41798,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-20,2013,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32407,0.32411,0.32541,0.32619,0.41272,0.41312,0.41683,0.4191,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-23,2013,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32486,0.32481,0.32631,0.32722,0.41554,0.41582,0.41863,0.42035,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-26,2013,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32393,0.32387,0.32559,0.32663,0.41905,0.41938,0.42137,0.42256,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-04-29,2013,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32146,0.32144,0.32342,0.32461,0.42361,0.42424,0.42527,0.42581,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-05-02,2013,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31999,0.31999,0.32203,0.32326,0.42796,0.42896,0.42912,0.42904,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-05-05,2013,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32008,0.32004,0.32193,0.32308,0.43079,0.43211,0.43169,0.43119,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-05-08,2013,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32109,0.32098,0.32264,0.32365,0.43085,0.43224,0.43177,0.43122,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-05-11,2013,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32372,0.32364,0.32491,0.32567,0.42684,0.4279,0.42815,0.42806,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-05-14,2013,134,2,farewellgap_2013_05_14_110230.jpg,97.93728,74.73808,57.57412,0.3246,0.42535,89.64297,8.29431,69.99111,4.74697,54.67061,2.90351,0.32676,0.00216,0.32676,0.32784,0.32849,0.41773,0.00762,0.41773,0.42154,0.42383,69.42171,NA,0,0,0,0,0.32734,0.32729,0.32815,0.32867,0.42094,0.4215,0.42282,0.42346,0.00825,0.00883,0.00923,0.00963,0.02,0.02,0.02,0.02,NA
2013-05-17,2013,137,1,farewellgap_2013_05_18_100104.jpg,80.5952,65.70577,51.34952,0.33243,0.40777,80.5952,0,65.70577,0,51.34952,0,0.33243,0,0.33243,0.33243,0.33243,0.40777,0,0.40777,0.40777,0.40777,60.74889,NA,0,0,0,0,0.33098,0.33087,0.33148,0.33184,0.41609,0.41628,0.4185,0.41978,0.00485,0.00519,0.00543,0.00566,0.01772,0.02,0.01771,0.01728,NA
2013-05-20,2013,140,2,farewellgap_2013_05_21_100331.jpg,114.86109,90.63165,63.81151,0.33654,0.42651,101.94765,12.91344,80.82205,9.8096,58.66215,5.14936,0.33453,0.00201,0.33453,0.33554,0.33614,0.42171,0.0048,0.42171,0.42411,0.42555,61.55965,NA,0,0,0,0,0.33483,0.33467,0.33512,0.33539,0.41214,0.4121,0.41505,0.41688,0.00441,0.00472,0.00493,0.00514,0.01402,0.01611,0.01402,0.01368,NA
2013-05-23,2013,143,3,farewellgap_2013_05_23_100149.jpg,94.86921,76.97996,54.61938,0.33991,0.41891,93.33132,1.47708,75.9799,0.92933,54.22696,0.43253,0.3399,0.00025,0.33991,0.34005,0.34013,0.4175,0.00132,0.41787,0.41839,0.4187,61.67506,NA,0,0,0,0,0.33926,0.33923,0.3396,0.33983,0.40893,0.4088,0.41234,0.41464,0.0044,0.00471,0.00493,0.00514,0.01182,0.01358,0.01181,0.01152,NA
2013-05-26,2013,146,3,farewellgap_2013_05_26_100131.jpg,90.47789,74.62975,53.28697,0.34172,0.41429,92.1377,1.23029,75.9131,1.17848,53.7003,0.52534,0.34232,0.00106,0.34172,0.34277,0.3434,0.4155,0.00152,0.41458,0.41611,0.41702,61.71417,NA,0,0,0,0,0.3443,0.34453,0.34495,0.34522,0.40631,0.40625,0.41023,0.41291,0.00416,0.00446,0.00466,0.00486,0.01083,0.01244,0.01082,0.01056,NA
