#
# 3-day summary product time series for kamuela
#
# Site: kamuela
# Veg Type: GR
# ROI ID Number: 0002
# Lat: 20.015008
# Lon: -155.661326
# Elev: 850
# UTC Offset: -10
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:10:29
# Update Date: 2017-04-18
# Update Time: 05:25:03
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:02:50
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-11-25,2009,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36911,0.36928,0.37321,0.37755,0.39693,0.39584,0.40152,0.40305,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-11-28,2009,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3728,0.37298,0.37702,0.38163,0.39553,0.39379,0.39928,0.40364,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-01,2009,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37565,0.37582,0.37995,0.3848,0.39019,0.39267,0.39799,0.40427,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-04,2009,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37787,0.37803,0.38225,0.38729,0.38458,0.39218,0.39736,0.40495,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-07,2009,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37941,0.37953,0.38385,0.38904,0.38565,0.39242,0.39749,0.40568,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-10,2009,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38027,0.38034,0.38477,0.39006,0.391,0.39338,0.39837,0.40638,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-13,2009,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38077,0.3808,0.3853,0.39066,0.39615,0.39459,0.39956,0.40702,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-16,2009,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38053,0.3805,0.38508,0.39039,0.39861,0.39646,0.40158,0.40771,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-19,2009,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37974,0.37965,0.38429,0.38944,0.39961,0.39876,0.40414,0.40846,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-22,2009,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37959,0.37948,0.3841,0.38912,0.40009,0.40006,0.40563,0.40904,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
