#
# 3-day summary product time series for missouriozarks
#
# Site: missouriozarks
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 38.7441
# Lon: -92.2
# Elev: 219
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:14:23
# Update Date: 2017-04-18
# Update Time: 05:26:45
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:12:26
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-07,2012,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35084,0.35341,0.3591,0.3638,0.46043,0.46697,0.47291,0.48098,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-10,2012,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35279,0.35532,0.36105,0.36519,0.45723,0.46174,0.46879,0.47665,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-13,2012,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35491,0.35739,0.36297,0.36671,0.45402,0.45674,0.46476,0.47241,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-16,2012,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35715,0.35959,0.36502,0.36851,0.45079,0.45196,0.46079,0.46823,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-19,2012,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35957,0.36198,0.36712,0.37051,0.44752,0.44742,0.45688,0.46413,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-22,2012,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36209,0.36448,0.36941,0.37284,0.44425,0.44313,0.45306,0.4601,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-25,2012,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36471,0.3671,0.37182,0.3755,0.44096,0.4391,0.44935,0.45619,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-04-28,2012,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36741,0.36981,0.37459,0.37857,0.43767,0.43532,0.44577,0.45241,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-05-01,2012,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37047,0.37287,0.37882,0.38304,0.43437,0.43179,0.44226,0.44871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-05-04,2012,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37363,0.37604,0.38322,0.38768,0.43108,0.42852,0.4388,0.44506,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
