#
# 3-day summary product time series for niwot2
#
# Site: niwot2
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 40.03286358
# Lon: -105.54697017
# Elev: 3050
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:18:22
# Update Date: 2017-04-18
# Update Time: 05:28:28
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:22:11
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-07-04,2009,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45267,0.45302,0.45978,0.45298,0.29658,0.29867,0.30154,0.30537,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-07,2009,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45351,0.45391,0.46045,0.45535,0.29761,0.29967,0.30117,0.3054,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-10,2009,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45427,0.45472,0.46105,0.45765,0.29863,0.30066,0.30088,0.30551,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-13,2009,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45494,0.45543,0.46157,0.45994,0.29964,0.30164,0.3007,0.30568,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-16,2009,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45554,0.45607,0.46202,0.46226,0.30063,0.3026,0.30062,0.30594,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-19,2009,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45605,0.45661,0.4624,0.46468,0.30159,0.30353,0.30065,0.3063,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-22,2009,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45649,0.45707,0.4627,0.4671,0.30252,0.30444,0.30079,0.30673,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-25,2009,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45684,0.45743,0.46292,0.46939,0.30341,0.30532,0.30103,0.30721,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-28,2009,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45711,0.45772,0.46307,0.47154,0.30426,0.30617,0.30137,0.30775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-31,2009,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45729,0.45791,0.46315,0.47356,0.30506,0.30697,0.30179,0.30835,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
