#
# 3-day summary product time series for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 44.32384
# Lon: -121.605993
# Elev: 977
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:19:53
# Update Date: 2017-04-18
# Update Time: 05:29:17
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:27:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-08-02,2012,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39871,0.40106,0.40585,0.40903,0.41243,0.41564,0.4042,0.39342,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-05,2012,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39793,0.40013,0.4046,0.40742,0.41197,0.41497,0.40325,0.39427,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-08,2012,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3971,0.39916,0.40335,0.40591,0.4115,0.4143,0.40227,0.39497,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-11,2012,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39628,0.39819,0.40212,0.40448,0.41096,0.41358,0.40138,0.3957,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-14,2012,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39543,0.3972,0.40091,0.40313,0.4103,0.41274,0.40073,0.39662,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-17,2012,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39458,0.39621,0.39972,0.40189,0.40946,0.41173,0.40045,0.3979,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-20,2012,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39376,0.39526,0.39859,0.40078,0.40838,0.41049,0.4007,0.39973,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-23,2012,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3928,0.39416,0.39733,0.39973,0.40699,0.40892,0.40101,0.40156,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-26,2012,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39187,0.39307,0.39613,0.39873,0.4053,0.40705,0.40095,0.40286,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-08-29,2012,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39113,0.39224,0.39522,0.39786,0.40341,0.40499,0.40071,0.40384,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
