#
# 3-day summary product time series for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 44.525
# Lon: -72.866
# Elev: 403
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:20:54
# Update Date: 2017-04-18
# Update Time: 05:29:48
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:31:30
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-06-12,2008,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34093,0.34246,0.34856,0.35273,0.33777,0.3408,0.34454,0.34736,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-15,2008,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3404,0.34187,0.3482,0.35241,0.33728,0.34018,0.34418,0.34759,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-18,2008,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33994,0.34134,0.34788,0.35211,0.33692,0.33969,0.34391,0.34747,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-21,2008,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33952,0.34088,0.34759,0.35183,0.33665,0.33931,0.34371,0.34719,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-24,2008,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33915,0.34049,0.34733,0.35157,0.3365,0.33905,0.34359,0.34657,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-27,2008,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33884,0.34016,0.34709,0.35133,0.33644,0.33889,0.34354,0.34609,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-06-30,2008,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33856,0.33987,0.34685,0.35109,0.33648,0.33882,0.34355,0.3466,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-03,2008,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33832,0.33962,0.34662,0.35086,0.33659,0.33885,0.34363,0.34735,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-06,2008,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33817,0.33951,0.34651,0.3507,0.33693,0.33909,0.34382,0.34761,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-09,2008,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33808,0.33947,0.34644,0.35057,0.33734,0.33944,0.34408,0.34774,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-12,2008,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.338,0.33947,0.34631,0.35038,0.33765,0.33975,0.34442,0.34801,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-15,2008,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33794,0.33949,0.3462,0.35021,0.33796,0.34009,0.34482,0.34826,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-18,2008,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33783,0.33939,0.3461,0.35012,0.33812,0.34032,0.34523,0.3483,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-07-21,2008,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3377,0.33923,0.34597,0.35004,0.3382,0.3405,0.34568,0.34847,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
