#
# 3-day summary product time series for rosemount
#
# Site: rosemount
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 44.7143
# Lon: -93.0898
# Elev: 287
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:21:42
# Update Date: 2017-04-18
# Update Time: 05:30:07
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:34:35
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-01-02,2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-05,2008,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-08,2008,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-11,2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-14,2008,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-17,2008,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-20,2008,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-23,2008,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-26,2008,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-29,2008,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-01,2008,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-04,2008,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-07,2008,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-10,2008,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-13,2008,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-16,2008,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-19,2008,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-22,2008,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-25,2008,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-28,2008,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-03-02,2008,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-03-05,2008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-03-08,2008,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-03-11,2008,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-03-14,2008,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33347,0.33347,0.33351,0.33354,0.33313,0.33313,0.33325,0.33332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
