#
# 3-day summary product time series for shenandoah
#
# Site: shenandoah
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.6167
# Lon: -78.35
# Elev: 1037
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:23:26
# Update Date: 2017-04-18
# Update Time: 05:31:01
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:37:48
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-06-16,2009,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.355,0.35662,0.36314,0.37128,0.38866,0.3791,0.43381,0.44212,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-06-19,2009,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35391,0.35519,0.3622,0.36913,0.39156,0.38276,0.43243,0.44128,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-06-22,2009,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35288,0.35383,0.36132,0.36731,0.39439,0.3863,0.43118,0.44053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-06-25,2009,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35195,0.35254,0.36052,0.36577,0.39719,0.38972,0.43005,0.43987,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-06-28,2009,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35111,0.35132,0.3598,0.36457,0.4,0.39304,0.42906,0.4393,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-01,2009,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35037,0.35021,0.35912,0.36367,0.40286,0.39626,0.42819,0.4388,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-04,2009,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34972,0.34919,0.35849,0.36299,0.40583,0.3994,0.42744,0.43838,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-07,2009,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3492,0.34824,0.35793,0.36272,0.40867,0.40247,0.42683,0.43804,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-10,2009,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3488,0.34738,0.35743,0.36279,0.41122,0.40548,0.42635,0.43778,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-13,2009,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34842,0.3466,0.35694,0.36275,0.41358,0.40844,0.426,0.43759,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-16,2009,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3481,0.34592,0.35652,0.36257,0.41587,0.41136,0.42578,0.43748,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-19,2009,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34787,0.34534,0.35618,0.36242,0.41819,0.41425,0.4257,0.43745,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-07-22,2009,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34759,0.34488,0.3558,0.36218,0.42065,0.41713,0.42574,0.43747,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
