#
# 3-day summary product time series for snakerivermn
#
# Site: snakerivermn
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 46.120556
# Lon: -93.24467
# Elev: 1181
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:43:31
# Update Date: 2017-02-20
# Update Time: 10:43:31
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:51:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-12-28,2009,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32838,0.32838,0.3369,0.342,0.34403,0.34403,0.35697,0.36473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2009-12-31,2009,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3291,0.3291,0.33733,0.34226,0.34745,0.34745,0.35996,0.36746,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-02,2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32958,0.32958,0.33762,0.34243,0.34974,0.34974,0.36195,0.36927,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-05,2010,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3303,0.3303,0.33805,0.34269,0.35316,0.35316,0.36494,0.372,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-08,2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33101,0.33101,0.33848,0.34295,0.35659,0.35659,0.36793,0.37473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-11,2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33173,0.33173,0.33891,0.34321,0.36001,0.36001,0.37092,0.37746,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-14,2010,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33245,0.33245,0.33934,0.34347,0.36344,0.36344,0.37391,0.38018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-17,2010,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33317,0.33317,0.33977,0.34373,0.36686,0.36686,0.37689,0.38291,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-20,2010,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33389,0.33389,0.34021,0.34399,0.37029,0.37029,0.37988,0.38564,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-23,2010,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33461,0.33461,0.34064,0.34425,0.37371,0.37371,0.38287,0.38836,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-26,2010,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33532,0.33532,0.34107,0.34451,0.37714,0.37714,0.38586,0.39109,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-01-29,2010,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33604,0.33604,0.3415,0.34476,0.38056,0.38056,0.38885,0.39382,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
