#
# 3-day summary product time series for torgnon-ld
#
# Site: torgnon-ld
# Veg Type: DN
# ROI ID Number: 0001
# Lat: 45.82376
# Lon: 7.56089
# Elev: 2091
# UTC Offset: 1
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:31:01
# Update Date: 2017-04-18
# Update Time: 05:35:55
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:58:56
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-12-16,2011,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33033,0.33019,0.33078,0.3312,0.34818,0.34948,0.35125,0.35283,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-12-19,2011,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33022,0.33024,0.33083,0.33138,0.3481,0.34936,0.35135,0.35281,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-12-22,2011,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33012,0.33022,0.3308,0.33141,0.34767,0.34881,0.35099,0.35238,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-12-25,2011,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33002,0.33009,0.33068,0.33127,0.3469,0.34786,0.35018,0.35153,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-12-28,2011,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32993,0.32992,0.33051,0.33105,0.34593,0.34669,0.34912,0.35046,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-12-31,2011,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32985,0.32971,0.33034,0.33083,0.34466,0.34518,0.34766,0.34902,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-02,2012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3298,0.32962,0.33026,0.33074,0.34375,0.3441,0.34661,0.348,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-05,2012,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32975,0.32962,0.33025,0.33077,0.34185,0.34195,0.3444,0.34587,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-08,2012,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32972,0.32968,0.33026,0.33082,0.34001,0.33987,0.34228,0.34386,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-11,2012,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32973,0.32976,0.33026,0.33078,0.33921,0.33895,0.34155,0.34328,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-14,2012,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32974,0.32983,0.33028,0.33074,0.33879,0.33843,0.34123,0.34313,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-17,2012,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32973,0.32978,0.33026,0.33063,0.33882,0.33823,0.34127,0.34338,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-20,2012,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32973,0.32972,0.33024,0.33055,0.33898,0.3382,0.34143,0.34369,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-23,2012,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32973,0.32972,0.33028,0.33058,0.33921,0.33823,0.3414,0.34372,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-26,2012,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32974,0.32975,0.33033,0.33066,0.3394,0.33828,0.3413,0.34362,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-01-29,2012,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32978,0.32978,0.33037,0.33079,0.33917,0.33815,0.3407,0.34286,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-01,2012,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32984,0.32983,0.33043,0.33095,0.33883,0.338,0.34004,0.342,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-04,2012,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32991,0.32992,0.33053,0.33115,0.33812,0.33758,0.33938,0.34102,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-07,2012,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32999,0.33,0.3306,0.3313,0.3374,0.33717,0.3388,0.34014,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-10,2012,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33001,0.33,0.33059,0.33125,0.33706,0.33701,0.33868,0.33989,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-13,2012,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33003,0.33,0.33058,0.33117,0.33686,0.33693,0.3387,0.33987,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-16,2012,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33008,0.32999,0.33061,0.33113,0.33709,0.33718,0.33896,0.34025,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-19,2012,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33013,0.33002,0.33065,0.33112,0.33745,0.33747,0.33926,0.34085,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-22,2012,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33016,0.33016,0.33075,0.33116,0.33769,0.33758,0.33912,0.34122,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-25,2012,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33019,0.33032,0.33083,0.33119,0.33797,0.33766,0.33899,0.34164,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-02-28,2012,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33005,0.33034,0.33081,0.3312,0.33993,0.33732,0.34032,0.34659,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-03-02,2012,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3299,0.33033,0.33074,0.33115,0.34193,0.33684,0.34164,0.35178,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-03-05,2012,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32983,0.33026,0.33007,0.33014,0.34335,0.33665,0.34223,0.3556,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-03-08,2012,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32988,0.33019,0.3296,0.32938,0.3432,0.33647,0.34185,0.35541,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-03-11,2012,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33008,0.33017,0.32989,0.32976,0.34063,0.33617,0.34007,0.34891,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2012-03-14,2012,74,6,torgnon-ld_2012_03_15_115500.jpg,123.87257,121.46959,122.55061,0.33018,0.33671,119.77222,5.01076,116.18739,6.79287,115.93643,8.7539,0.33017,0.00028,0.33025,0.33032,0.3304,0.34072,0.00653,0.33712,0.34079,0.34835,42.09057,NA,0,0,0,0,0.33024,0.33024,0.3304,0.33051,0.33947,0.33668,0.33963,0.34556,0.00666,0.00561,0.00403,0.004,0.01295,0.0145,0.01189,0.01167,NA
2012-03-17,2012,77,24,torgnon-ld_2012_03_17_120000.jpg,118.71114,117.07962,118.84507,0.33014,0.33474,123.49385,10.04664,120.97185,11.09788,121.57899,12.38066,0.33046,0.00073,0.33034,0.33112,0.33158,0.3377,0.00617,0.33691,0.33814,0.34127,43.25183,5,0,0,0,0,0.33032,0.33038,0.33087,0.33124,0.34004,0.33797,0.34058,0.34596,0.00404,0.00333,0.00239,0.00237,0.00785,0.00879,0.00721,0.00707,NA
2012-03-20,2012,80,24,torgnon-ld_2012_03_20_120000.jpg,140.72467,136.623,137.37757,0.32943,0.33932,119.76481,15.22786,116.5334,15.55308,116.36984,16.06024,0.33039,0.00098,0.33045,0.33116,0.33177,0.33984,0.00484,0.33917,0.34174,0.34401,44.41053,5,0,0,0,0,0.33033,0.33043,0.33102,0.33152,0.34104,0.33911,0.34167,0.34735,0.00365,0.00341,0.00245,0.00243,0.0071,0.00796,0.00652,0.0064,NA
2012-03-23,2012,83,23,torgnon-ld_2012_03_23_120000.jpg,124.07212,121.21474,120.87373,0.33104,0.33885,120.57383,5.66386,116.09271,6.72172,114.74197,8.08623,0.33036,0.00077,0.33053,0.33094,0.33142,0.34336,0.00579,0.34143,0.34455,0.35194,45.56381,4,0,0,0,0,0.33032,0.33031,0.33104,0.33163,0.34203,0.34012,0.34296,0.34892,0.00365,0.00323,0.00232,0.0023,0.0071,0.00795,0.00652,0.00639,NA
2012-03-26,2012,86,24,torgnon-ld_2012_03_26_120000.jpg,121.5715,119.00863,119.09386,0.33088,0.338,115.32016,9.24532,111.00915,9.31536,109.76386,9.88539,0.33026,0.00101,0.33017,0.33092,0.3314,0.34326,0.00749,0.34003,0.34326,0.35267,46.70896,4,0,0,0,0,0.33029,0.33017,0.33101,0.33164,0.34294,0.34097,0.34432,0.35048,0.00345,0.00322,0.00231,0.00229,0.00671,0.00751,0.00616,0.00604,NA
2012-03-29,2012,89,24,torgnon-ld_2012_03_29_120000.jpg,121.93832,117.82469,118.13239,0.32922,0.34071,115.40822,4.78764,111.02566,5.32377,110.08819,6.45582,0.32993,0.00116,0.32948,0.33063,0.33169,0.34309,0.00495,0.341,0.34422,0.3489,47.84332,4,0,0,0,0,0.33025,0.33014,0.33103,0.33163,0.34347,0.34159,0.34526,0.35132,0.00351,0.00322,0.00231,0.00229,0.00682,0.00764,0.00627,0.00615,NA
2012-04-01,2012,92,24,torgnon-ld_2012_04_01_120000.jpg,114.16487,109.69206,108.99711,0.32955,0.34299,110.49239,7.26739,106.185,7.79216,104.39773,8.44417,0.33069,0.00105,0.33059,0.33166,0.33194,0.34431,0.00565,0.3429,0.34641,0.35244,48.96434,4,0,0,0,0,0.3302,0.33016,0.331,0.33161,0.34342,0.34194,0.34564,0.35101,0.00334,0.00298,0.00214,0.00212,0.0065,0.00728,0.00597,0.00586,NA
2012-04-04,2012,95,24,torgnon-ld_2012_04_04_120000.jpg,130.68585,129.06735,129.53056,0.33155,0.33571,106.67127,20.54126,103.40296,21.24893,103.05581,22.23612,0.33011,0.00112,0.33049,0.33093,0.33144,0.34143,0.00725,0.34089,0.34659,0.35132,50.06968,5,0,0,0,0,0.33015,0.33019,0.33097,0.33155,0.34303,0.34203,0.34562,0.35012,0.00345,0.00322,0.00231,0.00229,0.00672,0.00752,0.00617,0.00605,NA
2012-04-07,2012,98,24,torgnon-ld_2012_04_07_120000.jpg,90.85951,87.02342,87.5078,0.32791,0.34236,95.63812,10.48614,91.45547,10.09461,90.15022,9.59413,0.3298,0.00114,0.32986,0.33049,0.33113,0.34492,0.00405,0.34386,0.34608,0.348,51.15726,4,0,0,0,0,0.33013,0.3302,0.3309,0.33143,0.34207,0.34171,0.34489,0.3484,0.00331,0.00298,0.00214,0.00212,0.00643,0.0072,0.00591,0.00579,NA
2012-04-10,2012,101,24,torgnon-ld_2012_04_10_120000.jpg,139.22216,137.44677,140.23157,0.32969,0.33395,121.63031,15.33179,118.63739,16.75525,118.84569,18.27783,0.33031,0.00102,0.33025,0.33096,0.33155,0.3394,0.00557,0.34007,0.3432,0.34536,52.22512,1,0,0,0,0,0.33013,0.3302,0.33082,0.33129,0.341,0.34123,0.34394,0.34648,0.00345,0.00322,0.00231,0.00229,0.00672,0.00752,0.00617,0.00605,NA
2012-04-13,2012,104,23,torgnon-ld_2012_04_13_120000.jpg,99.36734,95.04676,95.24196,0.32814,0.34305,106.17625,15.58515,102.94986,16.40018,102.88588,17.12972,0.32986,0.00112,0.32997,0.33076,0.33113,0.3408,0.0041,0.34171,0.34297,0.34576,53.27121,5,0,0,0,0,0.33015,0.33022,0.3308,0.3312,0.33991,0.3404,0.34253,0.34455,0.00331,0.00298,0.00214,0.00212,0.00643,0.0072,0.00591,0.00579,NA
2012-04-16,2012,107,22,torgnon-ld_2012_04_16_120000.jpg,112.23695,109.84002,109.64753,0.33112,0.33834,121.03917,18.75047,118.85205,19.89955,119.54086,21.26243,0.33062,0.00064,0.33074,0.33113,0.33121,0.33737,0.00466,0.33864,0.33968,0.3419,54.33882,5,0,0,0,0,0.33018,0.33024,0.3308,0.33114,0.33902,0.33965,0.34126,0.34295,0.00345,0.00322,0.00231,0.00229,0.00672,0.00752,0.00617,0.00605,NA
2012-04-19,2012,110,24,torgnon-ld_2012_04_19_120000.jpg,113.55006,110.30197,110.58978,0.32981,0.33952,112.25715,12.75815,109.29815,13.07178,109.6411,13.89809,0.33002,0.00076,0.33002,0.33045,0.33114,0.33918,0.00333,0.33897,0.3417,0.34303,55.38692,5,0,0,0,0,0.33022,0.33025,0.33077,0.33109,0.33866,0.33931,0.34084,0.34252,0.00334,0.00298,0.00214,0.00212,0.0065,0.00728,0.00597,0.00586,NA
2012-04-22,2012,113,22,torgnon-ld_2012_04_22_120000.jpg,130.41108,127.13597,127.17085,0.33047,0.33898,113.06563,15.88851,109.95219,15.71092,110.01404,15.66715,0.3301,0.00073,0.33005,0.3306,0.33072,0.33954,0.00237,0.34001,0.34089,0.3418,56.40385,5,0,0,0,0,0.33026,0.33024,0.33074,0.33107,0.33878,0.33939,0.34097,0.34277,0.00351,0.00322,0.00231,0.00229,0.00682,0.00764,0.00627,0.00615,NA
2012-04-25,2012,116,24,torgnon-ld_2012_04_25_120000.jpg,101.64027,98.69837,98.39463,0.33039,0.34024,121.03708,14.90044,118.3494,15.21012,118.59209,15.52734,0.33055,0.00091,0.3305,0.33113,0.33154,0.3383,0.00429,0.33928,0.34041,0.342,57.38694,5,0,0,0,0,0.33014,0.33022,0.33077,0.33118,0.33999,0.34056,0.34233,0.34419,0.0034,0.00306,0.0022,0.00218,0.0066,0.0074,0.00607,0.00595,NA
2012-04-28,2012,119,24,torgnon-ld_2012_04_28_120000.jpg,114.31699,111.46945,109.8476,0.33212,0.3406,107.05089,17.55712,103.62509,18.24337,103.19845,19.13431,0.33008,0.00085,0.33,0.33054,0.33105,0.3417,0.00404,0.34115,0.34366,0.34706,58.33357,4,0,0,0,0,0.33004,0.33019,0.33081,0.3313,0.34168,0.34219,0.34416,0.34614,0.00349,0.00333,0.00239,0.00237,0.00679,0.00761,0.00624,0.00612,NA
2012-05-01,2012,122,18,torgnon-ld_2012_05_01_120000.jpg,146.12898,144.66212,144.89074,0.33204,0.3354,99.99101,22.69173,96.62089,24.00952,96.00435,25.08707,0.32996,0.00126,0.33019,0.33094,0.3314,0.34313,0.00626,0.34511,0.3478,0.34969,59.24115,1,0,0,0,0,0.33005,0.32994,0.33063,0.3312,0.34404,0.34461,0.34654,0.34868,0.00348,0.00301,0.00216,0.00214,0.00676,0.00757,0.00621,0.00609,NA
2012-05-04,2012,125,16,torgnon-ld_2012_05_04_120000.jpg,96.49003,91.468,89.05039,0.3302,0.34833,96.95033,8.19196,92.02376,7.94871,89.61672,7.89063,0.33029,0.00103,0.33004,0.33072,0.33171,0.34806,0.00428,0.34794,0.35025,0.35308,59.82327,4,0,0,0,0,0.33025,0.3299,0.33067,0.33128,0.34612,0.34668,0.34867,0.35103,0.00389,0.00345,0.00248,0.00246,0.00756,0.00846,0.00694,0.00681,NA
2012-05-07,2012,128,7,torgnon-ld_2012_05_06_170000.jpg,83.16474,78.87156,76.36103,0.33084,0.34885,85.12357,9.80427,80.57171,9.24803,78.70904,9.08179,0.32967,0.00119,0.32979,0.3307,0.33098,0.34831,0.00244,0.34885,0.35009,0.35136,60.07619,NA,0,0,0,0,0.33018,0.33078,0.33146,0.33191,0.34616,0.34626,0.34803,0.35044,0.00399,0.00385,0.00276,0.00274,0.00775,0.00868,0.00712,0.00698,NA
2012-05-10,2012,131,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33041,0.33184,0.3325,0.33286,0.34608,0.34573,0.34752,0.35,0.00438,0.00458,0.00328,0.00326,0.00852,0.00954,0.00783,0.00768,NA
2012-05-13,2012,134,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32951,0.33112,0.33182,0.33234,0.34436,0.34379,0.34624,0.34878,0.00407,0.00397,0.00285,0.00283,0.00792,0.00887,0.00728,0.00714,NA
