#
# 3-day summary product time series for uiefmiscanthus
#
# Site: uiefmiscanthus
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 40.06281
# Lon: -88.198428
# Elev: 221
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:32:58
# Update Date: 2017-04-18
# Update Time: 05:37:03
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:04:39
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-08-14,2008,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3998,0.40169,0.40894,0.4133,0.35806,0.35877,0.36884,0.37628,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-08-17,2008,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39959,0.40146,0.40833,0.4131,0.35874,0.35963,0.36993,0.37761,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-08-20,2008,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39917,0.40099,0.40759,0.41271,0.35931,0.36032,0.37088,0.3788,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-08-23,2008,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39855,0.4003,0.4067,0.4121,0.35974,0.36083,0.37169,0.37983,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-08-26,2008,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39772,0.39937,0.40566,0.41125,0.36004,0.36118,0.37236,0.38071,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-08-29,2008,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3967,0.39823,0.40446,0.41019,0.36026,0.36141,0.3729,0.38145,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-01,2008,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39549,0.39688,0.40315,0.40893,0.36041,0.36155,0.37335,0.38209,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-04,2008,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3941,0.39533,0.40168,0.40745,0.36053,0.36164,0.37373,0.38264,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-07,2008,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3924,0.39345,0.39998,0.40563,0.36055,0.36159,0.37398,0.38305,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-10,2008,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39053,0.3914,0.39811,0.40359,0.36043,0.36136,0.37409,0.3833,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-13,2008,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38845,0.3893,0.39587,0.4011,0.36028,0.36108,0.37412,0.38346,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-16,2008,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38628,0.38712,0.3935,0.39846,0.36018,0.36085,0.37415,0.38359,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-09-19,2008,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38432,0.38508,0.39127,0.39611,0.3598,0.36027,0.37382,0.38339,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
