#
# 1-day summary product time series for usmpj
#
# Site: usmpj
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 34.43845
# Lon: -106.2543606
# Elev: 2126
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:34:50
# Update Date: 2017-04-18
# Update Time: 05:38:15
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:13:08
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-07-11,2013,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.343,0.34386,0.34432,0.3458,0.40858,0.4094,0.41995,0.42938,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-12,2013,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34408,0.34479,0.34535,0.34656,0.40886,0.40975,0.41969,0.42821,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-13,2013,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34499,0.34557,0.34622,0.3472,0.4091,0.41005,0.41943,0.42717,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-14,2013,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34574,0.34621,0.34694,0.34773,0.40929,0.41028,0.41919,0.42627,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-15,2013,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3463,0.34669,0.34747,0.34811,0.40943,0.41044,0.41896,0.42555,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-16,2013,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3467,0.34703,0.34786,0.34838,0.40951,0.41053,0.41874,0.42496,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-17,2013,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34696,0.34725,0.34812,0.34855,0.40953,0.41054,0.4185,0.42449,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-18,2013,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34709,0.34735,0.34824,0.34863,0.4095,0.41047,0.41827,0.42414,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-19,2013,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34703,0.34728,0.34818,0.34858,0.40941,0.41039,0.418,0.42391,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2013-07-20,2013,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34684,0.34709,0.34798,0.34843,0.40928,0.41023,0.41776,0.42381,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
