#
# 1-day summary product time series for vaira
#
# Site: vaira
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 38.41328056
# Lon: -120.9506361
# Elev: 129
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:35:27
# Update Date: 2017-04-18
# Update Time: 05:38:43
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:14:40
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-07-20,2011,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30637,0.30648,0.30812,0.30882,0.49346,0.49356,0.49691,0.4997,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-21,2011,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30638,0.30649,0.30813,0.30888,0.49298,0.49335,0.49657,0.49982,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-22,2011,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30635,0.30648,0.30812,0.3089,0.49282,0.49333,0.49651,0.50019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-23,2011,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3063,0.30645,0.30809,0.3089,0.49288,0.49346,0.49662,0.50068,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-24,2011,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30621,0.3064,0.30803,0.30886,0.49322,0.49377,0.49698,0.50137,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-25,2011,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30611,0.30632,0.30795,0.30879,0.4938,0.49425,0.49756,0.50223,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-26,2011,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30599,0.30623,0.30785,0.3087,0.49447,0.49478,0.4982,0.50306,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-27,2011,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30582,0.30611,0.30772,0.30855,0.4957,0.49565,0.49928,0.50438,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-28,2011,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30563,0.30597,0.30757,0.30838,0.49702,0.4966,0.50045,0.50571,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-07-29,2011,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.30545,0.30581,0.30741,0.30826,0.49787,0.49743,0.50138,0.5065,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
