#
# 1-day summary product time series for woodshole
#
# Site: woodshole
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 41.5495
# Lon: -70.6432
# Elev: 10
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:36:40
# Update Date: 2017-04-18
# Update Time: 05:39:42
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:17:43
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-01-14,2011,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36479,0.3651,0.36659,0.36757,0.33672,0.33742,0.34169,0.34533,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-15,2011,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36509,0.36536,0.36693,0.36785,0.33904,0.33939,0.3443,0.34871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-16,2011,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36533,0.36557,0.36721,0.36808,0.34096,0.34103,0.3465,0.35155,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-17,2011,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36553,0.36574,0.36743,0.36826,0.34254,0.34237,0.34831,0.35389,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-18,2011,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36567,0.36586,0.36759,0.36838,0.34373,0.34337,0.34969,0.35566,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-19,2011,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36577,0.36596,0.36771,0.36846,0.34459,0.34411,0.35072,0.35698,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-20,2011,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36583,0.36601,0.36778,0.3685,0.34506,0.3445,0.35134,0.35778,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-21,2011,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36585,0.36605,0.36781,0.36851,0.34525,0.34465,0.35164,0.35815,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-22,2011,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36577,0.36597,0.36772,0.3684,0.34493,0.3444,0.35138,0.35777,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2011-01-23,2011,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36566,0.36589,0.36759,0.36826,0.34438,0.34396,0.35082,0.357,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
