#
# Transition date estimate for acadia
#
# Site: acadia
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:44:35
# Spline RMSE gcc_mean: 0.01668
# Spline RMSE gcc_50: 0.01812
# Spline RMSE gcc_75: 0.01648
# Spline RMSE gcc_90: 0.01559
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
acadia,DB,0001,rising,gcc_90,2007-05-10,2007-05-18,2007-05-22,2007-05-07,2007-05-17,2007-05-21,2007-05-15,2007-05-19,2007-05-23,0.34168,0.3547,0.3757,0.33389,0.41728
acadia,DB,0001,rising,gcc_90,2008-05-11,2008-05-14,2008-05-19,2008-05-06,2008-05-06,2008-05-06,2008-08-28,2008-08-28,2008-08-28,0.34278,0.35482,0.38546,0.33334,0.43267
acadia,DB,0001,rising,gcc_90,2009-05-05,2009-05-11,2009-05-17,2009-05-03,2009-05-10,2009-05-15,2009-05-08,2009-05-13,2009-05-18,0.34246,0.35615,0.38253,0.33484,0.4252
acadia,DB,0001,rising,gcc_90,2010-04-26,2010-04-30,2010-05-05,2010-04-25,2010-04-29,2010-05-03,2010-04-28,2010-05-01,2010-05-06,0.34354,0.35954,0.38569,0.33584,0.43182
acadia,DB,0001,rising,gcc_90,2011-05-05,2011-05-20,2011-05-26,2011-05-02,2011-05-19,2011-05-25,2011-05-06,2011-05-22,2011-05-27,0.33932,0.35496,0.38788,0.32821,0.44035
acadia,DB,0001,rising,gcc_90,2012-05-07,2012-05-11,2012-05-16,2012-05-06,2012-05-10,2012-05-15,2012-05-09,2012-05-13,2012-05-17,0.34293,0.35996,0.398,0.33299,0.46082
acadia,DB,0001,rising,gcc_90,2013-05-05,2013-05-11,2013-05-26,2013-04-19,2013-05-10,2013-05-25,2013-05-07,2013-05-13,2013-05-27,0.34283,0.36202,0.39474,0.33128,0.45628
acadia,DB,0001,rising,gcc_90,2014-05-08,2014-05-18,2014-05-26,2014-04-18,2014-05-17,2014-05-25,2014-05-13,2014-05-20,2014-05-27,0.34298,0.35955,0.39078,0.3317,0.4486
acadia,DB,0001,rising,gcc_90,2015-05-03,2015-05-12,2015-05-21,2015-04-15,2015-05-10,2015-05-19,2015-05-07,2015-05-15,2015-05-22,0.3411,0.35488,0.38203,0.33223,0.42843
acadia,DB,0001,rising,gcc_75,2007-05-09,2007-05-18,2007-05-23,2007-05-07,2007-05-17,2007-05-21,2007-05-15,2007-05-19,2007-05-24,0.34027,0.35274,0.37627,0.33348,0.41233
acadia,DB,0001,rising,gcc_75,2008-05-11,2008-05-14,2008-05-19,2008-05-06,2008-05-06,2008-05-06,2008-08-28,2008-08-28,2008-08-28,0.34156,0.35325,0.38334,0.33306,0.43034
acadia,DB,0001,rising,gcc_75,2009-05-05,2009-05-11,2009-05-17,2009-05-03,2009-05-10,2009-05-16,2009-05-08,2009-05-13,2009-05-18,0.34153,0.35497,0.37997,0.3334,0.42425
acadia,DB,0001,rising,gcc_75,2010-04-26,2010-04-30,2010-05-05,2010-04-25,2010-04-29,2010-05-04,2010-04-28,2010-05-02,2010-05-06,0.34202,0.35718,0.38249,0.33472,0.4298
acadia,DB,0001,rising,gcc_75,2011-05-05,2011-05-20,2011-05-26,2011-05-03,2011-05-19,2011-05-25,2011-05-06,2011-05-22,2011-05-27,0.33715,0.35309,0.38607,0.32693,0.43809
acadia,DB,0001,rising,gcc_75,2012-05-07,2012-05-11,2012-05-16,2012-05-06,2012-05-10,2012-05-15,2012-05-10,2012-05-13,2012-05-17,0.34189,0.35878,0.39665,0.3322,0.4579
acadia,DB,0001,rising,gcc_75,2013-05-05,2013-05-11,2013-05-27,2013-05-02,2013-05-10,2013-05-25,2013-05-08,2013-05-14,2013-05-28,0.34122,0.35948,0.39927,0.33058,0.45542
acadia,DB,0001,rising,gcc_75,2014-05-08,2014-05-18,2014-05-26,2014-04-16,2014-05-17,2014-05-25,2014-05-13,2014-05-20,2014-05-27,0.34195,0.35708,0.38841,0.33054,0.4452
acadia,DB,0001,rising,gcc_75,2015-05-04,2015-05-12,2015-05-21,2015-04-14,2015-05-11,2015-05-20,2015-05-08,2015-05-15,2015-05-22,0.34044,0.3533,0.37921,0.33118,0.42699
acadia,DB,0001,rising,gcc_50,2007-05-09,2007-05-18,2007-05-24,2007-05-06,2007-05-17,2007-05-22,2007-05-16,2007-05-20,2007-05-25,0.34001,0.34933,0.37339,0.33266,0.40925
acadia,DB,0001,rising,gcc_50,2008-05-11,2008-05-15,2008-05-19,2008-05-06,2008-05-06,2008-05-06,2008-08-28,2008-08-28,2008-08-28,0.3394,0.3545,0.37908,0.3323,0.42492
acadia,DB,0001,rising,gcc_50,2009-05-05,2009-05-11,2009-05-17,2009-05-03,2009-05-09,2009-05-15,2009-05-08,2009-05-13,2009-05-18,0.33893,0.35195,0.37661,0.33212,0.41442
acadia,DB,0001,rising,gcc_50,2010-04-26,2010-04-30,2010-05-06,2010-04-25,2010-04-29,2010-05-04,2010-04-29,2010-05-02,2010-05-07,0.34069,0.35415,0.3817,0.33368,0.42177
acadia,DB,0001,rising,gcc_50,2011-05-05,2011-05-20,2011-05-26,2011-05-02,2011-05-19,2011-05-25,2011-05-08,2011-05-22,2011-05-27,0.33575,0.35085,0.3837,0.32552,0.43424
acadia,DB,0001,rising,gcc_50,2012-05-07,2012-05-11,2012-05-16,2012-05-06,2012-05-10,2012-05-15,2012-05-09,2012-05-13,2012-05-17,0.34095,0.35766,0.39468,0.32967,0.45837
