#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:10:13
# Spline RMSE gcc_mean: 0.0033
# Spline RMSE gcc_50: 0.00292
# Spline RMSE gcc_75: 0.00234
# Spline RMSE gcc_90: 0.00231
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,0001,rising,gcc_90,2009-04-02,2009-04-06,2009-04-18,2009-03-16,2009-03-16,2009-03-16,2009-05-22,2009-05-22,2009-05-22,0.3457,0.35196,0.36608,0.34182,0.38562
ahwahnee,GR,0001,rising,gcc_90,2010-03-15,2010-03-29,2010-04-20,2010-03-13,2010-03-28,2010-04-18,2010-03-20,2010-03-31,2010-04-21,0.34161,0.34953,0.36397,0.33682,0.38848
ahwahnee,GR,0001,rising,gcc_90,2011-04-01,2011-04-04,2011-04-16,2011-03-31,2011-04-03,2011-04-15,2011-04-02,2011-04-07,2011-04-17,0.33581,0.34768,0.36555,0.33244,0.39833
ahwahnee,GR,0001,rising,gcc_75,2009-04-05,2009-04-08,2009-04-18,2009-03-16,2009-03-16,2009-03-16,2009-05-22,2009-05-22,2009-05-22,0.34395,0.35071,0.36415,0.34112,0.3829
ahwahnee,GR,0001,rising,gcc_75,2010-03-16,2010-04-07,2010-04-20,2010-03-13,2010-04-06,2010-04-18,2010-03-23,2010-04-08,2010-04-23,0.34101,0.34531,0.36167,0.33644,0.38576
ahwahnee,GR,0001,rising,gcc_75,2011-04-01,2011-04-05,2011-04-17,2011-03-31,2011-04-04,2011-04-15,2011-04-02,2011-04-07,2011-04-18,0.33462,0.34694,0.36591,0.33097,0.39708
ahwahnee,GR,0001,rising,gcc_50,2009-04-02,2009-04-09,2009-04-19,2009-03-16,2009-03-16,2009-03-16,2009-05-22,2009-05-22,2009-05-22,0.34294,0.34986,0.36155,0.33924,0.38245
ahwahnee,GR,0001,rising,gcc_50,2010-03-17,2010-04-07,2010-04-24,2010-03-14,2010-04-06,2010-04-22,2010-03-22,2010-04-08,2010-04-25,0.33971,0.3431,0.36166,0.33531,0.38016
ahwahnee,GR,0001,rising,gcc_50,2011-04-01,2011-04-07,2011-04-16,2011-03-31,2011-04-03,2011-04-14,2011-04-02,2011-04-09,2011-04-17,0.33307,0.34533,0.36128,0.32986,0.3921
ahwahnee,GR,0001,rising,gcc_mean,2009-03-23,2009-04-03,2009-04-16,2009-03-16,2009-03-16,2009-03-16,2009-05-22,2009-05-22,2009-05-22,0.33345,0.34159,0.35613,0.32856,0.38126
ahwahnee,GR,0001,rising,gcc_mean,2010-02-12,2010-03-20,2010-04-19,2010-02-11,2010-03-15,2010-04-16,2010-02-27,2010-03-25,2010-04-20,0.32934,0.33913,0.3532,0.32588,0.37953
