#
# Transition date estimate for alligatorriver
#
# Site: alligatorriver
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:45:09
# Spline RMSE gcc_mean: 0.00657
# Spline RMSE gcc_50: 0.00671
# Spline RMSE gcc_75: 0.00475
# Spline RMSE gcc_90: 0.00468
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
alligatorriver,DB,0001,rising,gcc_90,2013-04-08,2013-04-11,2013-04-16,2013-04-07,2013-04-10,2013-04-14,2013-04-10,2013-04-13,2013-04-17,0.33798,0.3513,0.38543,0.33088,0.43237
alligatorriver,DB,0001,rising,gcc_90,2014-04-04,2014-04-10,2014-04-15,2014-04-02,2014-04-09,2014-04-13,2014-04-07,2014-04-11,2014-04-16,0.34034,0.35447,0.38966,0.33062,0.43826
alligatorriver,DB,0001,rising,gcc_90,2015-04-08,2015-04-12,2015-04-19,2015-04-06,2015-04-11,2015-04-17,2015-04-11,2015-04-14,2015-04-20,0.341,0.35654,0.38915,0.33054,0.44364
alligatorriver,DB,0001,rising,gcc_75,2013-04-08,2013-04-11,2013-04-16,2013-04-07,2013-04-10,2013-04-14,2013-04-10,2013-04-13,2013-04-17,0.3372,0.34994,0.38279,0.32922,0.42815
alligatorriver,DB,0001,rising,gcc_75,2014-04-04,2014-04-10,2014-04-14,2014-04-02,2014-04-09,2014-04-13,2014-04-07,2014-04-11,2014-04-15,0.33889,0.3532,0.38184,0.32954,0.43377
alligatorriver,DB,0001,rising,gcc_75,2015-04-08,2015-04-12,2015-04-19,2015-04-05,2015-04-11,2015-04-17,2015-04-10,2015-04-13,2015-04-20,0.33968,0.35528,0.38594,0.32899,0.43826
alligatorriver,DB,0001,rising,gcc_50,2013-04-07,2013-04-11,2013-04-16,2013-04-06,2013-04-10,2013-04-14,2013-04-09,2013-04-13,2013-04-17,0.33248,0.34728,0.37825,0.32599,0.42064
alligatorriver,DB,0001,rising,gcc_50,2014-04-04,2014-04-09,2014-04-16,2014-04-03,2014-04-08,2014-04-14,2014-04-06,2014-04-10,2014-04-17,0.33536,0.35065,0.38079,0.32662,0.42761
alligatorriver,DB,0001,rising,gcc_50,2015-04-07,2015-04-12,2015-04-18,2015-04-06,2015-04-11,2015-04-17,2015-04-09,2015-04-13,2015-04-19,0.33571,0.35084,0.38047,0.32627,0.43094
alligatorriver,DB,0001,rising,gcc_mean,2013-04-10,2013-04-12,2013-04-16,2013-04-09,2013-04-11,2013-04-15,2013-04-12,2013-04-14,2013-04-17,0.33663,0.34602,0.37195,0.331,0.41286
alligatorriver,DB,0001,rising,gcc_mean,2014-04-05,2014-04-09,2014-04-16,2014-04-03,2014-04-08,2014-04-14,2014-04-07,2014-04-11,2014-04-17,0.33411,0.34673,0.37449,0.32496,0.42065
alligatorriver,DB,0001,rising,gcc_mean,2015-04-07,2015-04-12,2015-04-18,2015-04-06,2015-04-11,2015-04-17,2015-04-10,2015-04-14,2015-04-19,0.33144,0.3458,0.3745,0.32362,0.42065
alligatorriver,DB,0001,falling,gcc_90,2015-10-16,2015-10-12,2015-10-01,2015-10-17,2015-10-13,2015-10-04,2015-10-14,2015-10-10,2015-09-22,0.34849,0.36067,0.38595,0.34154,0.42908
alligatorriver,DB,0001,falling,gcc_90,2014-10-27,2014-10-19,2014-10-01,2014-10-28,2014-10-21,2014-10-04,2014-10-25,2014-10-16,2014-09-28,0.33246,0.34932,0.3784,0.32302,0.43238
alligatorriver,DB,0001,falling,gcc_90,2013-10-21,2013-10-12,2013-09-16,2013-10-23,2013-10-14,2013-09-21,2013-10-18,2013-10-01,2013-09-13,0.34951,0.36206,0.38546,0.3423,0.42713
alligatorriver,DB,0001,falling,gcc_90,2012-10-18,2012-10-10,2012-09-19,2012-10-19,2012-10-11,2012-09-21,2012-10-14,2012-10-05,2012-09-17,0.34064,0.35594,0.38138,0.33265,0.42892
alligatorriver,DB,0001,falling,gcc_75,2015-10-16,2015-10-11,2015-09-30,2015-10-17,2015-10-12,2015-10-04,2015-10-13,2015-10-09,2015-09-17,0.34761,0.36114,0.38253,0.3409,0.42383
