#
# Transition date estimate for arbutuslake
#
# Site: arbutuslake
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2012
# Year max: 2014
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:12:09
# Spline RMSE gcc_mean: 0.00301
# Spline RMSE gcc_50: 0.00338
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.0035
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
arbutuslake,DB,0002,rising,gcc_90,2012-05-07,2012-05-10,2012-05-14,2012-05-05,2012-05-09,2012-05-13,2012-05-08,2012-05-11,2012-05-15,0.36338,0.37234,0.39618,0.35616,0.42946
arbutuslake,DB,0002,rising,gcc_90,2013-05-01,2013-05-06,2013-05-15,2013-04-29,2013-05-05,2013-05-14,2013-05-03,2013-05-08,2013-05-16,0.36406,0.37306,0.39387,0.35732,0.42918
arbutuslake,DB,0002,rising,gcc_90,2014-05-10,2014-05-16,2014-05-21,2014-05-08,2014-05-15,2014-05-20,2014-05-13,2014-05-18,2014-05-22,0.36493,0.37487,0.3949,0.35853,0.43044
arbutuslake,DB,0002,rising,gcc_75,2012-05-06,2012-05-10,2012-05-14,2012-05-05,2012-05-09,2012-05-13,2012-05-08,2012-05-11,2012-05-15,0.35951,0.37018,0.3932,0.35439,0.4241
arbutuslake,DB,0002,rising,gcc_75,2013-04-30,2013-05-06,2013-05-15,2013-04-23,2013-05-05,2013-05-13,2013-05-02,2013-05-08,2013-05-16,0.36201,0.37164,0.39117,0.35569,0.4223
arbutuslake,DB,0002,rising,gcc_75,2014-05-10,2014-05-16,2014-05-21,2014-05-08,2014-05-15,2014-05-20,2014-05-13,2014-05-18,2014-05-22,0.36331,0.37271,0.39187,0.35729,0.42332
arbutuslake,DB,0002,rising,gcc_50,2012-05-07,2012-05-10,2012-05-14,2012-05-06,2012-05-09,2012-05-12,2012-05-08,2012-05-11,2012-05-15,0.35836,0.36741,0.38836,0.35277,0.41464
arbutuslake,DB,0002,rising,gcc_50,2013-04-30,2013-05-05,2013-05-15,2013-04-22,2013-05-04,2013-05-13,2013-05-02,2013-05-07,2013-05-16,0.3598,0.36772,0.38646,0.3538,0.41529
arbutuslake,DB,0002,rising,gcc_50,2014-05-11,2014-05-16,2014-05-21,2014-05-09,2014-05-15,2014-05-19,2014-05-14,2014-05-18,2014-05-22,0.36033,0.36899,0.38738,0.3553,0.41322
arbutuslake,DB,0002,rising,gcc_mean,2012-05-07,2012-05-10,2012-05-14,2012-05-06,2012-05-09,2012-05-12,2012-05-09,2012-05-11,2012-05-15,0.35737,0.36672,0.38747,0.35233,0.41327
arbutuslake,DB,0002,rising,gcc_mean,2013-04-30,2013-05-06,2013-05-15,2013-04-28,2013-05-05,2013-05-13,2013-05-03,2013-05-08,2013-05-16,0.35856,0.3681,0.3854,0.35344,0.41371
arbutuslake,DB,0002,rising,gcc_mean,2014-05-11,2014-05-16,2014-05-21,2014-05-10,2014-05-15,2014-05-20,2014-05-14,2014-05-18,2014-05-22,0.35957,0.36742,0.3854,0.35476,0.41274
arbutuslake,DB,0002,falling,gcc_90,2014-09-27,2014-09-25,2014-09-14,2014-11-14,2014-11-14,2014-11-14,2014-08-23,2014-08-23,2014-08-23,0.3627,0.36905,0.38533,0.3588,0.41092
arbutuslake,DB,0002,falling,gcc_90,2013-09-27,2013-09-24,2013-09-14,2013-09-28,2013-09-25,2013-09-18,2013-09-25,2013-09-22,2013-09-11,0.36067,0.37058,0.38457,0.35902,0.40954
arbutuslake,DB,0002,falling,gcc_90,2012-09-27,2012-09-24,2012-09-16,2012-09-28,2012-09-25,2012-09-19,2012-09-25,2012-09-23,2012-09-14,0.36189,0.37075,0.38395,0.35852,0.40877
arbutuslake,DB,0002,falling,gcc_75,2014-09-26,2014-09-23,2014-09-12,2014-11-14,2014-11-14,2014-11-14,2014-08-23,2014-08-23,2014-08-23,0.36288,0.37082,0.38379,0.35888,0.40783
arbutuslake,DB,0002,falling,gcc_75,2013-09-27,2013-09-24,2013-09-14,2013-09-28,2013-09-25,2013-09-18,2013-09-25,2013-09-22,2013-09-12,0.35846,0.36784,0.38217,0.3569,0.40616
arbutuslake,DB,0002,falling,gcc_75,2012-09-27,2012-09-24,2012-09-16,2012-09-28,2012-09-25,2012-09-19,2012-09-25,2012-09-22,2012-09-14,0.35926,0.3669,0.37991,0.35638,0.4024
arbutuslake,DB,0002,falling,gcc_50,2014-09-26,2014-09-22,2014-09-10,2014-11-14,2014-11-14,2014-11-14,2014-08-23,2014-08-23,2014-08-23,0.35893,0.36745,0.37924,0.3565,0.40129
arbutuslake,DB,0002,falling,gcc_50,2013-09-27,2013-09-24,2013-09-13,2013-09-28,2013-09-25,2013-09-16,2013-09-25,2013-09-22,2013-09-09,0.35544,0.36397,0.37818,0.35262,0.40294
arbutuslake,DB,0002,falling,gcc_50,2012-09-26,2012-09-23,2012-09-14,2012-09-27,2012-09-24,2012-09-17,2012-09-24,2012-09-21,2012-09-12,0.35799,0.36365,0.37556,0.35411,0.39586
