#
# Transition date estimate for armoklahoma
#
# Site: armoklahoma
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2003
# Year max: 2012
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:14:19
# Spline RMSE gcc_mean: 0.01113
# Spline RMSE gcc_50: 0.01124
# Spline RMSE gcc_75: 0.0112
# Spline RMSE gcc_90: 0.01116
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
armoklahoma,AG,0001,rising,gcc_90,2004-02-23,2004-02-25,2004-03-02,2003-09-16,2003-09-16,2004-02-28,2004-02-28,2004-02-28,2004-03-04,0.37615,0.38898,0.42277,0.36537,0.47872
armoklahoma,AG,0001,rising,gcc_90,2005-04-19,2005-04-27,2005-05-15,2005-02-22,2005-04-23,2005-05-07,2005-04-20,2005-05-02,2005-06-13,0.34691,0.35687,0.37303,0.34132,0.40424
armoklahoma,AG,0001,rising,gcc_90,2005-12-10,2006-01-09,2006-01-18,2005-12-06,2005-12-12,2006-01-17,2005-12-14,2006-01-10,2006-01-31,0.3493,0.35836,0.37462,0.34504,0.4041
armoklahoma,AG,0001,rising,gcc_90,2007-02-25,2007-03-05,2007-03-13,2007-02-23,2007-03-04,2007-03-11,2007-03-01,2007-03-08,2007-03-14,0.36394,0.38238,0.42119,0.35201,0.48734
armoklahoma,AG,0001,rising,gcc_90,2007-09-07,2007-09-09,2007-09-13,2007-09-06,2007-09-08,2007-09-12,2007-09-09,2007-09-11,2007-09-14,0.35871,0.36841,0.39466,0.35401,0.43515
armoklahoma,AG,0001,rising,gcc_90,2008-04-17,2008-05-01,2008-06-02,2008-04-12,2008-04-27,2008-05-31,2008-04-20,2008-05-05,2008-06-03,0.35553,0.3757,0.41152,0.34302,0.4766
armoklahoma,AG,0001,rising,gcc_90,2008-10-09,2008-10-12,2008-10-17,2008-10-08,2008-10-11,2008-10-15,2008-10-11,2008-10-14,2008-10-18,0.36427,0.37859,0.40519,0.36,0.44217
armoklahoma,AG,0001,rising,gcc_90,2009-02-05,2009-02-08,2009-02-17,2009-02-04,2009-02-07,2009-02-14,2009-02-07,2009-02-10,2009-02-24,0.38069,0.39369,0.41721,0.37574,0.45842
armoklahoma,AG,0001,rising,gcc_90,2009-10-17,2009-10-21,2009-10-30,2009-10-16,2009-10-20,2009-10-28,2009-10-19,2009-10-24,2009-11-01,0.36069,0.37645,0.40561,0.35315,0.45721
armoklahoma,AG,0001,rising,gcc_90,2010-02-14,2010-02-27,2010-03-07,2010-02-11,2010-02-26,2010-03-05,2010-02-21,2010-03-02,2010-03-08,0.37129,0.3871,0.42149,0.35964,0.4813
armoklahoma,AG,0001,rising,gcc_90,2010-10-24,2010-11-01,2010-11-13,2010-10-20,2010-10-26,2010-11-09,2010-10-28,2010-11-10,2010-11-21,0.34998,0.35775,0.37152,0.34509,0.39628
armoklahoma,AG,0001,rising,gcc_90,2011-02-18,2011-02-23,2011-03-04,2011-02-17,2011-02-21,2011-03-01,2011-02-21,2011-02-25,2011-03-07,0.36009,0.37271,0.39115,0.35469,0.42682
armoklahoma,AG,0001,rising,gcc_90,2011-08-15,2011-08-17,2011-08-21,2011-08-13,2011-08-16,2011-08-19,2011-08-17,2011-08-19,2011-08-22,0.34301,0.35145,0.37485,0.33724,0.39862
armoklahoma,AG,0001,rising,gcc_90,2011-11-06,2011-11-11,2012-01-27,2011-11-04,2011-11-09,2012-01-23,2011-11-07,2011-11-14,2012-01-30,0.35695,0.3743,0.40311,0.3473,0.45756
armoklahoma,AG,0001,rising,gcc_75,2004-02-22,2004-02-25,2004-03-02,2003-09-16,2003-09-16,2004-02-28,2004-02-28,2004-02-28,2004-03-04,0.37076,0.38888,0.42277,0.36425,0.47872
armoklahoma,AG,0001,rising,gcc_75,2005-04-19,2005-04-27,2005-05-15,2005-02-22,2005-04-23,2005-05-07,2005-04-20,2005-05-02,2005-06-13,0.34691,0.35687,0.37303,0.34132,0.40424
armoklahoma,AG,0001,rising,gcc_75,2005-12-10,2006-01-09,2006-01-18,2005-12-06,2005-12-12,2006-01-17,2005-12-14,2006-01-10,2006-01-31,0.3493,0.35836,0.37462,0.34504,0.4041
armoklahoma,AG,0001,rising,gcc_75,2007-02-25,2007-03-05,2007-03-13,2007-02-23,2007-03-04,2007-03-11,2007-03-01,2007-03-08,2007-03-14,0.36394,0.38238,0.42119,0.35201,0.48734
armoklahoma,AG,0001,rising,gcc_75,2007-09-07,2007-09-09,2007-09-13,2007-09-06,2007-09-08,2007-09-12,2007-09-09,2007-09-11,2007-09-14,0.35871,0.36841,0.39466,0.35401,0.43515
armoklahoma,AG,0001,rising,gcc_75,2008-04-17,2008-05-01,2008-06-02,2008-04-12,2008-04-27,2008-05-31,2008-04-20,2008-05-05,2008-06-03,0.35553,0.3757,0.41152,0.34302,0.4766
armoklahoma,AG,0001,rising,gcc_75,2008-10-09,2008-10-12,2008-10-17,2008-10-08,2008-10-11,2008-10-15,2008-10-11,2008-10-14,2008-10-18,0.36427,0.37859,0.40519,0.36,0.44217
armoklahoma,AG,0001,rising,gcc_75,2009-02-05,2009-02-08,2009-02-17,2009-02-04,2009-02-07,2009-02-14,2009-02-07,2009-02-10,2009-02-24,0.38069,0.39369,0.41721,0.37574,0.45842
armoklahoma,AG,0001,rising,gcc_75,2009-10-17,2009-10-21,2009-10-30,2009-10-16,2009-10-20,2009-10-28,2009-10-19,2009-10-24,2009-11-01,0.36069,0.37645,0.40561,0.35315,0.45721
armoklahoma,AG,0001,rising,gcc_75,2010-02-14,2010-02-27,2010-03-06,2010-02-11,2010-02-25,2010-03-04,2010-02-21,2010-03-01,2010-03-08,0.37129,0.3871,0.41766,0.35988,0.47492
armoklahoma,AG,0001,rising,gcc_75,2010-10-23,2010-10-31,2010-11-12,2010-10-22,2010-10-30,2010-11-11,2010-10-24,2010-11-01,2010-11-21,0.34687,0.35492,0.36883,0.3418,0.39566
armoklahoma,AG,0001,rising,gcc_75,2011-08-15,2011-08-19,2011-08-24,2011-08-14,2011-08-18,2011-08-23,2011-08-17,2011-08-20,2012-01-24,0.34127,0.35848,0.39042,0.3296,0.44997
armoklahoma,AG,0001,rising,gcc_50,2004-02-22,2004-02-25,2004-03-02,2003-09-16,2003-09-16,2004-02-28,2004-02-28,2004-02-28,2004-03-04,0.37054,0.38878,0.42276,0.36307,0.47872
armoklahoma,AG,0001,rising,gcc_50,2005-04-19,2005-04-27,2005-05-15,2005-02-22,2005-04-23,2005-05-07,2005-04-20,2005-05-02,2005-06-13,0.34691,0.35687,0.37303,0.34132,0.40424
armoklahoma,AG,0001,rising,gcc_50,2005-12-10,2006-01-09,2006-01-18,2005-12-06,2005-12-12,2006-01-17,2005-12-14,2006-01-10,2006-01-31,0.3493,0.35836,0.37462,0.34504,0.4041
armoklahoma,AG,0001,rising,gcc_50,2007-02-25,2007-03-05,2007-03-13,2007-02-23,2007-03-04,2007-03-11,2007-03-01,2007-03-08,2007-03-14,0.36394,0.38238,0.42119,0.35201,0.48734
armoklahoma,AG,0001,rising,gcc_50,2007-09-07,2007-09-09,2007-09-13,2007-09-06,2007-09-08,2007-09-12,2007-09-09,2007-09-11,2007-09-14,0.35871,0.36841,0.39466,0.35401,0.43515
armoklahoma,AG,0001,rising,gcc_50,2008-04-17,2008-05-01,2008-06-02,2008-04-13,2008-04-27,2008-05-31,2008-04-20,2008-05-05,2008-06-03,0.35553,0.3757,0.41152,0.34302,0.4766
armoklahoma,AG,0001,rising,gcc_50,2008-10-09,2008-10-12,2008-10-17,2008-10-08,2008-10-11,2008-10-15,2008-10-11,2008-10-14,2008-10-18,0.36427,0.37859,0.40519,0.36,0.44217
armoklahoma,AG,0001,rising,gcc_50,2009-02-05,2009-02-08,2009-02-17,2009-02-04,2009-02-07,2009-02-14,2009-02-07,2009-02-10,2009-02-24,0.38069,0.39369,0.41721,0.37574,0.45842
armoklahoma,AG,0001,rising,gcc_50,2009-10-17,2009-10-21,2009-10-30,2009-10-16,2009-10-20,2009-10-28,2009-10-19,2009-10-24,2009-11-01,0.36069,0.37645,0.40561,0.35315,0.45721
armoklahoma,AG,0001,rising,gcc_50,2010-02-13,2010-02-26,2010-03-05,2010-02-10,2010-02-24,2010-03-03,2010-02-20,2010-02-28,2010-03-06,0.36997,0.38449,0.41387,0.35964,0.46401
armoklahoma,AG,0001,rising,gcc_50,2010-10-23,2010-11-01,2010-11-12,2010-10-22,2010-10-31,2010-11-11,2010-10-24,2010-11-02,2010-11-21,0.34449,0.35298,0.36801,0.34006,0.39321
armoklahoma,AG,0001,rising,gcc_50,2011-11-06,2011-12-30,2012-01-26,2011-11-04,2011-11-09,2012-01-22,2011-11-07,2011-12-31,2012-01-30,0.35336,0.37073,0.3965,0.34578,0.44618
armoklahoma,AG,0001,rising,gcc_mean,2004-02-22,2004-02-25,2004-03-02,2003-09-16,2003-09-16,2004-02-28,2004-02-28,2004-02-28,2004-03-04,0.3704,0.38871,0.42276,0.36291,0.47872
armoklahoma,AG,0001,rising,gcc_mean,2005-04-19,2005-04-27,2005-05-15,2005-02-22,2005-04-23,2005-05-07,2005-04-20,2005-05-02,2005-06-13,0.34691,0.35687,0.37303,0.34132,0.40424
armoklahoma,AG,0001,rising,gcc_mean,2005-12-10,2006-01-09,2006-01-18,2005-12-06,2005-12-12,2006-01-17,2005-12-14,2006-01-10,2006-01-31,0.3493,0.35836,0.37462,0.34504,0.4041
armoklahoma,AG,0001,rising,gcc_mean,2007-02-25,2007-03-05,2007-03-13,2007-02-23,2007-03-04,2007-03-11,2007-03-01,2007-03-08,2007-03-14,0.36394,0.38238,0.42119,0.35201,0.48734
armoklahoma,AG,0001,rising,gcc_mean,2007-09-07,2007-09-09,2007-09-13,2007-09-06,2007-09-08,2007-09-12,2007-09-09,2007-09-11,2007-09-14,0.35871,0.36841,0.39466,0.35401,0.43515
armoklahoma,AG,0001,rising,gcc_mean,2008-04-17,2008-05-01,2008-06-02,2008-04-12,2008-04-27,2008-05-31,2008-04-20,2008-05-05,2008-06-03,0.35553,0.3757,0.41152,0.34302,0.4766
