#
# Transition date estimate for asa
#
# Site: asa
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:14:47
# Spline RMSE gcc_mean: 0.00169
# Spline RMSE gcc_50: 0.00226
# Spline RMSE gcc_75: 0.00175
# Spline RMSE gcc_90: 0.00215
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
asa,DB,0001,rising,gcc_90,2011-03-24,2011-04-22,2011-05-10,2011-03-22,2011-04-21,2011-05-07,2011-03-27,2011-04-24,2011-05-12,0.30283,0.30864,0.32095,0.29867,0.34276
asa,DB,0001,rising,gcc_90,2012-05-02,2012-05-08,2012-05-20,2012-04-30,2012-05-07,2012-05-18,2012-05-04,2012-05-11,2012-05-21,0.30894,0.31417,0.32458,0.30552,0.34293
asa,DB,0001,rising,gcc_90,2013-04-25,2013-05-01,2013-05-18,2013-04-19,2013-04-19,2013-04-19,2013-07-06,2013-07-06,2013-07-06,0.30566,0.31142,0.32321,0.30146,0.34435
asa,DB,0001,rising,gcc_75,2011-04-20,2011-04-25,2011-05-11,2011-03-23,2011-04-24,2011-05-09,2011-04-23,2011-04-26,2011-05-13,0.30266,0.3088,0.32026,0.29844,0.34133
asa,DB,0001,rising,gcc_75,2012-05-02,2012-05-08,2012-05-20,2012-05-01,2012-05-07,2012-05-18,2012-05-05,2012-05-10,2012-05-21,0.30674,0.31204,0.3236,0.30403,0.34192
asa,DB,0001,rising,gcc_75,2013-04-23,2013-05-03,2013-05-18,2013-04-19,2013-04-19,2013-04-19,2013-07-06,2013-07-06,2013-07-06,0.30473,0.31112,0.32187,0.3009,0.34209
asa,DB,0001,rising,gcc_50,2011-04-20,2011-04-25,2011-05-10,2011-04-17,2011-04-24,2011-05-07,2011-04-22,2011-04-27,2011-05-11,0.30146,0.30687,0.31804,0.29759,0.3376
asa,DB,0001,rising,gcc_50,2012-05-02,2012-05-08,2012-05-19,2012-04-30,2012-05-07,2012-05-17,2012-05-04,2012-05-10,2012-05-20,0.30539,0.31115,0.32142,0.30192,0.33989
asa,DB,0001,rising,gcc_50,2013-04-19,2013-04-26,2013-05-14,2013-04-07,2013-04-19,2013-04-19,2013-04-20,2013-07-06,2013-07-06,0.30239,0.30814,0.3189,0.29912,0.33855
asa,DB,0001,rising,gcc_mean,2011-04-19,2011-04-24,2011-05-11,2011-03-24,2011-04-23,2011-05-08,2011-04-22,2011-04-26,2011-05-12,0.30134,0.30661,0.31914,0.29756,0.33853
asa,DB,0001,rising,gcc_mean,2012-05-01,2012-05-08,2012-05-20,2012-04-30,2012-05-07,2012-05-17,2012-05-04,2012-05-10,2012-05-21,0.30517,0.31067,0.32194,0.30244,0.33839
asa,DB,0001,rising,gcc_mean,2013-04-18,2013-05-01,2013-05-13,2013-04-05,2013-04-19,2013-04-19,2013-04-19,2013-07-06,2013-07-06,0.30224,0.30874,0.31903,0.29936,0.33799
asa,DB,0001,falling,gcc_90,2013-10-08,2013-10-03,2013-09-24,2013-10-09,2013-10-04,2013-09-26,2013-10-06,2013-10-01,2013-09-23,0.30835,0.31408,0.32491,0.30566,0.34256
asa,DB,0001,falling,gcc_90,2012-10-16,2012-10-09,2012-09-28,2012-10-17,2012-10-10,2012-09-30,2012-10-14,2012-10-06,2012-09-27,0.30861,0.31401,0.3252,0.30533,0.34319
asa,DB,0001,falling,gcc_90,2011-10-24,2011-10-03,2011-09-22,2011-10-26,2011-10-07,2011-09-24,2011-10-20,2011-09-30,2011-09-21,0.3084,0.31397,0.32376,0.30536,0.34045
asa,DB,0001,falling,gcc_75,2013-10-08,2013-10-04,2013-09-25,2013-10-09,2013-10-06,2013-09-26,2013-10-06,2013-09-29,2013-09-24,0.3072,0.3131,0.32298,0.3045,0.33992
asa,DB,0001,falling,gcc_75,2012-10-17,2012-10-08,2012-09-29,2012-10-19,2012-10-10,2012-10-01,2012-10-11,2012-10-04,2012-09-28,0.30858,0.31349,0.32356,0.30512,0.34097
asa,DB,0001,falling,gcc_75,2011-10-22,2011-10-02,2011-09-22,2011-10-25,2011-10-06,2011-09-24,2011-10-19,2011-09-29,2011-09-21,0.30839,0.31358,0.32316,0.30528,0.3394
