#
# Transition date estimate for ashburnham
#
# Site: ashburnham
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:15:26
# Spline RMSE gcc_mean: 0.00188
# Spline RMSE gcc_50: 0.0014
# Spline RMSE gcc_75: 0.00197
# Spline RMSE gcc_90: 0.00249
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ashburnham,DB,0002,rising,gcc_90,2012-04-15,2012-04-24,2012-05-04,2012-04-11,2012-04-22,2012-05-02,2012-04-19,2012-04-27,2012-05-06,0.32935,0.33598,0.34812,0.32486,0.37091
ashburnham,DB,0002,rising,gcc_90,2013-05-01,2013-05-05,2013-05-12,2013-04-28,2013-05-04,2013-05-10,2013-05-03,2013-05-07,2013-05-13,0.32603,0.33156,0.34419,0.3221,0.36229
ashburnham,DB,0002,rising,gcc_90,2014-05-05,2014-05-10,2014-05-16,2014-05-02,2014-05-08,2014-05-14,2014-05-08,2014-05-12,2014-05-17,0.32631,0.33226,0.34331,0.32249,0.36285
ashburnham,DB,0002,rising,gcc_90,2015-05-02,2015-05-05,2015-05-12,2015-04-30,2015-05-04,2015-05-10,2015-05-04,2015-05-07,2015-05-13,0.32828,0.3333,0.34744,0.32454,0.36592
ashburnham,DB,0002,rising,gcc_75,2012-04-14,2012-04-23,2012-05-04,2012-04-11,2012-04-21,2012-05-02,2012-04-18,2012-04-26,2012-05-05,0.32769,0.33411,0.34637,0.3237,0.36811
ashburnham,DB,0002,rising,gcc_75,2013-04-29,2013-05-04,2013-05-11,2013-04-27,2013-05-03,2013-05-09,2013-05-02,2013-05-06,2013-05-12,0.3232,0.32865,0.34041,0.31977,0.35913
ashburnham,DB,0002,rising,gcc_75,2014-05-05,2014-05-10,2014-05-16,2014-05-03,2014-05-09,2014-05-15,2014-05-07,2014-05-12,2014-05-17,0.32521,0.33077,0.34144,0.32134,0.36137
ashburnham,DB,0002,rising,gcc_75,2015-05-01,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-10,2015-05-03,2015-05-07,2015-05-12,0.32681,0.33266,0.34391,0.32314,0.36375
ashburnham,DB,0002,rising,gcc_50,2012-04-15,2012-04-22,2012-05-05,2012-04-13,2012-04-20,2012-05-03,2012-04-17,2012-04-25,2012-05-06,0.32618,0.33234,0.3436,0.32224,0.36378
ashburnham,DB,0002,rising,gcc_50,2013-04-30,2013-05-05,2013-05-11,2013-04-25,2013-05-04,2013-05-09,2013-05-03,2013-05-07,2013-05-12,0.32152,0.32701,0.33785,0.31799,0.35473
ashburnham,DB,0002,rising,gcc_50,2014-05-05,2014-05-11,2014-05-16,2014-05-01,2014-05-10,2014-05-15,2014-05-08,2014-05-13,2014-05-17,0.32324,0.32873,0.33927,0.3198,0.35805
ashburnham,DB,0002,rising,gcc_50,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-12,0.32514,0.33087,0.34245,0.32221,0.36024
ashburnham,DB,0002,rising,gcc_mean,2012-04-12,2012-04-22,2012-05-03,2012-04-09,2012-04-20,2012-05-01,2012-04-16,2012-04-25,2012-05-04,0.3244,0.33012,0.34043,0.32086,0.35963
ashburnham,DB,0002,rising,gcc_mean,2013-04-28,2013-05-03,2013-05-10,2013-04-25,2013-05-02,2013-05-08,2013-05-01,2013-05-05,2013-05-11,0.32022,0.32462,0.33434,0.31708,0.35146
ashburnham,DB,0002,rising,gcc_mean,2014-05-04,2014-05-09,2014-05-16,2014-05-02,2014-05-08,2014-05-14,2014-05-07,2014-05-12,2014-05-17,0.32225,0.32723,0.33757,0.31891,0.35567
ashburnham,DB,0002,rising,gcc_mean,2015-05-01,2015-05-05,2015-05-11,2015-04-30,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.32469,0.33015,0.34044,0.32184,0.35733
ashburnham,DB,0002,falling,gcc_90,2015-10-15,2015-10-12,2015-10-06,2015-10-16,2015-10-13,2015-10-08,2015-10-13,2015-10-10,2015-10-05,0.31694,0.32542,0.34174,0.31447,0.36585
ashburnham,DB,0002,falling,gcc_90,2014-10-05,2014-10-01,2014-09-23,2014-10-06,2014-10-02,2014-09-26,2014-10-02,2014-09-28,2014-09-22,0.3261,0.33206,0.34394,0.32318,0.3626
ashburnham,DB,0002,falling,gcc_90,2013-10-03,2013-09-30,2013-09-22,2013-10-05,2013-10-01,2013-09-24,2013-10-01,2013-09-27,2013-09-21,0.32528,0.32968,0.34199,0.32136,0.36109
ashburnham,DB,0002,falling,gcc_90,2012-09-30,2012-09-26,2012-09-16,2012-10-02,2012-09-28,2012-09-25,2012-09-27,2012-09-10,2012-08-29,0.32778,0.33419,0.34742,0.32372,0.3703
ashburnham,DB,0002,falling,gcc_75,2015-10-14,2015-10-11,2015-10-06,2015-10-15,2015-10-12,2015-10-07,2015-10-13,2015-10-09,2015-10-05,0.31754,0.32533,0.33949,0.31364,0.36386
ashburnham,DB,0002,falling,gcc_75,2014-10-04,2014-09-30,2014-09-23,2014-10-05,2014-10-01,2014-09-25,2014-10-02,2014-09-28,2014-09-22,0.32608,0.33241,0.34284,0.32321,0.36108
ashburnham,DB,0002,falling,gcc_75,2013-10-03,2013-09-29,2013-09-22,2013-10-04,2013-09-30,2013-09-24,2013-10-01,2013-09-28,2013-09-21,0.32301,0.32935,0.34041,0.31982,0.35819
ashburnham,DB,0002,falling,gcc_75,2012-09-30,2012-09-26,2012-09-16,2012-10-01,2012-09-27,2012-09-25,2012-09-28,2012-09-11,2012-08-29,0.32546,0.33216,0.34553,0.32196,0.36748
ashburnham,DB,0002,falling,gcc_50,2015-10-13,2015-10-11,2015-10-07,2015-10-14,2015-10-12,2015-10-08,2015-10-12,2015-10-09,2015-10-06,0.31597,0.3224,0.33681,0.31259,0.3604
ashburnham,DB,0002,falling,gcc_50,2014-10-02,2014-09-28,2014-09-22,2014-10-04,2014-09-29,2014-09-24,2014-09-30,2014-09-26,2014-09-21,0.32711,0.33186,0.34118,0.32377,0.35838
ashburnham,DB,0002,falling,gcc_50,2013-10-03,2013-09-30,2013-09-24,2013-10-04,2013-10-01,2013-09-26,2013-10-01,2013-09-28,2013-09-23,0.31959,0.32443,0.33616,0.3169,0.35478
ashburnham,DB,0002,falling,gcc_50,2012-10-02,2012-09-28,2012-09-22,2012-10-04,2012-09-29,2012-09-25,2012-09-30,2012-09-26,2012-08-29,0.31953,0.32543,0.34036,0.31543,0.3619
ashburnham,DB,0002,falling,gcc_mean,2015-10-14,2015-10-11,2015-10-06,2015-10-15,2015-10-12,2015-10-07,2015-10-13,2015-10-09,2015-10-05,0.31437,0.32179,0.3355,0.31069,0.35808
