#
# Transition date estimate for barrow
#
# Site: barrow
# Veg Type: TN
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:17:06
# Spline RMSE gcc_mean: 0.00154
# Spline RMSE gcc_50: 0.00147
# Spline RMSE gcc_75: 0.00158
# Spline RMSE gcc_90: 0.00176
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
barrow,TN,0002,rising,gcc_90,2014-07-02,2014-07-06,2014-07-14,2014-07-01,2014-07-05,2014-07-12,2014-07-04,2014-07-08,2014-07-15,0.32241,0.3268,0.33589,0.32004,0.34997
barrow,TN,0002,rising,gcc_90,2015-06-18,2015-06-22,2015-06-28,2015-06-17,2015-06-21,2015-06-27,2015-06-19,2015-06-23,2015-06-29,0.32278,0.33078,0.34395,0.31868,0.36781
barrow,TN,0002,rising,gcc_75,2014-07-02,2014-07-06,2014-07-13,2014-07-01,2014-07-05,2014-07-12,2014-07-04,2014-07-08,2014-07-14,0.32174,0.3259,0.334,0.31908,0.34861
barrow,TN,0002,rising,gcc_75,2015-06-19,2015-06-22,2015-06-28,2015-06-18,2015-06-21,2015-06-27,2015-06-20,2015-06-23,2015-06-29,0.32231,0.32904,0.34334,0.31833,0.36663
barrow,TN,0002,rising,gcc_50,2014-07-01,2014-07-05,2014-07-13,2014-06-30,2014-07-04,2014-07-11,2014-07-03,2014-07-07,2014-07-14,0.31939,0.32413,0.33296,0.31675,0.3478
barrow,TN,0002,rising,gcc_50,2015-06-19,2015-06-22,2015-06-28,2015-06-18,2015-06-21,2015-06-27,2015-06-20,2015-06-24,2015-06-29,0.32061,0.32757,0.34218,0.31762,0.365
barrow,TN,0002,rising,gcc_mean,2014-07-01,2014-07-05,2014-07-13,2014-06-30,2014-07-04,2014-07-12,2014-07-03,2014-07-07,2014-07-14,0.31903,0.32375,0.33205,0.31672,0.34677
barrow,TN,0002,rising,gcc_mean,2015-06-20,2015-06-23,2015-06-28,2015-06-19,2015-06-22,2015-06-27,2015-06-21,2015-06-24,2015-06-29,0.3204,0.32843,0.34222,0.31712,0.3647
barrow,TN,0002,falling,gcc_90,2015-08-26,2015-08-23,2015-08-14,2015-08-27,2015-08-24,2015-08-17,2015-08-25,2015-08-22,2015-08-13,0.31568,0.32519,0.34146,0.3117,0.36723
barrow,TN,0002,falling,gcc_90,2014-08-28,2014-08-23,2014-08-19,2014-08-29,2014-08-24,2014-08-20,2014-08-26,2014-08-21,2014-08-18,0.3221,0.32593,0.33478,0.31924,0.3496
barrow,TN,0002,falling,gcc_75,2015-08-25,2015-08-22,2015-08-14,2015-08-26,2015-08-23,2015-08-15,2015-08-23,2015-08-20,2015-08-11,0.31767,0.32631,0.34035,0.3148,0.36589
barrow,TN,0002,falling,gcc_75,2014-08-28,2014-08-23,2014-08-19,2014-08-29,2014-08-24,2014-08-20,2014-08-26,2014-08-22,2014-08-18,0.32102,0.32556,0.33387,0.31856,0.34822
barrow,TN,0002,falling,gcc_50,2015-08-27,2015-08-24,2015-08-15,2015-08-28,2015-08-25,2015-08-17,2015-08-26,2015-08-23,2015-08-14,0.31025,0.3192,0.33684,0.30603,0.36408
barrow,TN,0002,falling,gcc_50,2014-08-28,2014-08-23,2014-08-19,2014-08-29,2014-08-24,2014-08-20,2014-08-26,2014-08-22,2014-08-18,0.3197,0.3248,0.33281,0.31736,0.3472
barrow,TN,0002,falling,gcc_mean,2015-08-25,2015-08-22,2015-08-14,2015-08-26,2015-08-23,2015-08-15,2015-08-24,2015-08-21,2015-08-12,0.31598,0.32551,0.33944,0.31313,0.36386
barrow,TN,0002,falling,gcc_mean,2014-08-28,2014-08-23,2014-08-19,2014-08-29,2014-08-24,2014-08-20,2014-08-26,2014-08-22,2014-08-18,0.31946,0.32456,0.33257,0.3174,0.3476
