#
# Transition date estimate for bartlett
#
# Site: bartlett
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 1
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:18:53
# Spline RMSE gcc_mean: 0.00292
# Spline RMSE gcc_50: 0.00298
# Spline RMSE gcc_75: 0.003
# Spline RMSE gcc_90: 0.00308
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlett,DB,0003,rising,gcc_90,2007-05-06,2007-05-08,2007-05-14,2007-05-05,2007-05-07,2007-05-12,2007-05-07,2007-05-10,2007-05-15,0.34893,0.35739,0.38196,0.34162,0.41546
bartlett,DB,0003,rising,gcc_90,2008-05-07,2008-05-10,2008-05-16,2008-05-06,2008-05-09,2008-05-14,2008-05-09,2008-05-12,2008-05-17,0.35196,0.36093,0.38024,0.34694,0.41046
bartlett,DB,0003,rising,gcc_90,2009-05-03,2009-05-07,2009-05-14,2009-05-02,2009-05-06,2009-05-12,2009-05-05,2009-05-09,2009-05-15,0.35386,0.36455,0.38381,0.34935,0.41347
bartlett,DB,0003,rising,gcc_90,2010-04-27,2010-04-29,2010-05-04,2010-04-26,2010-04-28,2010-05-03,2010-04-28,2010-05-01,2010-05-05,0.35036,0.35862,0.3832,0.34462,0.41643
bartlett,DB,0003,rising,gcc_90,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-07,2011-05-10,2011-05-15,0.35052,0.36009,0.38031,0.34472,0.41443
bartlett,DB,0003,rising,gcc_90,2012-04-29,2012-05-04,2012-05-11,2012-04-28,2012-05-03,2012-05-09,2012-05-02,2012-05-06,2012-05-12,0.35094,0.3607,0.38436,0.345,0.41765
bartlett,DB,0003,rising,gcc_90,2013-05-02,2013-05-05,2013-05-10,2013-05-01,2013-05-04,2013-05-08,2013-05-04,2013-05-06,2013-05-11,0.34879,0.36119,0.38514,0.3456,0.4179
bartlett,DB,0003,rising,gcc_90,2014-05-11,2014-05-13,2014-05-18,2014-05-10,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-19,0.35338,0.36094,0.38463,0.34685,0.41802
bartlett,DB,0003,rising,gcc_90,2015-05-05,2015-05-08,2015-05-13,2015-05-04,2015-05-07,2015-05-11,2015-05-07,2015-05-09,2015-05-14,0.34874,0.36062,0.38366,0.34563,0.41298
bartlett,DB,0003,rising,gcc_75,2007-05-05,2007-05-08,2007-05-13,2007-05-04,2007-05-07,2007-05-12,2007-05-07,2007-05-09,2007-05-14,0.34511,0.35717,0.37784,0.34144,0.41413
bartlett,DB,0003,rising,gcc_75,2008-05-07,2008-05-10,2008-05-16,2008-05-06,2008-05-09,2008-05-14,2008-05-09,2008-05-12,2008-05-17,0.35168,0.36072,0.37978,0.34653,0.40986
bartlett,DB,0003,rising,gcc_75,2009-05-01,2009-05-05,2009-05-13,2009-04-30,2009-05-04,2009-05-11,2009-05-03,2009-05-07,2009-05-14,0.34907,0.35915,0.38036,0.34392,0.41294
bartlett,DB,0003,rising,gcc_75,2010-04-27,2010-04-29,2010-05-04,2010-04-26,2010-04-28,2010-05-03,2010-04-28,2010-05-01,2010-05-05,0.35006,0.35818,0.38244,0.34436,0.41603
bartlett,DB,0003,rising,gcc_75,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-07,2011-05-10,2011-05-15,0.35031,0.35978,0.37966,0.34448,0.41356
bartlett,DB,0003,rising,gcc_75,2012-04-29,2012-05-04,2012-05-11,2012-04-28,2012-05-03,2012-05-09,2012-05-01,2012-05-06,2012-05-12,0.35082,0.36044,0.38394,0.3447,0.41704
bartlett,DB,0003,rising,gcc_75,2013-05-02,2013-05-05,2013-05-10,2013-05-01,2013-05-04,2013-05-08,2013-05-04,2013-05-06,2013-05-11,0.34863,0.3609,0.38466,0.34547,0.41678
bartlett,DB,0003,rising,gcc_75,2014-05-11,2014-05-13,2014-05-18,2014-05-10,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-19,0.35303,0.36053,0.38402,0.34655,0.41694
bartlett,DB,0003,rising,gcc_75,2015-05-05,2015-05-08,2015-05-13,2015-05-04,2015-05-07,2015-05-11,2015-05-07,2015-05-09,2015-05-14,0.34837,0.36017,0.38287,0.34529,0.41166
bartlett,DB,0003,rising,gcc_50,2007-05-05,2007-05-08,2007-05-13,2007-05-04,2007-05-07,2007-05-12,2007-05-07,2007-05-09,2007-05-14,0.34474,0.3568,0.37724,0.34122,0.41248
bartlett,DB,0003,rising,gcc_50,2008-05-07,2008-05-10,2008-05-16,2008-05-06,2008-05-09,2008-05-14,2008-05-09,2008-05-11,2008-05-17,0.35139,0.36039,0.37907,0.3462,0.40812
bartlett,DB,0003,rising,gcc_50,2009-05-01,2009-05-05,2009-05-13,2009-04-30,2009-05-04,2009-05-11,2009-05-03,2009-05-07,2009-05-14,0.34864,0.35844,0.3793,0.34347,0.41257
bartlett,DB,0003,rising,gcc_50,2010-04-27,2010-04-30,2010-05-04,2010-04-26,2010-04-29,2010-05-03,2010-04-28,2010-05-01,2010-05-05,0.34959,0.36156,0.38115,0.34396,0.41539
bartlett,DB,0003,rising,gcc_50,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-07,2011-05-10,2011-05-15,0.34989,0.35932,0.37907,0.34395,0.41162
bartlett,DB,0003,rising,gcc_50,2012-04-29,2012-05-04,2012-05-11,2012-04-28,2012-05-03,2012-05-09,2012-05-01,2012-05-06,2012-05-12,0.35051,0.36002,0.38335,0.34423,0.41639
bartlett,DB,0003,rising,gcc_50,2013-05-02,2013-05-05,2013-05-10,2013-05-01,2013-05-04,2013-05-08,2013-05-04,2013-05-06,2013-05-11,0.34827,0.3602,0.38357,0.3452,0.41502
bartlett,DB,0003,rising,gcc_50,2014-05-11,2014-05-13,2014-05-18,2014-05-10,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-19,0.35238,0.35972,0.38315,0.34607,0.4161
bartlett,DB,0003,rising,gcc_50,2015-05-05,2015-05-08,2015-05-12,2015-05-04,2015-05-07,2015-05-11,2015-05-07,2015-05-09,2015-05-13,0.34808,0.35973,0.37772,0.34502,0.41016
