#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:20:28
# Spline RMSE gcc_mean: 0.0052
# Spline RMSE gcc_50: 0.00542
# Spline RMSE gcc_75: 0.00525
# Spline RMSE gcc_90: 0.00526
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,0001,rising,gcc_90,2008-05-06,2008-05-09,2008-05-14,2008-05-05,2008-05-08,2008-05-12,2008-05-08,2008-05-10,2008-05-15,0.38115,0.39758,0.4236,0.37671,0.46615
bartlettir,DB,0001,rising,gcc_90,2009-05-01,2009-05-05,2009-05-11,2009-04-29,2009-05-04,2009-05-10,2009-05-03,2009-05-07,2009-05-12,0.37268,0.3848,0.41406,0.36333,0.46344
bartlettir,DB,0001,rising,gcc_90,2010-04-26,2010-04-29,2010-05-03,2010-04-25,2010-04-28,2010-05-02,2010-04-28,2010-04-30,2010-05-04,0.37255,0.38693,0.41606,0.36444,0.46756
bartlettir,DB,0001,rising,gcc_90,2011-05-06,2011-05-09,2011-05-15,2011-05-05,2011-05-08,2011-05-13,2011-05-07,2011-05-11,2011-05-16,0.37269,0.38476,0.4174,0.36362,0.46314
bartlettir,DB,0001,rising,gcc_90,2012-04-25,2012-05-04,2012-05-10,2012-04-15,2012-05-03,2012-05-09,2012-05-01,2012-05-06,2012-05-11,0.37162,0.38334,0.41383,0.36131,0.46501
bartlettir,DB,0001,rising,gcc_90,2013-04-30,2013-05-04,2013-05-09,2013-04-29,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.36976,0.38671,0.41993,0.36186,0.46583
bartlettir,DB,0001,rising,gcc_90,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37545,0.38938,0.42429,0.36543,0.47351
bartlettir,DB,0001,rising,gcc_90,2015-05-04,2015-05-06,2015-05-11,2015-05-03,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.37887,0.38969,0.42274,0.3689,0.47168
bartlettir,DB,0001,rising,gcc_75,2008-05-04,2008-05-07,2008-05-13,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-14,0.37096,0.38498,0.41751,0.36486,0.46305
bartlettir,DB,0001,rising,gcc_75,2009-05-01,2009-05-05,2009-05-11,2009-04-29,2009-05-04,2009-05-10,2009-05-03,2009-05-07,2009-05-12,0.37191,0.38365,0.41243,0.36237,0.45999
bartlettir,DB,0001,rising,gcc_75,2010-04-26,2010-04-29,2010-05-04,2010-04-25,2010-04-28,2010-05-02,2010-04-28,2010-05-01,2010-05-05,0.37074,0.38529,0.42352,0.36361,0.46673
bartlettir,DB,0001,rising,gcc_75,2011-05-06,2011-05-09,2011-05-15,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-16,0.36897,0.38168,0.41562,0.36244,0.46011
bartlettir,DB,0001,rising,gcc_75,2012-04-27,2012-05-04,2012-05-10,2012-04-15,2012-05-03,2012-05-09,2012-05-01,2012-05-06,2012-05-11,0.37005,0.38242,0.41232,0.35991,0.464
bartlettir,DB,0001,rising,gcc_75,2013-04-30,2013-05-04,2013-05-09,2013-04-29,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.36821,0.38517,0.41823,0.36025,0.4645
bartlettir,DB,0001,rising,gcc_75,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37415,0.38801,0.42276,0.3643,0.47083
bartlettir,DB,0001,rising,gcc_75,2015-05-04,2015-05-06,2015-05-11,2015-05-03,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.37792,0.38884,0.42204,0.36812,0.47006
bartlettir,DB,0001,rising,gcc_50,2008-05-04,2008-05-07,2008-05-13,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-14,0.36885,0.38279,0.4153,0.36259,0.45872
bartlettir,DB,0001,rising,gcc_50,2009-04-30,2009-05-05,2009-05-11,2009-04-28,2009-05-04,2009-05-09,2009-05-03,2009-05-07,2009-05-12,0.36817,0.38144,0.41004,0.35969,0.45531
bartlettir,DB,0001,rising,gcc_50,2010-04-26,2010-04-29,2010-05-04,2010-04-25,2010-04-28,2010-05-02,2010-04-28,2010-05-01,2010-05-05,0.36813,0.38279,0.42158,0.36154,0.46464
bartlettir,DB,0001,rising,gcc_50,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.36553,0.3782,0.40742,0.35955,0.45528
bartlettir,DB,0001,rising,gcc_50,2012-04-27,2012-05-04,2012-05-10,2012-04-16,2012-05-03,2012-05-09,2012-04-30,2012-05-06,2012-05-11,0.36731,0.38089,0.40979,0.35708,0.46232
bartlettir,DB,0001,rising,gcc_50,2013-04-30,2013-05-04,2013-05-09,2013-04-29,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.36562,0.38261,0.41542,0.35798,0.46228
bartlettir,DB,0001,rising,gcc_50,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.3689,0.38564,0.41986,0.36134,0.46703
bartlettir,DB,0001,rising,gcc_50,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.37213,0.38707,0.4202,0.3661,0.46611
bartlettir,DB,0001,rising,gcc_mean,2008-05-06,2008-05-09,2008-05-14,2008-05-05,2008-05-08,2008-05-12,2008-05-08,2008-05-10,2008-05-15,0.37645,0.39282,0.41893,0.372,0.45868
bartlettir,DB,0001,rising,gcc_mean,2009-04-30,2009-05-05,2009-05-11,2009-04-27,2009-05-04,2009-05-09,2009-05-02,2009-05-07,2009-05-12,0.36757,0.38057,0.40826,0.35892,0.45357
bartlettir,DB,0001,rising,gcc_mean,2010-04-26,2010-04-29,2010-05-03,2010-04-25,2010-04-28,2010-05-02,2010-04-28,2010-04-30,2010-05-04,0.36787,0.38257,0.41215,0.36068,0.4634
bartlettir,DB,0001,rising,gcc_mean,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.36553,0.3782,0.40738,0.35889,0.45386
bartlettir,DB,0001,rising,gcc_mean,2012-04-27,2012-05-04,2012-05-10,2012-04-16,2012-05-03,2012-05-09,2012-04-30,2012-05-06,2012-05-11,0.36731,0.38089,0.40979,0.35708,0.46232
bartlettir,DB,0001,rising,gcc_mean,2013-05-01,2013-05-04,2013-05-09,2013-04-30,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.36841,0.3826,0.41542,0.35798,0.46228
bartlettir,DB,0001,rising,gcc_mean,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37101,0.38421,0.41802,0.36048,0.4661
bartlettir,DB,0001,rising,gcc_mean,2015-05-04,2015-05-06,2015-05-11,2015-05-03,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.3741,0.38468,0.41741,0.3644,0.46502
bartlettir,DB,0001,falling,gcc_90,2015-10-06,2015-10-03,2015-09-25,2015-10-07,2015-10-04,2015-09-27,2015-10-04,2015-10-01,2015-09-24,0.37689,0.3906,0.41969,0.36955,0.46866
bartlettir,DB,0001,falling,gcc_90,2014-09-25,2014-09-23,2014-09-17,2014-09-26,2014-09-24,2014-09-19,2014-09-23,2014-09-21,2014-09-16,0.38764,0.39814,0.42685,0.38066,0.46993
bartlettir,DB,0001,falling,gcc_90,2013-09-29,2013-09-26,2013-09-19,2013-09-30,2013-09-27,2013-09-21,2013-09-27,2013-09-24,2013-09-18,0.37665,0.38856,0.4186,0.36982,0.46137
bartlettir,DB,0001,falling,gcc_90,2012-09-27,2012-09-24,2012-09-17,2012-09-28,2012-09-25,2012-09-19,2012-09-25,2012-09-22,2012-09-16,0.36898,0.3816,0.41083,0.36122,0.45515
bartlettir,DB,0001,falling,gcc_90,2011-10-09,2011-10-01,2011-09-19,2011-10-11,2011-10-03,2011-09-21,2011-10-06,2011-09-27,2011-09-18,0.37156,0.38627,0.41115,0.36342,0.45706
bartlettir,DB,0001,falling,gcc_90,2010-09-26,2010-09-23,2010-09-17,2010-09-27,2010-09-24,2010-09-19,2010-09-25,2010-09-22,2010-09-16,0.38252,0.39575,0.41999,0.3754,0.46073
bartlettir,DB,0001,falling,gcc_90,2009-09-30,2009-09-27,2009-09-19,2009-10-01,2009-09-28,2009-09-21,2009-09-29,2009-09-25,2009-09-18,0.37149,0.38378,0.41397,0.36222,0.46038
bartlettir,DB,0001,falling,gcc_90,2008-09-25,2008-09-23,2008-09-18,2008-09-26,2008-09-24,2008-09-19,2008-09-23,2008-09-21,2008-09-17,0.37287,0.38477,0.41629,0.36661,0.4631
bartlettir,DB,0001,falling,gcc_75,2015-10-06,2015-10-03,2015-09-25,2015-10-07,2015-10-04,2015-09-27,2015-10-04,2015-10-01,2015-09-24,0.37485,0.38884,0.41857,0.36754,0.46748
bartlettir,DB,0001,falling,gcc_75,2014-09-25,2014-09-23,2014-09-17,2014-09-26,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.38609,0.39665,0.42557,0.37891,0.46713
bartlettir,DB,0001,falling,gcc_75,2013-09-29,2013-09-26,2013-09-19,2013-09-30,2013-09-27,2013-09-21,2013-09-27,2013-09-24,2013-09-18,0.37555,0.38739,0.41735,0.36855,0.45967
bartlettir,DB,0001,falling,gcc_75,2012-09-26,2012-09-24,2012-09-17,2012-09-27,2012-09-25,2012-09-19,2012-09-25,2012-09-22,2012-09-16,0.37114,0.37997,0.40913,0.36254,0.45329
bartlettir,DB,0001,falling,gcc_75,2011-10-09,2011-10-02,2011-09-20,2011-10-11,2011-10-04,2011-09-21,2011-10-07,2011-09-28,2011-09-19,0.36674,0.38084,0.40658,0.35699,0.45524
bartlettir,DB,0001,falling,gcc_75,2010-09-26,2010-09-23,2010-09-17,2010-09-27,2010-09-24,2010-09-19,2010-09-25,2010-09-22,2010-09-16,0.38113,0.39435,0.41877,0.37422,0.45761
bartlettir,DB,0001,falling,gcc_75,2009-09-30,2009-09-27,2009-09-19,2009-10-01,2009-09-28,2009-09-21,2009-09-28,2009-09-25,2009-09-18,0.36965,0.382,0.41316,0.36207,0.45794
bartlettir,DB,0001,falling,gcc_75,2008-09-25,2008-09-23,2008-09-18,2008-09-26,2008-09-24,2008-09-19,2008-09-23,2008-09-21,2008-09-17,0.37141,0.38312,0.41561,0.36593,0.46163
bartlettir,DB,0001,falling,gcc_50,2015-10-06,2015-10-03,2015-09-25,2015-10-07,2015-10-04,2015-09-27,2015-10-05,2015-10-01,2015-09-24,0.37293,0.38716,0.41703,0.36531,0.46458
bartlettir,DB,0001,falling,gcc_50,2014-09-25,2014-09-23,2014-09-17,2014-09-26,2014-09-24,2014-09-19,2014-09-23,2014-09-21,2014-09-16,0.38439,0.39481,0.4225,0.37783,0.46431
bartlettir,DB,0001,falling,gcc_50,2013-09-29,2013-09-26,2013-09-19,2013-09-30,2013-09-27,2013-09-21,2013-09-27,2013-09-24,2013-09-18,0.37332,0.38493,0.41381,0.36584,0.45732
bartlettir,DB,0001,falling,gcc_50,2012-09-26,2012-09-24,2012-09-17,2012-09-27,2012-09-25,2012-09-19,2012-09-25,2012-09-22,2012-09-16,0.36824,0.37708,0.40628,0.35915,0.45016
bartlettir,DB,0001,falling,gcc_50,2011-10-09,2011-10-02,2011-09-20,2011-10-10,2011-10-04,2011-09-21,2011-10-07,2011-09-27,2011-09-19,0.36356,0.37808,0.40343,0.35459,0.45208
bartlettir,DB,0001,falling,gcc_50,2010-09-26,2010-09-23,2010-09-17,2010-09-27,2010-09-24,2010-09-19,2010-09-25,2010-09-22,2010-09-16,0.37865,0.39198,0.41574,0.37151,0.45545
bartlettir,DB,0001,falling,gcc_50,2009-09-30,2009-09-27,2009-09-20,2009-10-01,2009-09-28,2009-09-22,2009-09-29,2009-09-25,2009-09-19,0.36775,0.38042,0.40835,0.35836,0.45501
bartlettir,DB,0001,falling,gcc_50,2008-09-25,2008-09-23,2008-09-18,2008-09-26,2008-09-24,2008-09-20,2008-09-24,2008-09-22,2008-09-17,0.37092,0.38291,0.41311,0.36374,0.45332
bartlettir,DB,0001,falling,gcc_mean,2015-10-06,2015-10-03,2015-09-25,2015-10-07,2015-10-04,2015-09-27,2015-10-04,2015-10-01,2015-09-24,0.37031,0.38449,0.41457,0.36275,0.46229
bartlettir,DB,0001,falling,gcc_mean,2014-09-25,2014-09-23,2014-09-17,2014-09-26,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-16,0.38247,0.39309,0.42102,0.37523,0.46307
bartlettir,DB,0001,falling,gcc_mean,2013-09-29,2013-09-25,2013-09-19,2013-09-30,2013-09-26,2013-09-21,2013-09-27,2013-09-24,2013-09-18,0.3714,0.3875,0.41233,0.36437,0.45725
bartlettir,DB,0001,falling,gcc_mean,2012-09-27,2012-09-24,2012-09-17,2012-09-28,2012-09-25,2012-09-19,2012-09-25,2012-09-22,2012-09-16,0.36367,0.37708,0.40628,0.35912,0.45016
bartlettir,DB,0001,falling,gcc_mean,2011-10-09,2011-10-02,2011-09-20,2011-10-10,2011-10-04,2011-09-21,2011-10-07,2011-09-27,2011-09-19,0.36356,0.37808,0.40343,0.35459,0.45226
bartlettir,DB,0001,falling,gcc_mean,2010-09-26,2010-09-23,2010-09-17,2010-09-27,2010-09-24,2010-09-19,2010-09-25,2010-09-22,2010-09-16,0.37821,0.39112,0.41463,0.37096,0.45557
bartlettir,DB,0001,falling,gcc_mean,2009-10-02,2009-09-28,2009-09-21,2009-10-03,2009-09-29,2009-09-23,2009-09-30,2009-09-26,2009-09-20,0.35883,0.37476,0.40393,0.35101,0.4525
bartlettir,DB,0001,falling,gcc_mean,2008-09-25,2008-09-23,2008-09-18,2008-09-26,2008-09-24,2008-09-19,2008-09-24,2008-09-22,2008-09-17,0.36944,0.38153,0.41207,0.36246,0.45804
