#
# Transition date estimate for bitterootvalley
#
# Site: bitterootvalley
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:21:23
# Spline RMSE gcc_mean: 0.00149
# Spline RMSE gcc_50: 0.00155
# Spline RMSE gcc_75: 0.00152
# Spline RMSE gcc_90: 0.00159
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bitterootvalley,DB,0003,rising,gcc_90,2012-04-18,2012-04-23,2012-05-08,2012-04-17,2012-04-22,2012-05-06,2012-04-20,2012-04-25,2012-05-09,0.34178,0.35227,0.37411,0.33503,0.41236
bitterootvalley,DB,0003,rising,gcc_90,2013-05-05,2013-05-11,2013-05-19,2013-05-01,2013-05-10,2013-05-16,2013-05-08,2013-05-12,2013-05-20,0.33633,0.34577,0.36338,0.33001,0.39388
bitterootvalley,DB,0003,rising,gcc_90,2014-04-24,2014-05-03,2014-05-16,2014-04-20,2014-05-02,2014-05-14,2014-04-27,2014-05-06,2014-05-17,0.3359,0.34492,0.36284,0.32937,0.39522
bitterootvalley,DB,0003,rising,gcc_90,2015-04-25,2015-05-03,2015-05-11,2015-04-19,2015-05-01,2015-05-09,2015-04-28,2015-05-05,2015-05-12,0.33791,0.34629,0.3616,0.33216,0.39001
bitterootvalley,DB,0003,rising,gcc_75,2012-04-19,2012-04-24,2012-05-09,2012-04-18,2012-04-23,2012-05-07,2012-04-21,2012-04-25,2012-05-10,0.34008,0.35161,0.37226,0.33309,0.40982
bitterootvalley,DB,0003,rising,gcc_75,2013-05-05,2013-05-10,2013-05-18,2013-05-01,2013-05-09,2013-05-16,2013-05-08,2013-05-12,2013-05-19,0.33567,0.34287,0.36077,0.32969,0.39069
bitterootvalley,DB,0003,rising,gcc_75,2014-04-24,2014-05-03,2014-05-17,2014-04-20,2014-05-02,2014-05-15,2014-04-27,2014-05-06,2014-05-18,0.33469,0.34347,0.36192,0.32843,0.39245
bitterootvalley,DB,0003,rising,gcc_75,2015-04-25,2015-05-03,2015-05-11,2015-04-19,2015-05-02,2015-05-09,2015-04-28,2015-05-05,2015-05-12,0.33633,0.34439,0.36012,0.33116,0.38671
bitterootvalley,DB,0003,rising,gcc_50,2012-04-20,2012-04-24,2012-05-10,2012-04-19,2012-04-23,2012-05-08,2012-04-21,2012-04-26,2012-05-11,0.33918,0.34819,0.37039,0.33166,0.40771
bitterootvalley,DB,0003,rising,gcc_50,2013-05-03,2013-05-10,2013-05-18,2013-04-29,2013-05-09,2013-05-16,2013-05-07,2013-05-12,2013-05-19,0.33367,0.34093,0.35786,0.32795,0.38695
