#
# Transition date estimate for bostoncommon
#
# Site: bostoncommon
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:22:51
# Spline RMSE gcc_mean: 0.00464
# Spline RMSE gcc_50: 0.00446
# Spline RMSE gcc_75: 0.00411
# Spline RMSE gcc_90: 0.00413
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bostoncommon,DB,0001,rising,gcc_90,2011-04-18,2011-04-24,2011-04-29,2011-04-14,2011-04-23,2011-04-27,2011-04-21,2011-04-26,2011-04-30,0.38853,0.39974,0.42897,0.37972,0.46856
bostoncommon,DB,0001,rising,gcc_90,2012-04-04,2012-04-12,2012-04-18,2012-03-30,2012-04-11,2012-04-16,2012-04-09,2012-04-13,2012-04-19,0.40395,0.41483,0.43494,0.39683,0.4706
bostoncommon,DB,0001,rising,gcc_90,2013-04-18,2013-04-24,2013-04-30,2013-04-16,2013-04-23,2013-04-29,2013-04-20,2013-04-26,2013-05-01,0.39509,0.40698,0.42875,0.38701,0.46866
bostoncommon,DB,0001,rising,gcc_90,2014-04-18,2014-05-02,2014-05-08,2014-04-14,2014-05-01,2014-05-06,2014-04-21,2014-05-04,2014-05-09,0.39248,0.40552,0.43177,0.38437,0.47165
bostoncommon,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-06,2015-04-28,2015-05-01,2015-05-05,2015-05-01,2015-05-04,2015-05-07,0.39513,0.40574,0.43308,0.39003,0.46666
bostoncommon,DB,0001,rising,gcc_75,2011-04-17,2011-04-24,2011-04-29,2011-04-14,2011-04-23,2011-04-27,2011-04-21,2011-04-26,2011-04-30,0.38578,0.39654,0.42507,0.37755,0.46332
bostoncommon,DB,0001,rising,gcc_75,2012-04-03,2012-04-11,2012-04-17,2012-03-27,2012-04-10,2012-04-16,2012-04-07,2012-04-13,2012-04-18,0.39993,0.4091,0.42931,0.39295,0.46567
bostoncommon,DB,0001,rising,gcc_75,2013-04-18,2013-04-24,2013-04-30,2013-04-16,2013-04-23,2013-04-28,2013-04-20,2013-04-25,2013-05-01,0.39223,0.40386,0.42583,0.38428,0.46438
bostoncommon,DB,0001,rising,gcc_75,2014-04-20,2014-05-02,2014-05-08,2014-04-18,2014-05-01,2014-05-06,2014-04-25,2014-05-04,2014-05-09,0.39155,0.40328,0.42828,0.38412,0.46663
bostoncommon,DB,0001,rising,gcc_75,2015-04-29,2015-05-02,2015-05-06,2015-04-28,2015-05-01,2015-05-04,2015-05-01,2015-05-04,2015-05-07,0.39314,0.40389,0.43114,0.38842,0.46336
bostoncommon,DB,0001,rising,gcc_50,2011-04-16,2011-04-24,2011-04-29,2011-04-13,2011-04-23,2011-04-27,2011-04-20,2011-04-26,2011-04-30,0.38283,0.39384,0.42143,0.3751,0.45694
bostoncommon,DB,0001,rising,gcc_50,2012-03-21,2012-04-07,2012-04-16,2012-03-20,2012-04-04,2012-04-14,2012-03-23,2012-04-10,2012-04-17,0.3865,0.39925,0.42235,0.37983,0.4611
bostoncommon,DB,0001,rising,gcc_50,2013-04-17,2013-04-24,2013-04-30,2013-04-16,2013-04-23,2013-04-28,2013-04-20,2013-04-26,2013-05-01,0.3877,0.40005,0.42234,0.38104,0.45997
bostoncommon,DB,0001,rising,gcc_50,2014-04-18,2014-05-01,2014-05-08,2014-04-13,2014-04-30,2014-05-06,2014-04-22,2014-05-03,2014-05-09,0.38681,0.39852,0.42369,0.37898,0.46088
bostoncommon,DB,0001,rising,gcc_50,2015-04-30,2015-05-02,2015-05-06,2015-04-29,2015-05-01,2015-05-04,2015-05-01,2015-05-04,2015-05-07,0.39298,0.40069,0.42787,0.38589,0.45966
bostoncommon,DB,0001,rising,gcc_mean,2011-04-18,2011-04-24,2011-04-29,2011-04-15,2011-04-23,2011-04-27,2011-04-21,2011-04-26,2011-04-30,0.38136,0.39155,0.4197,0.37367,0.4548
bostoncommon,DB,0001,rising,gcc_mean,2012-03-22,2012-04-06,2012-04-16,2012-03-20,2012-04-03,2012-04-14,2012-03-25,2012-04-09,2012-04-17,0.38522,0.39703,0.41913,0.3781,0.45594
bostoncommon,DB,0001,rising,gcc_mean,2013-04-17,2013-04-24,2013-04-30,2013-04-16,2013-04-23,2013-04-28,2013-04-20,2013-04-26,2013-05-01,0.3853,0.39707,0.42005,0.37894,0.4554
bostoncommon,DB,0001,rising,gcc_mean,2014-04-17,2014-05-01,2014-05-08,2014-04-12,2014-04-30,2014-05-06,2014-04-21,2014-05-03,2014-05-09,0.38404,0.3954,0.42171,0.37616,0.45883
bostoncommon,DB,0001,rising,gcc_mean,2015-04-29,2015-05-02,2015-05-06,2015-04-28,2015-05-01,2015-05-04,2015-05-01,2015-05-04,2015-05-07,0.38791,0.39855,0.42489,0.38331,0.45552
bostoncommon,DB,0001,falling,gcc_90,2015-12-14,2015-11-06,2015-10-26,2015-12-29,2015-12-03,2015-10-28,2015-12-07,2015-11-02,2015-10-24,0.39372,0.40324,0.42041,0.38732,0.45252
bostoncommon,DB,0001,falling,gcc_90,2014-11-29,2014-11-19,2014-10-22,2014-12-04,2014-11-21,2014-10-29,2014-11-24,2014-11-15,2014-10-20,0.39834,0.40856,0.42814,0.39126,0.464
bostoncommon,DB,0001,falling,gcc_90,2013-11-19,2013-11-12,2013-10-26,2013-11-24,2013-11-14,2013-10-29,2013-11-15,2013-11-09,2013-10-20,0.39156,0.40135,0.42053,0.38465,0.4562
bostoncommon,DB,0001,falling,gcc_90,2012-12-07,2012-11-17,2012-10-22,2012-12-10,2012-11-19,2012-10-23,2012-12-03,2012-11-15,2012-10-21,0.39155,0.4027,0.424,0.3845,0.46086
