#
# Transition date estimate for bostonu
#
# Site: bostonu
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:23:10
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00436
# Spline RMSE gcc_75: 0.00474
# Spline RMSE gcc_90: 0.00518
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bostonu,DB,0002,rising,gcc_90,2013-04-28,2013-05-03,2013-05-09,2013-04-26,2013-05-01,2013-05-07,2013-05-01,2013-05-05,2013-05-10,0.32376,0.3356,0.3589,0.31818,0.39006
bostonu,DB,0002,rising,gcc_90,2014-05-04,2014-05-06,2014-05-11,2014-05-03,2014-05-05,2014-05-09,2014-05-05,2014-05-08,2014-05-12,0.32588,0.33434,0.35662,0.3215,0.38999
bostonu,DB,0002,rising,gcc_90,2015-05-03,2015-05-06,2015-05-10,2015-05-01,2015-05-05,2015-05-08,2015-05-04,2015-05-08,2015-05-11,0.33046,0.3397,0.35781,0.32506,0.38704
bostonu,DB,0002,rising,gcc_75,2013-04-29,2013-05-03,2013-05-09,2013-04-27,2013-05-01,2013-05-07,2013-05-01,2013-05-05,2013-05-10,0.32122,0.3313,0.35287,0.31466,0.38554
bostonu,DB,0002,rising,gcc_75,2014-05-04,2014-05-07,2014-05-12,2014-05-03,2014-05-06,2014-05-09,2014-05-05,2014-05-08,2014-05-13,0.32053,0.33344,0.35459,0.31624,0.3855
bostonu,DB,0002,rising,gcc_75,2015-05-03,2015-05-05,2015-05-10,2015-05-01,2015-05-04,2015-05-08,2015-05-04,2015-05-07,2015-05-11,0.32628,0.33252,0.35407,0.32039,0.38292
bostonu,DB,0002,rising,gcc_50,2013-04-29,2013-05-03,2013-05-09,2013-04-27,2013-05-02,2013-05-07,2013-05-01,2013-05-05,2013-05-10,0.31457,0.32474,0.34594,0.30797,0.37931
bostonu,DB,0002,rising,gcc_50,2014-05-04,2014-05-06,2014-05-12,2014-05-03,2014-05-05,2014-05-10,2014-05-05,2014-05-08,2014-05-13,0.31686,0.32475,0.3492,0.31092,0.38037
bostonu,DB,0002,rising,gcc_50,2015-05-03,2015-05-06,2015-05-10,2015-05-02,2015-05-05,2015-05-08,2015-05-04,2015-05-08,2015-05-11,0.31767,0.32746,0.34645,0.31201,0.37695
bostonu,DB,0002,rising,gcc_mean,2013-04-28,2013-05-03,2013-05-09,2013-04-27,2013-05-01,2013-05-07,2013-05-01,2013-05-05,2013-05-10,0.31309,0.32513,0.34594,0.30796,0.37845
bostonu,DB,0002,rising,gcc_mean,2014-05-04,2014-05-06,2014-05-11,2014-05-03,2014-05-05,2014-05-09,2014-05-05,2014-05-08,2014-05-12,0.31703,0.32474,0.34506,0.31039,0.37859
bostonu,DB,0002,rising,gcc_mean,2015-05-02,2015-05-05,2015-05-10,2015-05-01,2015-05-04,2015-05-08,2015-05-03,2015-05-07,2015-05-11,0.31608,0.32469,0.34606,0.31225,0.37542
bostonu,DB,0002,falling,gcc_90,2015-10-31,2015-10-28,2015-10-20,2015-11-01,2015-10-29,2015-10-23,2015-10-29,2015-10-26,2015-10-18,0.31378,0.32444,0.34338,0.3087,0.37617
bostonu,DB,0002,falling,gcc_90,2014-11-05,2014-11-03,2014-10-28,2014-11-06,2014-11-04,2014-10-30,2014-11-03,2014-11-01,2014-10-27,0.3106,0.3212,0.34267,0.30587,0.37609
bostonu,DB,0002,falling,gcc_90,2013-10-31,2013-10-28,2013-10-21,2013-11-01,2013-10-29,2013-10-24,2013-10-29,2013-10-26,2013-10-20,0.31047,0.3213,0.34043,0.30764,0.3687
bostonu,DB,0002,falling,gcc_75,2015-10-31,2015-10-28,2015-10-20,2015-11-01,2015-10-29,2015-10-23,2015-10-29,2015-10-26,2015-10-18,0.31128,0.32199,0.3405,0.30612,0.37216
bostonu,DB,0002,falling,gcc_75,2014-11-05,2014-11-03,2014-10-27,2014-11-06,2014-11-04,2014-10-29,2014-11-03,2014-11-01,2014-10-25,0.30808,0.31734,0.3378,0.30393,0.37096
bostonu,DB,0002,falling,gcc_75,2013-10-30,2013-10-28,2013-10-21,2013-10-31,2013-10-29,2013-10-24,2013-10-28,2013-10-25,2013-10-19,0.31089,0.31854,0.33687,0.30595,0.36557
bostonu,DB,0002,falling,gcc_50,2015-10-31,2015-10-28,2015-10-20,2015-11-01,2015-10-29,2015-10-23,2015-10-29,2015-10-26,2015-10-19,0.30394,0.31487,0.33564,0.29873,0.36827
bostonu,DB,0002,falling,gcc_50,2014-11-05,2014-11-03,2014-10-28,2014-11-06,2014-11-04,2014-10-30,2014-11-03,2014-11-01,2014-10-26,0.29939,0.30917,0.32962,0.29503,0.36413
bostonu,DB,0002,falling,gcc_50,2013-10-30,2013-10-28,2013-10-21,2013-10-31,2013-10-29,2013-10-23,2013-10-28,2013-10-26,2013-10-19,0.30429,0.31222,0.33141,0.29918,0.3623
bostonu,DB,0002,falling,gcc_mean,2015-10-31,2015-10-29,2015-10-21,2015-11-01,2015-10-30,2015-10-23,2015-10-30,2015-10-27,2015-10-20,0.30337,0.31094,0.33286,0.29632,0.367
bostonu,DB,0002,falling,gcc_mean,2014-11-05,2014-11-03,2014-10-27,2014-11-06,2014-11-04,2014-10-29,2014-11-03,2014-11-01,2014-10-26,0.30061,0.31028,0.33262,0.29626,0.36525
bostonu,DB,0002,falling,gcc_mean,2013-10-31,2013-10-28,2013-10-21,2013-11-01,2013-10-29,2013-10-24,2013-10-29,2013-10-26,2013-10-20,0.30115,0.31235,0.33114,0.29818,0.36085
