#
# Transition date estimate for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 0004
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:25:08
# Spline RMSE gcc_mean: 0.0034
# Spline RMSE gcc_50: 0.00351
# Spline RMSE gcc_75: 0.00329
# Spline RMSE gcc_90: 0.00354
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
boundarywaters,DB,0004,rising,gcc_90,2014-05-27,2014-05-30,2014-06-04,2014-05-26,2014-05-29,2014-06-02,2014-05-29,2014-06-01,2014-06-05,0.34061,0.34951,0.37915,0.33356,0.41404
boundarywaters,DB,0004,rising,gcc_90,2015-05-23,2015-05-26,2015-05-31,2015-05-22,2015-05-25,2015-05-30,2015-05-25,2015-05-28,2015-06-01,0.34033,0.34958,0.37158,0.33483,0.4078
boundarywaters,DB,0004,rising,gcc_75,2014-05-27,2014-05-30,2014-06-04,2014-05-26,2014-05-29,2014-06-02,2014-05-29,2014-06-01,2014-06-05,0.33946,0.34784,0.37657,0.33276,0.4112
boundarywaters,DB,0004,rising,gcc_75,2015-05-23,2015-05-27,2015-05-31,2015-05-22,2015-05-26,2015-05-30,2015-05-25,2015-05-28,2015-06-01,0.33871,0.35172,0.37015,0.3338,0.4055
boundarywaters,DB,0004,rising,gcc_50,2014-05-27,2014-05-31,2014-06-04,2014-05-25,2014-05-30,2014-06-03,2014-05-29,2014-06-01,2014-06-05,0.33812,0.34965,0.37165,0.3313,0.40636
boundarywaters,DB,0004,rising,gcc_50,2015-05-24,2015-05-27,2015-06-01,2015-05-23,2015-05-26,2015-05-30,2015-05-25,2015-05-28,2015-06-02,0.33933,0.34963,0.37199,0.33256,0.40268
boundarywaters,DB,0004,rising,gcc_mean,2014-05-27,2014-05-31,2014-06-04,2014-05-25,2014-05-30,2014-06-03,2014-05-29,2014-06-01,2014-06-05,0.33869,0.3501,0.37212,0.33156,0.40576
boundarywaters,DB,0004,rising,gcc_mean,2015-05-23,2015-05-27,2015-05-31,2015-05-22,2015-05-26,2015-05-30,2015-05-25,2015-05-28,2015-06-01,0.33766,0.34971,0.36701,0.33268,0.4012
boundarywaters,DB,0004,falling,gcc_90,2015-09-27,2015-09-25,2015-09-20,2015-09-28,2015-09-26,2015-09-22,2015-09-26,2015-09-24,2015-09-19,0.33053,0.34338,0.36648,0.32322,0.40567
boundarywaters,DB,0004,falling,gcc_90,2014-09-20,2014-09-18,2014-09-15,2014-09-21,2014-09-19,2014-09-16,2014-09-18,2014-09-17,2014-09-14,0.34092,0.35788,0.37824,0.34092,0.40983
boundarywaters,DB,0004,falling,gcc_75,2015-09-27,2015-09-25,2015-09-20,2015-09-28,2015-09-26,2015-09-22,2015-09-26,2015-09-24,2015-09-19,0.32927,0.342,0.36477,0.32198,0.4049
boundarywaters,DB,0004,falling,gcc_75,2014-09-20,2014-09-19,2014-09-15,2014-09-21,2014-09-20,2014-09-17,2014-09-19,2014-09-17,2014-09-14,0.33971,0.34829,0.37668,0.33971,0.40422
boundarywaters,DB,0004,falling,gcc_50,2015-09-27,2015-09-26,2015-09-20,2015-09-28,2015-09-27,2015-09-22,2015-09-26,2015-09-24,2015-09-18,0.32818,0.33499,0.36149,0.3207,0.4013
boundarywaters,DB,0004,falling,gcc_50,2014-09-20,2014-09-19,2014-09-16,2014-09-21,2014-09-20,2014-09-17,2014-09-19,2014-09-17,2014-09-15,0.33806,0.34654,0.36893,0.33806,0.39978
boundarywaters,DB,0004,falling,gcc_mean,2015-09-27,2015-09-26,2015-09-20,2015-09-28,2015-09-27,2015-09-22,2015-09-26,2015-09-24,2015-09-19,0.32821,0.33505,0.36188,0.32071,0.39884
boundarywaters,DB,0004,falling,gcc_mean,2014-09-20,2014-09-19,2014-09-16,2014-09-21,2014-09-20,2014-09-17,2014-09-19,2014-09-17,2014-09-15,0.33801,0.34636,0.36856,0.33801,0.39831
