#
# Transition date estimate for bullshoals
#
# Site: bullshoals
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:25:49
# Spline RMSE gcc_mean: 0.00404
# Spline RMSE gcc_50: 0.00405
# Spline RMSE gcc_75: 0.00424
# Spline RMSE gcc_90: 0.00505
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bullshoals,GR,0001,rising,gcc_90,2014-04-16,2014-04-23,2014-05-04,2014-04-11,2014-04-22,2014-04-30,2014-04-19,2014-04-24,2014-09-09,0.32811,0.34342,0.37302,0.31866,0.41942
bullshoals,GR,0001,rising,gcc_90,2015-04-08,2015-04-13,2015-04-20,2015-04-06,2015-04-12,2015-04-18,2015-04-10,2015-04-15,2015-04-21,0.33271,0.34486,0.37209,0.32356,0.41961
bullshoals,GR,0001,rising,gcc_75,2014-04-15,2014-04-22,2014-05-04,2014-04-10,2014-04-21,2014-04-30,2014-04-19,2014-04-24,2014-09-09,0.32718,0.33841,0.37106,0.31827,0.41169
bullshoals,GR,0001,rising,gcc_75,2015-04-07,2015-04-13,2015-04-20,2015-04-05,2015-04-12,2015-04-18,2015-04-10,2015-04-14,2015-04-21,0.33063,0.34399,0.36882,0.32264,0.41171
bullshoals,GR,0001,rising,gcc_50,2014-04-15,2014-04-23,2014-05-04,2014-04-10,2014-04-22,2014-04-30,2014-04-19,2014-04-25,2014-09-09,0.32667,0.33979,0.37037,0.31793,0.40718
bullshoals,GR,0001,rising,gcc_50,2015-04-07,2015-04-13,2015-04-20,2015-04-05,2015-04-12,2015-04-18,2015-04-10,2015-04-14,2015-04-21,0.32953,0.34287,0.36568,0.32197,0.40703
bullshoals,GR,0001,rising,gcc_mean,2014-04-14,2014-04-22,2014-05-04,2014-04-09,2014-04-21,2014-04-30,2014-04-19,2014-04-24,2014-09-09,0.32608,0.3373,0.37119,0.31726,0.40792
bullshoals,GR,0001,rising,gcc_mean,2015-04-07,2015-04-12,2015-04-20,2015-04-05,2015-04-11,2015-04-18,2015-04-09,2015-04-14,2015-04-21,0.32908,0.3399,0.36648,0.32113,0.40783
bullshoals,GR,0001,falling,gcc_90,2015-10-16,2015-10-02,2015-09-11,2015-10-19,2015-10-04,2015-09-12,2015-10-10,2015-09-29,2015-09-10,0.33253,0.34612,0.37115,0.324,0.41693
bullshoals,GR,0001,falling,gcc_90,2014-10-25,2014-10-14,2014-09-16,2014-10-31,2014-10-15,2014-09-18,2014-10-19,2014-10-10,2014-09-15,0.33203,0.3452,0.37307,0.32312,0.41657
bullshoals,GR,0001,falling,gcc_75,2015-10-18,2015-10-03,2015-09-11,2015-10-21,2015-10-05,2015-09-13,2015-10-12,2015-09-30,2015-09-10,0.3306,0.34354,0.36793,0.32322,0.40523
bullshoals,GR,0001,falling,gcc_75,2014-10-30,2014-10-16,2014-09-18,2014-11-01,2014-10-17,2014-09-20,2014-10-23,2014-10-13,2014-09-16,0.32943,0.34018,0.36326,0.3212,0.40362
bullshoals,GR,0001,falling,gcc_50,2015-10-18,2015-10-04,2015-09-11,2015-10-21,2015-10-06,2015-09-13,2015-10-14,2015-10-01,2015-09-10,0.3296,0.341,0.36494,0.32182,0.40104
bullshoals,GR,0001,falling,gcc_50,2014-10-30,2014-10-16,2014-09-17,2014-11-01,2014-10-17,2014-09-19,2014-10-23,2014-10-13,2014-09-15,0.32893,0.33977,0.36189,0.32133,0.39952
bullshoals,GR,0001,falling,gcc_mean,2015-10-19,2015-10-04,2015-09-11,2015-10-21,2015-10-07,2015-09-13,2015-10-14,2015-10-01,2015-09-10,0.32839,0.34124,0.36498,0.32127,0.40152
bullshoals,GR,0001,falling,gcc_mean,2014-10-30,2014-10-16,2014-09-17,2014-11-01,2014-10-17,2014-09-20,2014-10-22,2014-10-13,2014-09-16,0.32865,0.33954,0.36286,0.32108,0.4
