#
# Transition date estimate for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:26:36
# Spline RMSE gcc_mean: 0.00171
# Spline RMSE gcc_50: 0.00194
# Spline RMSE gcc_75: 0.00195
# Spline RMSE gcc_90: 0.00204
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
butte,GR,0001,rising,gcc_90,2009-05-18,2009-05-26,2009-06-05,2009-05-16,2009-05-25,2009-06-03,2009-05-21,2009-05-28,2009-06-06,0.35956,0.36875,0.38619,0.35415,0.41502
butte,GR,0001,rising,gcc_90,2010-05-19,2010-05-29,2010-06-08,2010-05-16,2010-05-26,2010-05-26,2010-05-23,2010-06-13,2010-06-13,0.3612,0.36966,0.38491,0.3557,0.41342
butte,GR,0001,rising,gcc_90,2011-05-19,2011-06-02,2011-06-14,2011-05-17,2011-05-17,2011-05-17,2011-06-16,2011-06-16,2011-06-16,0.35878,0.36814,0.38556,0.35218,0.41846
butte,GR,0001,rising,gcc_90,2012-05-22,2012-06-05,2012-06-19,2012-05-13,2012-06-03,2012-06-17,2012-05-27,2012-06-07,2012-06-21,0.36246,0.37081,0.3847,0.35699,0.41236
butte,GR,0001,rising,gcc_90,2013-05-18,2013-05-27,2013-06-06,2013-05-13,2013-05-26,2013-06-04,2013-05-21,2013-05-29,2013-06-07,0.36436,0.37201,0.38878,0.35858,0.41677
butte,GR,0001,rising,gcc_90,2014-05-19,2014-05-26,2014-06-08,2014-05-17,2014-05-25,2014-06-06,2014-05-21,2014-05-29,2014-06-09,0.36531,0.37349,0.39113,0.35916,0.422
butte,GR,0001,rising,gcc_90,2015-05-14,2015-05-20,2015-05-26,2015-05-13,2015-05-19,2015-05-25,2015-05-17,2015-05-21,2015-05-27,0.36416,0.37423,0.38977,0.359,0.42011
butte,GR,0001,rising,gcc_75,2009-05-18,2009-05-27,2009-06-05,2009-05-16,2009-05-26,2009-06-04,2009-05-21,2009-05-29,2009-06-06,0.35817,0.36718,0.38217,0.35284,0.41082
butte,GR,0001,rising,gcc_75,2010-05-21,2010-05-30,2010-06-08,2010-05-17,2010-05-26,2010-05-26,2010-05-25,2010-06-13,2010-06-13,0.3601,0.3678,0.38332,0.35458,0.41038
butte,GR,0001,rising,gcc_75,2011-05-19,2011-06-01,2011-06-13,2011-05-17,2011-05-17,2011-05-17,2011-06-16,2011-06-16,2011-06-16,0.3572,0.3662,0.38249,0.35128,0.41293
butte,GR,0001,rising,gcc_75,2012-05-22,2012-06-05,2012-06-20,2012-05-12,2012-06-03,2012-06-17,2012-05-28,2012-06-08,2012-06-22,0.36111,0.36855,0.38295,0.35604,0.4088
butte,GR,0001,rising,gcc_75,2013-05-19,2013-05-28,2013-06-07,2013-05-16,2013-05-27,2013-06-05,2013-05-23,2013-05-30,2013-06-08,0.36253,0.37009,0.38701,0.35737,0.41301
butte,GR,0001,rising,gcc_75,2014-05-19,2014-05-27,2014-06-08,2014-05-18,2014-05-26,2014-06-05,2014-05-22,2014-05-29,2014-06-09,0.36308,0.37233,0.38868,0.35785,0.41725
butte,GR,0001,rising,gcc_75,2015-05-09,2015-05-18,2015-05-26,2015-03-27,2015-05-17,2015-05-24,2015-05-12,2015-05-20,2015-05-27,0.35914,0.36766,0.38619,0.35286,0.41577
butte,GR,0001,rising,gcc_50,2009-05-17,2009-05-26,2009-06-05,2009-05-14,2009-05-25,2009-06-03,2009-05-20,2009-05-28,2009-06-06,0.35572,0.36369,0.37887,0.35052,0.40471
butte,GR,0001,rising,gcc_50,2010-05-22,2010-05-30,2010-06-07,2010-05-19,2010-05-26,2010-05-26,2010-05-26,2010-06-13,2010-06-13,0.35745,0.36474,0.37967,0.35256,0.40522
butte,GR,0001,rising,gcc_50,2011-05-18,2011-05-29,2011-06-11,2011-05-17,2011-05-17,2011-05-17,2011-06-16,2011-06-16,2011-06-16,0.35579,0.36397,0.37923,0.35036,0.40724
butte,GR,0001,rising,gcc_50,2012-05-23,2012-06-05,2012-06-19,2012-05-11,2012-06-03,2012-06-17,2012-05-28,2012-06-07,2012-06-21,0.35928,0.36646,0.37938,0.35432,0.40421
butte,GR,0001,rising,gcc_50,2013-05-14,2013-05-27,2013-06-06,2013-05-04,2013-05-26,2013-06-04,2013-05-20,2013-05-30,2013-06-07,0.35894,0.36591,0.38167,0.3537,0.40759
butte,GR,0001,rising,gcc_50,2014-05-16,2014-05-25,2014-06-06,2014-05-13,2014-05-24,2014-06-04,2014-05-19,2014-05-28,2014-06-07,0.35869,0.36645,0.38252,0.35341,0.41053
butte,GR,0001,rising,gcc_50,2015-05-04,2015-05-18,2015-05-26,2015-03-27,2015-05-17,2015-05-24,2015-05-11,2015-05-20,2015-05-27,0.35706,0.36558,0.38186,0.3516,0.40892
butte,GR,0001,rising,gcc_mean,2009-05-17,2009-05-25,2009-06-05,2009-05-14,2009-05-24,2009-06-03,2009-05-20,2009-05-27,2009-06-06,0.35496,0.36193,0.37802,0.34984,0.403
butte,GR,0001,rising,gcc_mean,2010-05-21,2010-05-30,2010-06-07,2010-05-17,2010-05-26,2010-05-26,2010-05-25,2010-06-13,2010-06-13,0.35672,0.36403,0.37837,0.35156,0.40448
