#
# Transition date estimate for canadaOA
#
# Site: canadaOA
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:28:18
# Spline RMSE gcc_mean: 0.00268
# Spline RMSE gcc_50: 0.00278
# Spline RMSE gcc_75: 0.00277
# Spline RMSE gcc_90: 0.00284
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOA,DB,0001,rising,gcc_90,2012-05-09,2012-05-12,2012-05-15,2012-05-08,2012-05-11,2012-05-14,2012-05-11,2012-05-13,2012-05-16,0.31877,0.3342,0.35666,0.31467,0.39335
canadaOA,DB,0001,rising,gcc_90,2013-05-13,2013-05-14,2013-05-17,2013-05-12,2013-05-13,2013-05-16,2013-05-14,2013-05-15,2013-05-18,0.32124,0.32828,0.35882,0.31448,0.39657
canadaOA,DB,0001,rising,gcc_90,2014-05-21,2014-05-22,2014-05-25,2014-05-20,2014-05-21,2014-05-24,2014-05-22,2014-05-23,2014-05-26,0.32035,0.33028,0.36129,0.31473,0.39719
canadaOA,DB,0001,rising,gcc_90,2015-05-14,2015-05-16,2015-05-20,2015-05-13,2015-05-15,2015-05-19,2015-05-15,2015-05-18,2015-05-21,0.3209,0.32911,0.35919,0.31393,0.39788
canadaOA,DB,0001,rising,gcc_75,2012-05-09,2012-05-12,2012-05-15,2012-05-08,2012-05-11,2012-05-14,2012-05-11,2012-05-13,2012-05-16,0.31762,0.3326,0.35457,0.31385,0.38888
canadaOA,DB,0001,rising,gcc_75,2013-05-13,2013-05-14,2013-05-17,2013-05-12,2013-05-13,2013-05-16,2013-05-14,2013-05-16,2013-05-18,0.31938,0.3261,0.35566,0.31358,0.39221
canadaOA,DB,0001,rising,gcc_75,2014-05-21,2014-05-22,2014-05-25,2014-05-20,2014-05-21,2014-05-24,2014-05-22,2014-05-23,2014-05-26,0.3186,0.32845,0.35938,0.31397,0.39356
canadaOA,DB,0001,rising,gcc_75,2015-05-14,2015-05-16,2015-05-20,2015-05-13,2015-05-15,2015-05-19,2015-05-15,2015-05-18,2015-05-21,0.32022,0.32839,0.35789,0.31301,0.39402
canadaOA,DB,0001,rising,gcc_50,2012-05-09,2012-05-11,2012-05-15,2012-05-08,2012-05-10,2012-05-14,2012-05-11,2012-05-13,2012-05-16,0.31654,0.32539,0.35286,0.31271,0.38522
canadaOA,DB,0001,rising,gcc_50,2013-05-13,2013-05-14,2013-05-17,2013-05-12,2013-05-13,2013-05-16,2013-05-14,2013-05-15,2013-05-18,0.31811,0.32462,0.35333,0.31249,0.3869
canadaOA,DB,0001,rising,gcc_50,2014-05-21,2014-05-22,2014-05-25,2014-05-20,2014-05-21,2014-05-23,2014-05-22,2014-05-23,2014-05-26,0.31696,0.32639,0.35616,0.31272,0.38639
canadaOA,DB,0001,rising,gcc_50,2015-05-14,2015-05-16,2015-05-20,2015-05-13,2015-05-15,2015-05-19,2015-05-15,2015-05-17,2015-05-21,0.31869,0.32713,0.35556,0.31199,0.38629
canadaOA,DB,0001,rising,gcc_mean,2012-05-09,2012-05-11,2012-05-15,2012-05-08,2012-05-10,2012-05-13,2012-05-11,2012-05-13,2012-05-16,0.31684,0.3257,0.35293,0.31258,0.38262
canadaOA,DB,0001,rising,gcc_mean,2013-05-13,2013-05-14,2013-05-17,2013-05-12,2013-05-13,2013-05-16,2013-05-14,2013-05-15,2013-05-18,0.31829,0.3248,0.35293,0.31228,0.38538
canadaOA,DB,0001,rising,gcc_mean,2014-05-21,2014-05-22,2014-05-25,2014-05-20,2014-05-21,2014-05-23,2014-05-22,2014-05-23,2014-05-26,0.31711,0.32646,0.35553,0.3126,0.38416
canadaOA,DB,0001,rising,gcc_mean,2015-05-14,2015-05-16,2015-05-20,2015-05-13,2015-05-15,2015-05-18,2015-05-15,2015-05-17,2015-05-21,0.3181,0.32628,0.35361,0.31179,0.38218
canadaOA,DB,0001,falling,gcc_90,2015-10-03,2015-10-01,2015-09-27,2015-10-04,2015-10-02,2015-09-28,2015-10-01,2015-09-30,2015-09-26,0.31381,0.32592,0.3502,0.31146,0.38647
canadaOA,DB,0001,falling,gcc_90,2014-09-24,2014-09-23,2014-09-19,2014-09-25,2014-09-24,2014-09-20,2014-09-23,2014-09-21,2014-09-18,0.3191,0.32551,0.35643,0.31373,0.39158
canadaOA,DB,0001,falling,gcc_90,2013-10-08,2013-10-05,2013-09-30,2013-10-09,2013-10-06,2013-10-02,2013-10-06,2013-10-04,2013-09-29,0.31424,0.32708,0.34805,0.30927,0.38258
canadaOA,DB,0001,falling,gcc_90,2012-09-28,2012-09-27,2012-09-23,2012-09-29,2012-09-28,2012-09-25,2012-09-27,2012-09-26,2012-09-22,0.31711,0.32506,0.35022,0.31088,0.38421
canadaOA,DB,0001,falling,gcc_90,2011-10-04,2011-10-03,2011-09-29,2011-11-16,2011-11-16,2011-11-16,2011-09-27,2011-09-27,2011-09-27,0.31222,0.31994,0.35148,0.31044,0.38347
canadaOA,DB,0001,falling,gcc_75,2015-10-03,2015-10-01,2015-09-27,2015-10-04,2015-10-02,2015-09-28,2015-10-01,2015-09-30,2015-09-26,0.31239,0.32481,0.34896,0.30996,0.38231
canadaOA,DB,0001,falling,gcc_75,2014-09-24,2014-09-23,2014-09-19,2014-09-25,2014-09-24,2014-09-20,2014-09-23,2014-09-21,2014-09-18,0.31814,0.32453,0.3553,0.31388,0.38704
