#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: MX
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:28:30
# Spline RMSE gcc_mean: 0.00209
# Spline RMSE gcc_50: 0.00221
# Spline RMSE gcc_75: 0.00241
# Spline RMSE gcc_90: 0.00242
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,MX,0001,rising,gcc_90,2012-04-01,2012-04-24,2012-05-15,2012-03-28,2012-04-18,2012-05-12,2012-04-10,2012-05-03,2012-05-18,0.33875,0.3461,0.35899,0.33383,0.38329
canadaOBS,MX,0001,rising,gcc_90,2013-04-25,2013-05-03,2013-05-17,2013-04-18,2013-05-01,2013-05-14,2013-04-29,2013-05-07,2013-06-07,0.33488,0.34211,0.35695,0.3295,0.38355
canadaOBS,MX,0001,rising,gcc_90,2014-04-17,2014-05-15,2014-05-24,2014-04-03,2014-05-13,2014-05-22,2014-04-25,2014-05-18,2014-05-25,0.33446,0.34345,0.36215,0.32833,0.39182
canadaOBS,MX,0001,rising,gcc_90,2015-04-10,2015-04-28,2015-05-20,2015-04-06,2015-04-25,2015-05-17,2015-04-17,2015-05-04,2015-05-21,0.33758,0.34448,0.35886,0.33273,0.38222
canadaOBS,MX,0001,rising,gcc_75,2012-04-01,2012-04-26,2012-05-15,2012-03-28,2012-04-20,2012-05-11,2012-04-10,2012-05-03,2012-05-19,0.33752,0.34485,0.3572,0.33311,0.38041
canadaOBS,MX,0001,rising,gcc_75,2013-04-24,2013-05-03,2013-05-17,2013-04-11,2013-05-01,2013-05-13,2013-04-29,2013-05-07,2013-06-08,0.3324,0.34005,0.3548,0.32768,0.38049
canadaOBS,MX,0001,rising,gcc_75,2014-04-20,2014-05-14,2014-05-23,2014-04-03,2014-05-12,2014-05-21,2014-04-26,2014-05-17,2014-05-24,0.33251,0.34083,0.35745,0.32662,0.38607
canadaOBS,MX,0001,rising,gcc_75,2015-04-08,2015-04-28,2015-05-19,2015-04-04,2015-04-24,2015-05-16,2015-04-14,2015-05-03,2015-05-21,0.33516,0.34266,0.35501,0.33084,0.3786
canadaOBS,MX,0001,rising,gcc_50,2012-03-31,2012-04-25,2012-05-15,2012-03-27,2012-04-19,2012-05-11,2012-04-07,2012-05-01,2012-05-20,0.33523,0.34226,0.35386,0.33102,0.37664
canadaOBS,MX,0001,rising,gcc_50,2013-04-24,2013-05-03,2013-05-16,2013-03-23,2013-05-01,2013-05-13,2013-04-29,2013-05-06,2013-05-20,0.3301,0.3374,0.35122,0.32543,0.37646
