#
# Transition date estimate for caryinstitute
#
# Site: caryinstitute
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:29:19
# Spline RMSE gcc_mean: 0.00262
# Spline RMSE gcc_50: 0.00266
# Spline RMSE gcc_75: 0.00234
# Spline RMSE gcc_90: 0.00213
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
caryinstitute,DB,0001,rising,gcc_90,2008-04-21,2008-04-28,2008-05-11,2008-04-19,2008-04-25,2008-05-09,2008-04-24,2008-05-03,2008-05-12,0.33246,0.34009,0.35452,0.3282,0.37792
caryinstitute,DB,0001,rising,gcc_90,2009-04-23,2009-04-27,2009-05-03,2009-04-21,2009-04-26,2009-05-01,2009-04-25,2009-04-29,2009-05-04,0.33176,0.34031,0.36065,0.3257,0.39056
caryinstitute,DB,0001,rising,gcc_90,2010-04-05,2010-04-13,2010-04-24,2010-04-03,2010-04-11,2010-04-22,2010-04-08,2010-04-15,2010-04-25,0.33186,0.34294,0.36203,0.32562,0.39583
caryinstitute,DB,0001,rising,gcc_90,2011-04-25,2011-04-29,2011-05-04,2011-04-24,2011-04-28,2011-05-03,2011-04-27,2011-04-30,2011-05-05,0.33124,0.34202,0.36231,0.32578,0.39433
caryinstitute,DB,0001,rising,gcc_90,2012-04-15,2012-04-23,2012-05-01,2012-04-13,2012-04-21,2012-04-29,2012-04-18,2012-04-25,2012-05-02,0.3357,0.34665,0.3672,0.32939,0.40058
caryinstitute,DB,0001,rising,gcc_90,2013-04-27,2013-04-30,2013-05-05,2013-04-25,2013-04-29,2013-05-03,2013-04-28,2013-05-01,2013-05-06,0.33685,0.34732,0.37,0.32967,0.40187
caryinstitute,DB,0001,rising,gcc_90,2014-05-05,2014-05-08,2014-05-12,2014-05-04,2014-05-07,2014-05-11,2014-05-07,2014-05-09,2014-05-13,0.33375,0.34419,0.36175,0.32796,0.39421
caryinstitute,DB,0001,rising,gcc_90,2015-04-30,2015-05-03,2015-05-07,2015-04-29,2015-05-02,2015-05-05,2015-05-02,2015-05-04,2015-05-08,0.33422,0.34347,0.36601,0.32834,0.39383
caryinstitute,DB,0001,rising,gcc_75,2008-04-21,2008-04-28,2008-05-11,2008-04-19,2008-04-24,2008-05-09,2008-04-24,2008-05-03,2008-05-13,0.33003,0.33835,0.3513,0.32619,0.37543
caryinstitute,DB,0001,rising,gcc_75,2009-04-23,2009-04-27,2009-05-03,2009-04-21,2009-04-26,2009-05-01,2009-04-25,2009-04-29,2009-05-04,0.32984,0.33826,0.35804,0.32385,0.386
caryinstitute,DB,0001,rising,gcc_75,2010-04-04,2010-04-12,2010-04-24,2010-04-02,2010-04-10,2010-04-21,2010-04-08,2010-04-15,2010-04-25,0.32956,0.33998,0.35947,0.32399,0.39078
caryinstitute,DB,0001,rising,gcc_75,2011-04-25,2011-04-29,2011-05-04,2011-04-23,2011-04-28,2011-05-03,2011-04-27,2011-04-30,2011-05-05,0.32965,0.33982,0.35856,0.32372,0.39051
caryinstitute,DB,0001,rising,gcc_75,2012-04-15,2012-04-23,2012-05-01,2012-04-13,2012-04-21,2012-04-29,2012-04-18,2012-04-25,2012-05-02,0.33412,0.34489,0.36482,0.32791,0.39655
caryinstitute,DB,0001,rising,gcc_75,2013-04-26,2013-04-30,2013-05-05,2013-04-25,2013-04-29,2013-05-03,2013-04-28,2013-05-01,2013-05-06,0.33326,0.34537,0.36713,0.32781,0.39847
caryinstitute,DB,0001,rising,gcc_75,2014-05-05,2014-05-08,2014-05-13,2014-05-04,2014-05-07,2014-05-11,2014-05-07,2014-05-09,2014-05-14,0.33204,0.34161,0.36344,0.32696,0.38968
caryinstitute,DB,0001,rising,gcc_75,2015-04-30,2015-05-03,2015-05-06,2015-04-28,2015-05-02,2015-05-05,2015-05-02,2015-05-04,2015-05-07,0.33266,0.34178,0.35848,0.32665,0.38865
caryinstitute,DB,0001,rising,gcc_50,2008-04-21,2008-04-27,2008-05-11,2008-04-18,2008-04-23,2008-05-08,2008-04-24,2008-05-02,2008-05-12,0.3284,0.33557,0.34871,0.32431,0.36974
caryinstitute,DB,0001,rising,gcc_50,2009-04-22,2009-04-26,2009-05-02,2009-04-19,2009-04-25,2009-04-30,2009-04-25,2009-04-29,2009-05-03,0.32669,0.33374,0.35162,0.32177,0.379
caryinstitute,DB,0001,rising,gcc_50,2010-04-03,2010-04-10,2010-04-23,2010-03-31,2010-04-08,2010-04-20,2010-04-07,2010-04-14,2010-04-24,0.3272,0.33587,0.35376,0.32158,0.38342
caryinstitute,DB,0001,rising,gcc_50,2011-04-24,2011-04-28,2011-05-04,2011-04-22,2011-04-27,2011-05-02,2011-04-27,2011-04-30,2011-05-05,0.32607,0.33405,0.35478,0.32082,0.38506
caryinstitute,DB,0001,rising,gcc_50,2012-04-15,2012-04-22,2012-05-01,2012-04-12,2012-04-20,2012-04-29,2012-04-19,2012-04-25,2012-05-02,0.33186,0.34115,0.36085,0.32624,0.39039
caryinstitute,DB,0001,rising,gcc_50,2013-04-26,2013-04-30,2013-05-05,2013-04-24,2013-04-29,2013-05-03,2013-04-28,2013-05-02,2013-05-06,0.33102,0.34184,0.36278,0.32575,0.39382
caryinstitute,DB,0001,rising,gcc_50,2014-05-05,2014-05-08,2014-05-12,2014-05-03,2014-05-07,2014-05-11,2014-05-07,2014-05-09,2014-05-13,0.33085,0.33995,0.35572,0.32563,0.38408
caryinstitute,DB,0001,rising,gcc_50,2015-04-30,2015-05-03,2015-05-06,2015-04-27,2015-05-02,2015-05-05,2015-05-02,2015-05-04,2015-05-07,0.33097,0.33913,0.35426,0.32557,0.38218
caryinstitute,DB,0001,rising,gcc_mean,2009-04-21,2009-04-26,2009-05-02,2009-04-11,2009-04-25,2009-04-30,2009-04-24,2009-04-28,2009-05-03,0.32587,0.33371,0.35057,0.3204,0.37848
caryinstitute,DB,0001,rising,gcc_mean,2010-04-03,2010-04-10,2010-04-21,2010-04-01,2010-04-08,2010-04-18,2010-04-07,2010-04-13,2010-04-23,0.32573,0.33492,0.3505,0.32077,0.37982
caryinstitute,DB,0001,rising,gcc_mean,2011-04-25,2011-04-29,2011-05-04,2011-04-23,2011-04-28,2011-05-02,2011-04-28,2011-05-01,2011-05-05,0.32563,0.33564,0.35426,0.32066,0.3823
caryinstitute,DB,0001,rising,gcc_mean,2012-04-14,2012-04-22,2012-05-01,2012-04-10,2012-04-20,2012-04-29,2012-04-18,2012-04-25,2012-05-02,0.33098,0.34092,0.3608,0.32506,0.3897
caryinstitute,DB,0001,rising,gcc_mean,2013-04-26,2013-04-29,2013-05-05,2013-04-24,2013-04-28,2013-05-03,2013-04-28,2013-05-01,2013-05-06,0.33103,0.33885,0.363,0.32503,0.39314
caryinstitute,DB,0001,rising,gcc_mean,2014-05-05,2014-05-08,2014-05-12,2014-05-03,2014-05-07,2014-05-11,2014-05-07,2014-05-10,2014-05-13,0.3295,0.33869,0.35446,0.32516,0.38292
caryinstitute,DB,0001,rising,gcc_mean,2015-04-29,2015-05-03,2015-05-06,2015-04-27,2015-05-02,2015-05-05,2015-05-02,2015-05-04,2015-05-07,0.32896,0.33881,0.35384,0.32452,0.38201
caryinstitute,DB,0001,falling,gcc_90,2015-10-29,2015-10-27,2015-10-22,2015-10-30,2015-10-28,2015-10-24,2015-10-27,2015-10-25,2015-10-21,0.32904,0.33574,0.3518,0.32749,0.37009
caryinstitute,DB,0001,falling,gcc_90,2014-10-28,2014-10-25,2014-10-17,2014-10-30,2014-10-26,2014-10-20,2014-10-26,2014-10-22,2014-10-16,0.33222,0.33729,0.35082,0.32868,0.36977
caryinstitute,DB,0001,falling,gcc_90,2013-10-24,2013-10-19,2013-10-11,2013-10-27,2013-10-20,2013-10-14,2013-10-21,2013-10-17,2013-10-09,0.33467,0.34201,0.35686,0.32954,0.3824
caryinstitute,DB,0001,falling,gcc_90,2012-10-21,2012-10-19,2012-10-12,2012-10-22,2012-10-20,2012-10-15,2012-10-19,2012-10-17,2012-10-09,0.33314,0.33991,0.35389,0.33079,0.37631
caryinstitute,DB,0001,falling,gcc_90,2011-10-30,2011-10-26,2011-10-20,2011-10-31,2011-10-27,2011-10-22,2011-10-27,2011-10-24,2011-10-19,0.32968,0.3371,0.35262,0.32617,0.37659
caryinstitute,DB,0001,falling,gcc_90,2010-10-26,2010-10-24,2010-10-19,2010-10-27,2010-10-25,2010-10-21,2010-10-24,2010-10-22,2010-10-18,0.3234,0.33161,0.35059,0.3195,0.37853
