#
# Transition date estimate for chibougamau
#
# Site: chibougamau
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:30:50
# Spline RMSE gcc_mean: 0.00235
# Spline RMSE gcc_50: 0.00249
# Spline RMSE gcc_75: 0.00273
# Spline RMSE gcc_90: 0.00291
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
chibougamau,EN,0001,rising,gcc_90,2009-03-10,2009-04-05,2009-04-28,2009-03-05,2009-03-17,2009-04-23,2009-03-16,2009-04-16,2009-05-02,0.34415,0.34958,0.35915,0.34066,0.37666
chibougamau,EN,0001,rising,gcc_90,2010-02-26,2010-03-04,2010-04-04,2010-02-22,2010-03-02,2010-03-31,2010-03-01,2010-03-09,2010-04-07,0.34523,0.35098,0.36205,0.34143,0.38227
chibougamau,EN,0001,rising,gcc_90,2011-03-19,2011-04-10,2011-05-04,2011-03-03,2011-04-01,2011-04-30,2011-04-02,2011-04-25,2011-05-06,0.35008,0.35498,0.36404,0.34677,0.38003
chibougamau,EN,0001,rising,gcc_75,2009-03-10,2009-04-05,2009-04-27,2009-03-06,2009-03-19,2009-04-23,2009-03-17,2009-04-15,2009-05-02,0.3415,0.34744,0.3569,0.33823,0.37526
chibougamau,EN,0001,rising,gcc_75,2010-03-19,2010-03-31,2010-04-25,2010-03-04,2010-03-28,2010-04-09,2010-03-29,2010-04-04,2010-05-06,0.35285,0.35727,0.36564,0.34971,0.38131
chibougamau,EN,0001,rising,gcc_75,2011-03-15,2011-04-06,2011-05-03,2011-03-01,2011-03-31,2011-04-29,2011-03-30,2011-04-22,2011-05-06,0.34777,0.35254,0.36156,0.34452,0.37785
chibougamau,EN,0001,rising,gcc_50,2009-03-14,2009-04-14,2009-04-30,2009-03-10,2009-03-26,2009-04-24,2009-03-24,2009-04-19,2009-05-04,0.34079,0.34633,0.35572,0.33751,0.37328
chibougamau,EN,0001,rising,gcc_50,2010-03-26,2010-03-30,2010-04-22,2010-03-02,2010-03-29,2010-04-05,2010-03-27,2010-04-03,2010-04-28,0.34901,0.35297,0.36268,0.34601,0.37895
chibougamau,EN,0001,rising,gcc_50,2011-03-25,2011-04-08,2011-05-02,2011-03-06,2011-04-01,2011-04-28,2011-04-02,2011-04-23,2011-05-05,0.34548,0.35051,0.35961,0.34233,0.37563
chibougamau,EN,0001,rising,gcc_mean,2009-03-14,2009-04-14,2009-04-29,2009-03-10,2009-03-28,2009-04-24,2009-03-28,2009-04-18,2009-05-04,0.34075,0.3462,0.3548,0.33776,0.37184
chibougamau,EN,0001,rising,gcc_mean,2010-03-28,2010-03-31,2010-04-24,2010-03-26,2010-03-30,2010-04-06,2010-03-31,2010-04-04,2010-04-29,0.34906,0.35353,0.36305,0.34699,0.37839
chibougamau,EN,0001,rising,gcc_mean,2011-03-25,2011-04-09,2011-05-03,2011-03-06,2011-03-31,2011-04-29,2011-04-01,2011-04-26,2011-05-06,0.34519,0.35023,0.35898,0.34208,0.37507
chibougamau,EN,0001,falling,gcc_90,2010-11-10,2010-11-02,2010-10-03,2010-11-13,2010-11-07,2010-10-20,2010-11-06,2010-10-28,2010-08-30,0.35166,0.35713,0.36598,0.34884,0.38264
chibougamau,EN,0001,falling,gcc_90,2009-11-24,2009-11-06,2009-10-11,2009-11-27,2009-11-20,2009-10-16,2009-11-19,2009-10-23,2009-10-06,0.34999,0.35477,0.36243,0.34741,0.37699
chibougamau,EN,0001,falling,gcc_90,2008-11-14,2008-11-08,2008-10-20,2008-11-16,2008-11-11,2008-10-25,2008-11-10,2008-11-02,2008-10-15,0.34654,0.35199,0.36117,0.34406,0.37786
chibougamau,EN,0001,falling,gcc_75,2010-11-08,2010-10-29,2010-10-05,2010-11-12,2010-11-01,2010-10-20,2010-11-01,2010-10-25,2010-08-30,0.34987,0.35506,0.36424,0.34687,0.38103
chibougamau,EN,0001,falling,gcc_75,2009-12-01,2009-11-26,2009-10-21,2009-12-04,2009-11-28,2009-11-01,2009-11-28,2009-11-22,2009-10-15,0.34119,0.34672,0.35673,0.3374,0.37557
chibougamau,EN,0001,falling,gcc_75,2008-11-13,2008-11-07,2008-10-20,2008-11-15,2008-11-10,2008-10-25,2008-11-10,2008-11-02,2008-10-15,0.34548,0.35079,0.35935,0.34251,0.37592
chibougamau,EN,0001,falling,gcc_50,2010-11-17,2010-10-31,2010-10-09,2010-11-20,2010-11-04,2010-10-20,2010-11-14,2010-10-29,2010-08-30,0.34269,0.34848,0.35933,0.33879,0.37906
chibougamau,EN,0001,falling,gcc_50,2009-12-01,2009-11-27,2009-10-24,2009-12-03,2009-11-29,2009-10-31,2009-11-28,2009-11-24,2009-10-13,0.33875,0.34432,0.35439,0.3353,0.37342
chibougamau,EN,0001,falling,gcc_50,2008-11-18,2008-11-13,2008-10-25,2008-11-20,2008-11-15,2008-11-06,2008-11-15,2008-11-11,2008-10-22,0.33665,0.34313,0.35383,0.33333,0.37345
chibougamau,EN,0001,falling,gcc_mean,2010-11-01,2010-10-11,2010-10-03,2010-11-06,2010-10-20,2010-10-20,2010-10-29,2010-08-30,2010-08-30,0.34854,0.35412,0.36296,0.34601,0.3786
chibougamau,EN,0001,falling,gcc_mean,2009-12-01,2009-11-27,2009-10-17,2009-12-03,2009-11-28,2009-10-27,2009-11-28,2009-11-24,2009-10-12,0.33868,0.344,0.35449,0.33573,0.37265
chibougamau,EN,0001,falling,gcc_mean,2008-11-17,2008-11-12,2008-10-23,2008-11-19,2008-11-14,2008-10-27,2008-11-13,2008-11-10,2008-10-21,0.3368,0.34347,0.35352,0.33404,0.37278
