#
# Transition date estimate for coaloilpoint
#
# Site: coaloilpoint
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:31:19
# Spline RMSE gcc_mean: 0.00079
# Spline RMSE gcc_50: 0.00098
# Spline RMSE gcc_75: 0.00091
# Spline RMSE gcc_90: 0.00123
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coaloilpoint,GR,0001,rising,gcc_90,2008-11-29,2008-12-24,2009-02-04,2008-11-26,2008-12-11,2009-01-30,2008-12-03,2009-01-04,2009-02-09,0.33675,0.34098,0.34806,0.33411,0.3616
coaloilpoint,GR,0001,rising,gcc_90,2009-11-22,2009-12-03,2010-01-13,2009-11-10,2009-11-10,2009-11-10,2010-02-04,2010-02-04,2010-02-04,0.33497,0.33856,0.34521,0.33273,0.35668
coaloilpoint,GR,0001,rising,gcc_75,2008-11-29,2008-12-12,2009-02-03,2008-11-26,2008-12-08,2009-01-28,2008-12-03,2009-01-01,2009-02-08,0.33575,0.33977,0.34663,0.33326,0.35982
coaloilpoint,GR,0001,rising,gcc_75,2009-11-12,2009-11-24,2009-12-15,2009-11-10,2009-11-10,2009-11-10,2010-02-04,2010-02-04,2010-02-04,0.33346,0.33616,0.34128,0.33167,0.3503
coaloilpoint,GR,0001,rising,gcc_50,2008-11-26,2008-12-10,2009-02-03,2008-11-23,2008-12-07,2009-01-29,2008-11-30,2008-12-15,2009-02-06,0.33437,0.33838,0.3452,0.33203,0.35806
coaloilpoint,GR,0001,rising,gcc_50,2009-10-24,2009-11-25,2009-12-17,2009-10-19,2009-11-10,2009-11-10,2009-11-01,2010-02-04,2010-02-04,0.33204,0.33491,0.33989,0.33025,0.34942
coaloilpoint,GR,0001,rising,gcc_mean,2008-11-28,2008-12-10,2009-02-02,2008-11-25,2008-12-07,2009-01-28,2008-12-01,2008-12-17,2009-02-06,0.33464,0.33848,0.34507,0.33212,0.3579
coaloilpoint,GR,0001,rising,gcc_mean,2009-10-23,2009-11-20,2009-12-13,2009-10-17,2009-11-10,2009-11-10,2009-10-28,2010-02-04,2010-02-04,0.33192,0.33443,0.33933,0.33033,0.34762
coaloilpoint,GR,0001,falling,gcc_90,2011-05-13,2011-05-08,2011-05-01,2011-05-14,2011-05-09,2011-05-02,2011-05-10,2011-05-06,2011-04-29,0.33819,0.34059,0.34486,0.33653,0.35319
coaloilpoint,GR,0001,falling,gcc_90,2009-05-02,2009-04-27,2009-04-19,2009-05-03,2009-04-28,2009-04-21,2009-04-30,2009-04-25,2009-04-18,0.33627,0.34076,0.34879,0.33388,0.36272
coaloilpoint,GR,0001,falling,gcc_75,2011-05-13,2011-05-09,2011-04-29,2011-05-14,2011-05-10,2011-04-30,2011-05-11,2011-05-06,2011-04-28,0.33743,0.33968,0.34454,0.33592,0.35231
coaloilpoint,GR,0001,falling,gcc_75,2009-05-02,2009-04-27,2009-04-19,2009-05-03,2009-04-28,2009-04-21,2009-04-30,2009-04-25,2009-04-18,0.33552,0.33973,0.34787,0.33312,0.36077
coaloilpoint,GR,0001,falling,gcc_50,2011-05-14,2011-05-09,2011-05-01,2011-05-15,2011-05-10,2011-05-02,2011-05-11,2011-05-06,2011-04-30,0.33627,0.33843,0.34316,0.33474,0.35092
coaloilpoint,GR,0001,falling,gcc_50,2009-05-04,2009-04-29,2009-04-20,2009-05-05,2009-04-30,2009-04-22,2009-05-02,2009-04-27,2009-04-19,0.33299,0.33678,0.34551,0.33071,0.35856
coaloilpoint,GR,0001,falling,gcc_mean,2011-05-15,2011-05-09,2011-04-29,2011-05-16,2011-05-10,2011-04-30,2011-05-11,2011-05-07,2011-04-28,0.33558,0.3386,0.34376,0.3347,0.35093
coaloilpoint,GR,0001,falling,gcc_mean,2009-05-02,2009-04-28,2009-04-20,2009-05-03,2009-04-29,2009-04-22,2009-04-30,2009-04-26,2009-04-19,0.33425,0.33778,0.3456,0.33173,0.35866
