#
# Transition date estimate for contactcreek
#
# Site: contactcreek
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:32:36
# Spline RMSE gcc_mean: 0.00267
# Spline RMSE gcc_50: 0.0032
# Spline RMSE gcc_75: 0.00267
# Spline RMSE gcc_90: 0.00265
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
contactcreek,SH,0001,rising,gcc_90,2011-05-31,2011-06-06,2011-06-16,2011-05-28,2011-06-05,2011-06-14,2011-06-03,2011-06-09,2011-06-17,0.3344,0.33938,0.34995,0.33099,0.36804
contactcreek,SH,0001,rising,gcc_90,2012-06-05,2012-06-11,2012-06-20,2012-06-03,2012-06-10,2012-06-17,2012-06-08,2012-06-13,2012-06-21,0.33414,0.34049,0.35265,0.33071,0.37181
contactcreek,SH,0001,rising,gcc_90,2013-05-28,2013-06-03,2013-06-09,2013-05-26,2013-06-01,2013-06-07,2013-05-31,2013-06-05,2013-06-10,0.33381,0.33954,0.34852,0.33092,0.36545
contactcreek,SH,0001,rising,gcc_75,2011-05-31,2011-06-06,2011-06-16,2011-05-28,2011-06-04,2011-06-13,2011-06-03,2011-06-09,2011-06-17,0.3335,0.33833,0.34841,0.33,0.36536
contactcreek,SH,0001,rising,gcc_75,2012-06-05,2012-06-11,2012-06-20,2012-06-03,2012-06-09,2012-06-17,2012-06-08,2012-06-13,2012-06-21,0.33353,0.33948,0.35075,0.33028,0.36898
contactcreek,SH,0001,rising,gcc_75,2013-05-30,2013-06-03,2013-06-09,2013-05-28,2013-06-02,2013-06-07,2013-06-02,2013-06-05,2013-06-11,0.33464,0.33854,0.34711,0.3317,0.36222
contactcreek,SH,0001,rising,gcc_50,2011-05-29,2011-06-04,2011-06-14,2011-05-25,2011-06-02,2011-06-10,2011-06-02,2011-06-07,2011-06-16,0.33124,0.33522,0.34402,0.32838,0.35802
contactcreek,SH,0001,rising,gcc_50,2012-06-03,2012-06-11,2012-06-21,2012-05-30,2012-06-08,2012-06-18,2012-06-08,2012-06-14,2012-06-23,0.33234,0.33735,0.34572,0.32947,0.36154
contactcreek,SH,0001,rising,gcc_50,2013-05-29,2013-06-03,2013-06-09,2013-05-27,2013-06-01,2013-06-07,2013-06-01,2013-06-05,2013-06-11,0.33287,0.3371,0.3445,0.33041,0.35793
contactcreek,SH,0001,rising,gcc_mean,2011-05-29,2011-06-04,2011-06-15,2011-05-25,2011-06-02,2011-06-11,2011-06-02,2011-06-08,2011-06-16,0.33138,0.33507,0.34376,0.3286,0.35718
