#
# Transition date estimate for contactcreek
#
# Site: contactcreek
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:32:28
# Spline RMSE gcc_mean: 0.00198
# Spline RMSE gcc_50: 0.00213
# Spline RMSE gcc_75: 0.00226
# Spline RMSE gcc_90: 0.00228
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
contactcreek,TN,0001,rising,gcc_90,2011-06-19,2011-06-30,2011-07-14,2011-06-09,2011-06-26,2011-07-11,2011-06-24,2011-07-04,2011-07-16,0.33564,0.33897,0.34509,0.33351,0.35613
contactcreek,TN,0001,rising,gcc_90,2012-06-01,2012-06-09,2012-07-08,2012-05-30,2012-06-06,2012-07-02,2012-06-04,2012-06-15,2012-07-11,0.33212,0.33616,0.34308,0.32993,0.35568
contactcreek,TN,0001,rising,gcc_90,2013-06-04,2013-06-18,2013-06-27,2013-06-02,2013-06-16,2013-06-25,2013-06-11,2013-06-21,2013-06-29,0.33495,0.33863,0.34562,0.33264,0.35853
contactcreek,TN,0001,rising,gcc_75,2011-06-20,2011-07-01,2011-07-14,2011-06-10,2011-06-27,2011-07-11,2011-06-25,2011-07-05,2011-07-16,0.33543,0.33855,0.34448,0.33342,0.35481
contactcreek,TN,0001,rising,gcc_75,2012-06-01,2012-06-09,2012-07-08,2012-05-30,2012-06-06,2012-07-03,2012-06-04,2012-06-15,2012-07-12,0.33182,0.33576,0.34217,0.32976,0.3545
contactcreek,TN,0001,rising,gcc_75,2013-06-05,2013-06-19,2013-06-28,2013-06-02,2013-06-17,2013-06-26,2013-06-12,2013-06-22,2013-06-29,0.33513,0.33855,0.34577,0.3327,0.3575
contactcreek,TN,0001,rising,gcc_50,2011-06-22,2011-07-03,2011-07-14,2011-06-17,2011-06-30,2011-07-11,2011-06-27,2011-07-06,2011-07-16,0.33503,0.33807,0.34327,0.3332,0.35312
contactcreek,TN,0001,rising,gcc_50,2012-06-01,2012-06-08,2012-07-10,2012-05-30,2012-06-06,2012-07-05,2012-06-04,2012-06-15,2012-07-13,0.33148,0.33499,0.34166,0.32938,0.35333
contactcreek,TN,0001,rising,gcc_50,2013-06-05,2013-06-20,2013-06-28,2013-06-02,2013-06-18,2013-06-26,2013-06-13,2013-06-22,2013-06-29,0.33464,0.3382,0.34471,0.3324,0.35578
contactcreek,TN,0001,rising,gcc_mean,2011-06-21,2011-07-02,2011-07-14,2011-06-17,2011-06-29,2011-07-11,2011-06-26,2011-07-05,2011-07-16,0.33487,0.33785,0.34335,0.33306,0.35313
contactcreek,TN,0001,rising,gcc_mean,2012-06-01,2012-06-08,2012-07-09,2012-05-30,2012-06-06,2012-07-05,2012-06-03,2012-06-14,2012-07-12,0.3316,0.33505,0.34164,0.32934,0.35348
contactcreek,TN,0001,rising,gcc_mean,2013-06-05,2013-06-19,2013-06-28,2013-06-02,2013-06-17,2013-06-26,2013-06-12,2013-06-22,2013-06-29,0.33455,0.33791,0.34472,0.33237,0.35603
contactcreek,TN,0001,falling,gcc_90,2013-10-03,2013-09-24,2013-09-14,2013-10-27,2013-09-26,2013-09-17,2013-09-28,2013-09-21,2013-09-12,0.33479,0.33852,0.34583,0.33226,0.35868
contactcreek,TN,0001,falling,gcc_90,2012-10-14,2012-10-08,2012-09-29,2012-10-17,2012-10-10,2012-10-01,2012-10-11,2012-10-06,2012-09-27,0.33327,0.33671,0.34345,0.33086,0.35598
contactcreek,TN,0001,falling,gcc_90,2011-10-14,2011-10-05,2011-09-03,2011-10-17,2011-10-08,2011-09-14,2011-10-10,2011-10-02,2011-08-31,0.33334,0.33702,0.34327,0.33108,0.3554
contactcreek,TN,0001,falling,gcc_90,2010-10-15,2010-10-09,2010-09-26,2010-10-18,2010-10-10,2010-09-30,2010-10-12,2010-10-07,2010-09-22,0.33317,0.33669,0.34358,0.3306,0.35639
contactcreek,TN,0001,falling,gcc_75,2013-10-02,2013-09-24,2013-09-14,2013-10-26,2013-09-26,2013-09-17,2013-09-28,2013-09-22,2013-09-12,0.33459,0.33827,0.34515,0.33214,0.35753
contactcreek,TN,0001,falling,gcc_75,2012-10-14,2012-10-08,2012-09-28,2012-10-17,2012-10-09,2012-10-01,2012-10-11,2012-10-05,2012-09-26,0.33285,0.33618,0.3432,0.33063,0.3552
contactcreek,TN,0001,falling,gcc_75,2011-10-13,2011-10-05,2011-09-03,2011-10-17,2011-10-08,2011-09-22,2011-10-10,2011-10-02,2011-08-31,0.33311,0.33644,0.34254,0.33083,0.35387
contactcreek,TN,0001,falling,gcc_75,2010-10-15,2010-10-09,2010-09-25,2010-10-17,2010-10-10,2010-09-29,2010-10-12,2010-10-06,2010-09-21,0.3327,0.3363,0.34323,0.33042,0.35601
contactcreek,TN,0001,falling,gcc_50,2013-10-01,2013-09-24,2013-09-15,2013-10-05,2013-09-26,2013-09-17,2013-09-27,2013-09-22,2013-09-12,0.33416,0.33769,0.3439,0.33201,0.35573
contactcreek,TN,0001,falling,gcc_50,2012-10-14,2012-10-08,2012-09-28,2012-10-16,2012-10-09,2012-10-01,2012-10-11,2012-10-05,2012-09-26,0.33218,0.33541,0.34201,0.3302,0.35361
contactcreek,TN,0001,falling,gcc_50,2011-10-13,2011-10-06,2011-09-03,2011-10-16,2011-10-08,2011-09-23,2011-10-10,2011-10-02,2011-08-31,0.33236,0.33534,0.34121,0.33018,0.35214
