#
# Transition date estimate for coville
#
# Site: coville
# Veg Type: TN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2014
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:33:37
# Spline RMSE gcc_mean: 0.00181
# Spline RMSE gcc_50: 0.00188
# Spline RMSE gcc_75: 0.00182
# Spline RMSE gcc_90: 0.00179
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coville,TN,0001,rising,gcc_90,2011-05-01,2011-05-27,2011-06-19,2011-04-29,2011-05-25,2011-06-15,2011-05-16,2011-05-30,2011-06-21,0.33248,0.33643,0.34384,0.33013,0.35721
coville,TN,0001,rising,gcc_90,2012-05-20,2012-06-03,2012-06-22,2012-05-17,2012-06-02,2012-06-20,2012-05-23,2012-06-05,2012-06-23,0.3324,0.33723,0.34661,0.32941,0.3623
coville,TN,0001,rising,gcc_90,2013-05-20,2013-05-29,2013-06-16,2013-05-13,2013-05-28,2013-06-14,2013-05-25,2013-06-01,2013-06-17,0.33286,0.3367,0.34527,0.33018,0.35994
coville,TN,0001,rising,gcc_90,2014-05-22,2014-06-06,2014-06-11,2014-05-03,2014-05-24,2014-06-08,2014-05-26,2014-06-07,2014-06-18,0.3326,0.33416,0.33764,0.33157,0.34344
coville,TN,0001,rising,gcc_75,2011-05-01,2011-05-27,2011-06-20,2011-04-29,2011-05-25,2011-06-15,2011-05-16,2011-05-30,2011-06-22,0.33225,0.33619,0.3437,0.33,0.35646
coville,TN,0001,rising,gcc_75,2012-05-21,2012-06-03,2012-06-22,2012-05-17,2012-06-02,2012-06-20,2012-05-24,2012-06-06,2012-06-23,0.33232,0.33665,0.34647,0.32928,0.36179
coville,TN,0001,rising,gcc_75,2013-05-20,2013-05-29,2013-06-16,2013-05-11,2013-05-28,2013-06-14,2013-05-25,2013-06-01,2013-06-17,0.33263,0.33643,0.3449,0.32997,0.35956
coville,TN,0001,rising,gcc_75,2014-05-21,2014-06-06,2014-06-11,2014-05-03,2014-05-23,2014-06-08,2014-05-26,2014-06-07,2014-06-18,0.33217,0.33373,0.33711,0.33106,0.34297
coville,TN,0001,rising,gcc_50,2011-05-02,2011-05-27,2011-06-09,2011-04-29,2011-05-25,2011-06-05,2011-05-18,2011-05-30,2011-06-24,0.33208,0.33582,0.34244,0.32978,0.35484
coville,TN,0001,rising,gcc_50,2012-05-22,2012-06-04,2012-06-22,2012-05-17,2012-06-02,2012-06-20,2012-05-25,2012-06-06,2012-06-23,0.33216,0.33674,0.34614,0.32902,0.36111
coville,TN,0001,rising,gcc_50,2013-05-20,2013-05-29,2013-06-16,2013-05-14,2013-05-28,2013-06-14,2013-05-26,2013-06-01,2013-06-17,0.3323,0.33604,0.34443,0.32973,0.35884
coville,TN,0001,rising,gcc_50,2014-05-21,2014-06-06,2014-06-11,2014-05-02,2014-05-23,2014-06-08,2014-05-26,2014-06-07,2014-06-18,0.33171,0.33343,0.33659,0.33057,0.34244
coville,TN,0001,rising,gcc_mean,2011-05-02,2011-05-27,2011-06-10,2011-04-29,2011-05-24,2011-06-05,2011-05-16,2011-05-30,2011-06-22,0.33199,0.33579,0.34231,0.32955,0.35498
coville,TN,0001,rising,gcc_mean,2012-05-22,2012-06-04,2012-06-22,2012-05-18,2012-06-02,2012-06-20,2012-05-25,2012-06-06,2012-06-23,0.33188,0.33678,0.34559,0.32888,0.36064
coville,TN,0001,rising,gcc_mean,2013-05-20,2013-05-29,2013-06-16,2013-05-11,2013-05-28,2013-06-14,2013-05-25,2013-05-31,2013-06-17,0.33225,0.33615,0.34417,0.32965,0.35818
coville,TN,0001,rising,gcc_mean,2014-05-21,2014-06-06,2014-06-11,2014-05-02,2014-05-23,2014-06-08,2014-05-26,2014-06-07,2014-06-18,0.33172,0.33336,0.33661,0.33058,0.34238
coville,TN,0001,falling,gcc_90,2014-11-24,2014-11-22,2014-11-14,2014-11-25,2014-11-23,2014-11-15,2014-11-21,2014-11-18,2014-09-23,0.33201,0.33405,0.33777,0.33176,0.34358
coville,TN,0001,falling,gcc_90,2013-10-31,2013-09-28,2013-09-19,2013-11-02,2013-09-29,2013-09-23,2013-10-21,2013-09-27,2013-09-18,0.3328,0.33601,0.34595,0.33017,0.36029
coville,TN,0001,falling,gcc_90,2012-10-11,2012-10-07,2012-09-25,2012-10-12,2012-10-08,2012-09-29,2012-10-10,2012-10-05,2012-09-24,0.33315,0.33788,0.34693,0.3308,0.36157
coville,TN,0001,falling,gcc_90,2011-10-18,2011-10-13,2011-09-28,2011-10-30,2011-10-14,2011-10-01,2011-10-17,2011-10-10,2011-09-27,0.33167,0.33567,0.34517,0.32894,0.35968
coville,TN,0001,falling,gcc_90,2010-10-26,2010-10-09,2010-10-01,2010-10-28,2010-10-23,2010-10-04,2010-10-24,2010-10-07,2010-09-19,0.33015,0.33464,0.34188,0.32788,0.35553
coville,TN,0001,falling,gcc_75,2014-11-23,2014-11-21,2014-11-15,2014-11-24,2014-11-22,2014-11-16,2014-11-21,2014-11-17,2014-09-23,0.33265,0.33414,0.33738,0.33151,0.34294
coville,TN,0001,falling,gcc_75,2013-10-31,2013-09-28,2013-09-19,2013-11-07,2013-09-29,2013-09-24,2013-10-26,2013-09-27,2013-09-18,0.33235,0.33554,0.3454,0.3296,0.35995
coville,TN,0001,falling,gcc_75,2012-10-11,2012-10-07,2012-09-25,2012-10-12,2012-10-08,2012-09-28,2012-10-10,2012-10-05,2012-09-23,0.33288,0.33755,0.34594,0.33054,0.3609
coville,TN,0001,falling,gcc_75,2011-10-18,2011-10-12,2011-09-28,2011-10-29,2011-10-14,2011-10-01,2011-10-17,2011-10-10,2011-09-27,0.33136,0.33634,0.34492,0.32868,0.35944
coville,TN,0001,falling,gcc_75,2010-10-26,2010-10-09,2010-10-01,2010-10-27,2010-10-23,2010-10-03,2010-10-24,2010-10-07,2010-09-19,0.32958,0.33429,0.3413,0.32759,0.35487
coville,TN,0001,falling,gcc_50,2014-11-23,2014-11-20,2014-11-15,2014-11-24,2014-11-21,2014-11-16,2014-11-20,2014-11-17,2014-09-24,0.33193,0.33339,0.33691,0.33079,0.34226
coville,TN,0001,falling,gcc_50,2013-10-31,2013-09-28,2013-09-19,2013-11-07,2013-09-29,2013-09-24,2013-10-27,2013-09-27,2013-09-17,0.33179,0.33475,0.34426,0.32883,0.35947
