#
# Transition date estimate for coweeta
#
# Site: coweeta
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:33:50
# Spline RMSE gcc_mean: 0.00464
# Spline RMSE gcc_50: 0.00524
# Spline RMSE gcc_75: 0.0058
# Spline RMSE gcc_90: 0.00541
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
coweeta,DB,0001,rising,gcc_90,2012-03-28,2012-04-08,2012-04-16,2012-03-25,2012-04-07,2012-04-14,2012-04-03,2012-04-11,2012-04-17,0.37926,0.3962,0.43297,0.3682,0.49136
coweeta,DB,0001,rising,gcc_90,2013-04-18,2013-04-26,2013-05-05,2013-04-15,2013-04-25,2013-05-03,2013-04-22,2013-04-29,2013-05-06,0.38348,0.40089,0.43814,0.37216,0.49708
coweeta,DB,0001,rising,gcc_90,2014-04-21,2014-04-27,2014-05-03,2014-04-19,2014-04-26,2014-05-01,2014-04-24,2014-04-29,2014-05-04,0.38144,0.40087,0.43961,0.37035,0.49703
coweeta,DB,0001,rising,gcc_90,2015-04-09,2015-04-21,2015-05-01,2015-04-05,2015-04-19,2015-04-29,2015-04-14,2015-04-24,2015-05-03,0.38506,0.40455,0.43889,0.37265,0.50464
coweeta,DB,0001,rising,gcc_75,2012-03-28,2012-04-10,2012-04-17,2012-03-23,2012-04-08,2012-04-15,2012-04-04,2012-04-12,2012-04-18,0.37646,0.39421,0.42887,0.3656,0.48537
coweeta,DB,0001,rising,gcc_75,2013-04-19,2013-04-27,2013-05-04,2013-04-15,2013-04-25,2013-05-02,2013-04-23,2013-04-29,2013-05-06,0.37997,0.39852,0.4284,0.36937,0.48732
coweeta,DB,0001,rising,gcc_75,2014-04-21,2014-04-27,2014-05-02,2014-04-18,2014-04-25,2014-04-30,2014-04-25,2014-04-29,2014-05-04,0.37807,0.39686,0.42787,0.36776,0.48763
coweeta,DB,0001,rising,gcc_75,2015-04-08,2015-04-21,2015-05-03,2015-04-02,2015-04-19,2015-04-30,2015-04-14,2015-04-25,2015-05-04,0.3811,0.39918,0.43703,0.36923,0.49576
coweeta,DB,0001,rising,gcc_50,2012-03-29,2012-04-10,2012-04-17,2012-03-22,2012-04-08,2012-04-15,2012-04-05,2012-04-12,2012-04-18,0.37312,0.38954,0.42107,0.3625,0.47509
coweeta,DB,0001,rising,gcc_50,2013-04-20,2013-04-26,2013-05-04,2013-04-14,2013-04-25,2013-05-01,2013-04-24,2013-04-29,2013-05-05,0.37594,0.38933,0.42137,0.36655,0.47
coweeta,DB,0001,rising,gcc_50,2014-04-21,2014-04-28,2014-05-05,2014-04-18,2014-04-26,2014-05-03,2014-04-25,2014-04-30,2014-05-06,0.37482,0.39287,0.42596,0.36525,0.47776
