#
# Transition date estimate for downerwoods
#
# Site: downerwoods
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:37:21
# Spline RMSE gcc_mean: 0.00498
# Spline RMSE gcc_50: 0.00621
# Spline RMSE gcc_75: 0.00442
# Spline RMSE gcc_90: 0.0041
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
downerwoods,DB,0001,rising,gcc_90,2013-05-13,2013-05-16,2013-05-20,2013-05-12,2013-05-15,2013-05-18,2013-05-15,2013-05-17,2013-05-21,0.3463,0.36298,0.39291,0.33875,0.43857
downerwoods,DB,0001,rising,gcc_90,2014-05-15,2014-05-21,2014-05-25,2014-05-11,2014-05-20,2014-05-24,2014-05-18,2014-05-22,2014-05-26,0.34692,0.36198,0.38738,0.33712,0.43685
downerwoods,DB,0001,rising,gcc_90,2015-05-06,2015-05-15,2015-05-22,2015-05-04,2015-05-14,2015-05-21,2015-05-09,2015-05-17,2015-05-23,0.34684,0.36002,0.38735,0.33761,0.43144
downerwoods,DB,0001,rising,gcc_75,2013-05-13,2013-05-16,2013-05-20,2013-05-12,2013-05-15,2013-05-19,2013-05-15,2013-05-17,2013-05-21,0.34478,0.3606,0.38955,0.33754,0.43608
downerwoods,DB,0001,rising,gcc_75,2014-05-14,2014-05-20,2014-05-25,2014-05-11,2014-05-19,2014-05-24,2014-05-18,2014-05-22,2014-05-26,0.34541,0.35662,0.38521,0.33642,0.43314
downerwoods,DB,0001,rising,gcc_75,2015-05-06,2015-05-15,2015-05-22,2015-05-04,2015-05-14,2015-05-21,2015-05-09,2015-05-17,2015-05-23,0.34616,0.35901,0.38582,0.33706,0.42939
downerwoods,DB,0001,rising,gcc_50,2013-05-12,2013-05-15,2013-05-21,2013-05-10,2013-05-14,2013-05-19,2013-05-14,2013-05-17,2013-05-22,0.34527,0.35551,0.38669,0.3359,0.42995
downerwoods,DB,0001,rising,gcc_50,2014-05-14,2014-05-19,2014-05-25,2014-05-12,2014-05-18,2014-05-24,2014-05-17,2014-05-21,2014-05-26,0.34365,0.35452,0.38192,0.33522,0.42669
downerwoods,DB,0001,rising,gcc_50,2015-05-06,2015-05-15,2015-05-21,2015-05-04,2015-05-13,2015-05-20,2015-05-09,2015-05-17,2015-05-22,0.34424,0.358,0.38015,0.33624,0.4234
downerwoods,DB,0001,rising,gcc_mean,2013-05-13,2013-05-16,2013-05-20,2013-05-11,2013-05-15,2013-05-19,2013-05-15,2013-05-17,2013-05-21,0.34496,0.35905,0.383,0.3356,0.42996
