#
# Transition date estimate for dukehw
#
# Site: dukehw
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:39:03
# Spline RMSE gcc_mean: 0.00188
# Spline RMSE gcc_50: 0.00185
# Spline RMSE gcc_75: 0.00189
# Spline RMSE gcc_90: 0.00216
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
dukehw,DB,0001,rising,gcc_90,2014-04-01,2014-04-05,2014-04-11,2014-03-31,2014-04-04,2014-04-09,2014-04-03,2014-04-06,2014-04-12,0.32813,0.34456,0.37889,0.31825,0.43063
dukehw,DB,0001,rising,gcc_90,2015-03-29,2015-04-03,2015-04-09,2015-03-28,2015-04-02,2015-04-08,2015-03-31,2015-04-05,2015-04-10,0.32741,0.34216,0.37665,0.31838,0.42996
dukehw,DB,0001,rising,gcc_75,2014-04-01,2014-04-05,2014-04-11,2014-03-31,2014-04-04,2014-04-10,2014-04-03,2014-04-06,2014-04-12,0.32727,0.34285,0.37495,0.31778,0.42732
dukehw,DB,0001,rising,gcc_75,2015-03-30,2015-04-04,2015-04-09,2015-03-29,2015-04-03,2015-04-08,2015-04-01,2015-04-05,2015-04-10,0.32806,0.34323,0.37259,0.31791,0.42611
dukehw,DB,0001,rising,gcc_50,2014-04-01,2014-04-06,2014-04-12,2014-03-31,2014-04-05,2014-04-11,2014-04-03,2014-04-07,2014-04-13,0.32548,0.34296,0.37155,0.31702,0.42328
dukehw,DB,0001,rising,gcc_50,2015-03-30,2015-04-05,2015-04-10,2015-03-29,2015-04-04,2015-04-08,2015-04-01,2015-04-06,2015-04-11,0.32623,0.34351,0.37505,0.31729,0.42233
dukehw,DB,0001,rising,gcc_mean,2014-04-01,2014-04-05,2014-04-11,2014-03-31,2014-04-04,2014-04-10,2014-04-03,2014-04-07,2014-04-12,0.32517,0.33923,0.36886,0.31644,0.42071
dukehw,DB,0001,rising,gcc_mean,2015-03-30,2015-04-04,2015-04-09,2015-03-29,2015-04-03,2015-04-08,2015-04-01,2015-04-06,2015-04-10,0.32674,0.34039,0.36859,0.31699,0.41959
dukehw,DB,0001,falling,gcc_90,2015-10-26,2015-10-19,2015-10-07,2015-10-27,2015-10-20,2015-10-09,2015-10-24,2015-10-17,2015-10-06,0.33095,0.34559,0.37588,0.32105,0.42613
dukehw,DB,0001,falling,gcc_90,2014-10-26,2014-10-20,2014-10-07,2014-10-27,2014-10-21,2014-10-09,2014-10-24,2014-10-18,2014-10-06,0.33141,0.34667,0.37423,0.32316,0.42275
dukehw,DB,0001,falling,gcc_90,2013-10-24,2013-10-18,2013-10-03,2013-10-26,2013-10-19,2013-10-10,2013-10-22,2013-10-16,2013-09-28,0.33849,0.35197,0.37719,0.32929,0.42507
dukehw,DB,0001,falling,gcc_75,2015-10-27,2015-10-20,2015-10-08,2015-10-28,2015-10-21,2015-10-10,2015-10-25,2015-10-18,2015-10-07,0.32816,0.34207,0.37136,0.31844,0.41947
dukehw,DB,0001,falling,gcc_75,2014-10-26,2014-10-20,2014-10-07,2014-10-27,2014-10-21,2014-10-09,2014-10-24,2014-10-18,2014-10-06,0.32995,0.34494,0.37248,0.32194,0.41956
dukehw,DB,0001,falling,gcc_75,2013-10-25,2013-10-18,2013-10-02,2013-10-26,2013-10-19,2013-10-09,2013-10-22,2013-10-16,2013-09-29,0.33614,0.35053,0.37496,0.32774,0.42149
dukehw,DB,0001,falling,gcc_50,2015-10-26,2015-10-19,2015-10-08,2015-10-27,2015-10-20,2015-10-10,2015-10-24,2015-10-18,2015-10-07,0.32714,0.34221,0.36895,0.31775,0.41565
dukehw,DB,0001,falling,gcc_50,2014-10-26,2014-10-20,2014-10-08,2014-10-27,2014-10-21,2014-10-10,2014-10-24,2014-10-19,2014-10-07,0.32785,0.34347,0.36783,0.3198,0.41463
dukehw,DB,0001,falling,gcc_50,2013-10-25,2013-10-18,2013-10-01,2013-10-27,2013-10-19,2013-10-09,2013-10-23,2013-10-16,2013-09-28,0.33454,0.34829,0.37217,0.32556,0.41804
dukehw,DB,0001,falling,gcc_mean,2015-10-26,2015-10-19,2015-10-08,2015-10-27,2015-10-20,2015-10-10,2015-10-24,2015-10-17,2015-10-07,0.32665,0.34182,0.36862,0.31754,0.41725
dukehw,DB,0001,falling,gcc_mean,2014-10-26,2014-10-21,2014-10-08,2014-10-27,2014-10-22,2014-10-10,2014-10-24,2014-10-19,2014-10-07,0.32784,0.3408,0.36701,0.31985,0.41246
dukehw,DB,0001,falling,gcc_mean,2013-10-25,2013-10-18,2013-10-07,2013-10-27,2013-10-19,2013-10-10,2013-10-23,2013-10-16,2013-09-29,0.33435,0.34761,0.37126,0.32553,0.41641
