#
# Transition date estimate for eastend
#
# Site: eastend
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:39:39
# Spline RMSE gcc_mean: 0.00287
# Spline RMSE gcc_50: 0.00343
# Spline RMSE gcc_75: 0.00292
# Spline RMSE gcc_90: 0.00292
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
eastend,WL,0001,rising,gcc_90,2014-05-14,2014-05-16,2014-05-18,2014-05-11,2014-05-11,2014-05-11,2014-05-29,2014-05-29,2014-05-29,0.33589,0.35708,0.40007,0.3321,0.43433
eastend,WL,0001,rising,gcc_90,2014-08-07,2014-08-16,2014-08-31,2014-08-06,2014-08-14,2014-08-30,2014-08-10,2014-08-18,2014-09-01,0.35177,0.36092,0.37343,0.34863,0.39787
eastend,WL,0001,rising,gcc_90,2015-04-15,2015-04-16,2015-04-18,2014-12-30,2014-12-30,2014-12-30,2015-04-23,2015-04-23,2015-04-23,0.34399,0.35391,0.38624,0.33684,0.43188
eastend,WL,0001,rising,gcc_75,2014-05-14,2014-05-15,2014-05-18,2014-05-11,2014-05-11,2014-05-11,2014-05-29,2014-05-29,2014-05-29,0.33502,0.34784,0.39662,0.33122,0.42782
eastend,WL,0001,rising,gcc_75,2014-08-08,2014-08-26,2014-09-01,2014-08-07,2014-08-14,2014-08-31,2014-08-10,2014-08-27,2014-09-02,0.35106,0.35926,0.37276,0.34712,0.39656
eastend,WL,0001,rising,gcc_75,2015-04-15,2015-04-16,2015-04-18,2014-12-30,2014-12-30,2014-12-30,2015-04-23,2015-04-23,2015-04-23,0.34142,0.35151,0.38526,0.33456,0.42566
eastend,WL,0001,rising,gcc_50,2014-05-14,2014-05-15,2014-05-18,2014-05-11,2014-05-11,2014-05-11,2014-05-29,2014-05-29,2014-05-29,0.33628,0.34915,0.39539,0.327,0.42167
eastend,WL,0001,rising,gcc_50,2014-08-06,2014-08-13,2014-09-02,2014-07-27,2014-08-10,2014-08-31,2014-08-08,2014-08-17,2014-09-03,0.34595,0.35363,0.3685,0.34194,0.39201
eastend,WL,0001,rising,gcc_50,2015-04-15,2015-04-16,2015-04-19,2014-12-30,2014-12-30,2014-12-30,2015-04-23,2015-04-23,2015-04-23,0.33453,0.34059,0.3793,0.33251,0.41691
eastend,WL,0001,rising,gcc_mean,2014-05-14,2014-05-15,2014-05-18,2014-05-11,2014-05-11,2014-05-11,2014-05-29,2014-05-29,2014-05-29,0.33347,0.34512,0.38783,0.3403,0.38732
eastend,WL,0001,rising,gcc_mean,2015-04-16,2015-04-17,2015-04-20,2014-12-30,2014-12-30,2014-12-30,2015-04-23,2015-04-23,2015-04-23,0.3372,0.34917,0.37485,0.33301,0.40943
eastend,WL,0001,falling,gcc_90,2015-11-24,2015-11-19,2015-11-01,2015-11-25,2015-11-20,2015-11-08,2015-11-23,2015-11-17,2015-10-28,0.34135,0.35485,0.3816,0.33179,0.4301
eastend,WL,0001,falling,gcc_90,2014-12-23,2014-12-21,2014-12-06,2014-12-27,2014-12-23,2014-12-08,2014-12-15,2014-12-11,2014-12-04,0.35658,0.36369,0.37685,0.35227,0.40112
eastend,WL,0001,falling,gcc_90,2014-05-28,2014-05-27,2014-05-23,2014-05-29,2014-05-29,2014-05-29,2014-05-11,2014-05-11,2014-05-11,0.34203,0.3493,0.39717,0.33575,0.42564
eastend,WL,0001,falling,gcc_75,2015-11-23,2015-11-19,2015-11-03,2015-11-24,2015-11-20,2015-11-09,2015-11-22,2015-11-17,2015-10-29,0.34081,0.35191,0.3781,0.33167,0.42322
eastend,WL,0001,falling,gcc_75,2014-05-28,2014-05-27,2014-05-23,2014-05-29,2014-05-29,2014-05-29,2014-05-11,2014-05-11,2014-05-11,0.3413,0.34838,0.39319,0.3336,0.41944
eastend,WL,0001,falling,gcc_50,2015-11-21,2015-11-16,2015-11-02,2015-11-22,2015-11-17,2015-11-10,2015-11-19,2015-11-14,2015-10-28,0.3409,0.35521,0.37719,0.33396,0.41917
eastend,WL,0001,falling,gcc_50,2015-01-01,2014-12-29,2014-12-18,2015-04-23,2015-03-16,2014-12-23,2014-12-30,2014-12-24,2014-12-11,0.33996,0.34959,0.36541,0.3358,0.39144
eastend,WL,0001,falling,gcc_50,2014-05-29,2014-05-27,2014-05-24,2014-05-30,2014-05-29,2014-05-29,2014-05-25,2014-05-11,2014-05-11,0.33661,0.34729,0.37231,0.33087,0.41358
eastend,WL,0001,falling,gcc_mean,2015-11-22,2015-11-18,2015-11-03,2015-11-23,2015-11-19,2015-11-10,2015-11-20,2015-11-16,2015-10-30,0.3385,0.34995,0.3708,0.33139,0.4097
