#
# Transition date estimate for farewellgap
#
# Site: farewellgap
# Veg Type: SH
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:39:46
# Spline RMSE gcc_mean: 0.0051
# Spline RMSE gcc_50: 0.00557
# Spline RMSE gcc_75: 0.00548
# Spline RMSE gcc_90: 0.00576
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
farewellgap,SH,0002,rising,gcc_90,2014-05-18,2014-05-22,2014-05-29,2014-05-14,2014-05-19,2014-05-26,2014-05-21,2014-05-25,2014-05-31,0.33466,0.34181,0.35793,0.32938,0.38236
farewellgap,SH,0002,rising,gcc_90,2015-05-25,2015-05-30,2015-06-08,2015-05-19,2015-05-27,2015-06-05,2015-05-28,2015-06-02,2015-06-24,0.33465,0.34387,0.35943,0.32917,0.38908
farewellgap,SH,0002,rising,gcc_75,2014-05-18,2014-05-22,2014-05-29,2014-05-14,2014-05-20,2014-05-26,2014-05-21,2014-05-25,2014-05-31,0.33398,0.34074,0.35681,0.32872,0.38192
farewellgap,SH,0002,rising,gcc_75,2015-05-25,2015-05-30,2015-06-08,2015-05-10,2015-05-28,2015-06-05,2015-05-28,2015-06-03,2015-06-23,0.33298,0.34188,0.35829,0.32792,0.38678
farewellgap,SH,0002,rising,gcc_50,2014-05-18,2014-05-23,2014-05-29,2014-05-13,2014-05-20,2014-05-27,2014-05-22,2014-05-26,2014-05-31,0.33284,0.34071,0.35494,0.32782,0.3812
farewellgap,SH,0002,rising,gcc_50,2015-05-25,2015-05-30,2015-06-08,2015-05-07,2015-05-28,2015-06-05,2015-05-29,2015-06-03,2015-06-10,0.3302,0.33856,0.3564,0.32584,0.38324
farewellgap,SH,0002,rising,gcc_mean,2014-05-18,2014-05-22,2014-05-29,2014-05-14,2014-05-20,2014-05-27,2014-05-21,2014-05-25,2014-05-31,0.33316,0.33961,0.35564,0.32807,0.38133
farewellgap,SH,0002,rising,gcc_mean,2015-05-25,2015-05-30,2015-06-07,2015-05-09,2015-05-28,2015-06-04,2015-05-28,2015-06-02,2015-06-11,0.3312,0.33988,0.35474,0.32554,0.38379
farewellgap,SH,0002,falling,gcc_90,2015-10-26,2015-10-19,2015-10-07,2015-10-29,2015-10-24,2015-10-11,2015-10-22,2015-10-14,2015-10-04,0.34032,0.34909,0.36533,0.33473,0.39287
farewellgap,SH,0002,falling,gcc_90,2014-10-25,2014-10-21,2014-10-13,2014-10-27,2014-10-23,2014-10-17,2014-10-21,2014-10-17,2014-09-29,0.33557,0.34341,0.35717,0.33236,0.3818
farewellgap,SH,0002,falling,gcc_90,2013-10-14,2013-10-11,2013-10-06,2013-10-17,2013-10-13,2013-10-08,2013-10-11,2013-10-08,2013-10-04,0.33619,0.34222,0.35884,0.33079,0.38564
farewellgap,SH,0002,falling,gcc_75,2015-10-26,2015-10-19,2015-10-08,2015-10-29,2015-10-23,2015-10-12,2015-10-21,2015-10-14,2015-10-05,0.33856,0.34765,0.3624,0.33423,0.38838
farewellgap,SH,0002,falling,gcc_75,2014-10-24,2014-10-21,2014-10-12,2014-10-27,2014-10-23,2014-10-16,2014-10-21,2014-10-17,2014-09-29,0.33622,0.34188,0.35642,0.33133,0.38046
farewellgap,SH,0002,falling,gcc_75,2013-10-13,2013-10-10,2013-10-05,2013-10-16,2013-10-12,2013-10-07,2013-10-10,2013-10-07,2013-10-04,0.33537,0.3415,0.35838,0.33021,0.38398
farewellgap,SH,0002,falling,gcc_50,2015-10-24,2015-10-19,2015-10-08,2015-10-27,2015-10-22,2015-10-12,2015-10-20,2015-10-14,2015-10-05,0.33851,0.34522,0.35984,0.33362,0.38475
farewellgap,SH,0002,falling,gcc_50,2014-10-24,2014-10-20,2014-10-11,2014-10-27,2014-10-23,2014-10-15,2014-10-21,2014-10-16,2014-09-28,0.33417,0.34102,0.35379,0.33003,0.37745
farewellgap,SH,0002,falling,gcc_50,2013-10-15,2013-10-10,2013-10-05,2013-10-21,2013-10-12,2013-10-07,2013-10-11,2013-10-08,2013-10-04,0.32844,0.3361,0.35272,0.32334,0.37875
farewellgap,SH,0002,falling,gcc_mean,2015-10-25,2015-10-19,2015-10-09,2015-10-28,2015-10-22,2015-10-13,2015-10-20,2015-10-15,2015-10-06,0.33707,0.34457,0.35776,0.33344,0.38126
farewellgap,SH,0002,falling,gcc_mean,2014-10-23,2014-10-18,2014-10-01,2014-10-25,2014-10-21,2014-10-14,2014-10-19,2014-10-15,2014-09-28,0.33378,0.34193,0.35441,0.33065,0.37799
farewellgap,SH,0002,falling,gcc_mean,2013-10-15,2013-10-10,2013-10-05,2013-10-20,2013-10-12,2013-10-07,2013-10-11,2013-10-08,2013-10-03,0.32812,0.33621,0.35191,0.3228,0.3793
