#
# Transition date estimate for freemangrass
#
# Site: freemangrass
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:40:22
# Spline RMSE gcc_mean: 0.00175
# Spline RMSE gcc_50: 0.00252
# Spline RMSE gcc_75: 0.00291
# Spline RMSE gcc_90: 0.00351
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
freemangrass,GR,0001,rising,gcc_90,2012-09-18,2012-09-22,2012-09-27,2012-09-16,2012-09-20,2012-09-25,2012-09-22,2012-09-25,2012-09-28,0.34577,0.35081,0.36283,0.34345,0.37791
freemangrass,GR,0001,rising,gcc_90,2013-03-06,2013-03-15,2013-03-31,2013-02-08,2013-03-13,2013-03-30,2013-03-09,2013-03-18,2013-04-02,0.3254,0.33421,0.35103,0.3203,0.38154
freemangrass,GR,0001,rising,gcc_90,2013-09-05,2013-09-07,2013-09-11,2013-09-04,2013-09-06,2013-09-09,2013-09-07,2013-09-08,2013-09-12,0.33047,0.34105,0.35748,0.33047,0.38064
freemangrass,GR,0001,rising,gcc_75,2012-09-18,2012-09-22,2012-09-27,2012-09-17,2012-09-20,2012-09-25,2012-09-20,2012-09-24,2012-09-28,0.34304,0.34817,0.35994,0.34054,0.37467
freemangrass,GR,0001,rising,gcc_75,2013-02-05,2013-03-09,2013-03-21,2013-01-28,2013-03-07,2013-03-19,2013-02-10,2013-03-13,2013-03-31,0.32037,0.32845,0.34414,0.31468,0.37313
freemangrass,GR,0001,rising,gcc_75,2013-09-05,2013-09-07,2013-09-11,2013-09-04,2013-09-06,2013-09-09,2013-09-07,2013-09-08,2013-09-12,0.32742,0.33819,0.35543,0.32742,0.37732
freemangrass,GR,0001,rising,gcc_50,2012-09-18,2012-09-22,2012-09-27,2012-09-17,2012-09-20,2012-09-25,2012-09-20,2012-09-24,2012-09-28,0.33974,0.34488,0.35663,0.33742,0.37188
freemangrass,GR,0001,rising,gcc_50,2013-02-03,2013-03-08,2013-03-20,2013-01-27,2013-03-07,2013-03-18,2013-02-08,2013-03-11,2013-03-30,0.3191,0.32663,0.34112,0.31368,0.36812
freemangrass,GR,0001,rising,gcc_50,2013-09-05,2013-09-06,2013-09-10,2013-09-04,2013-09-05,2013-09-09,2013-09-07,2013-09-08,2013-09-11,0.32555,0.33059,0.34977,0.32337,0.37444
freemangrass,GR,0001,rising,gcc_mean,2012-09-19,2012-09-22,2012-09-27,2012-09-17,2012-09-21,2012-09-26,2012-09-22,2012-09-25,2012-09-28,0.34235,0.34633,0.35655,0.33986,0.37096
freemangrass,GR,0001,rising,gcc_mean,2013-01-28,2013-03-07,2013-03-19,2013-01-26,2013-03-06,2013-03-17,2013-02-07,2013-03-09,2013-03-20,0.31787,0.32466,0.33895,0.31269,0.36512
freemangrass,GR,0001,rising,gcc_mean,2013-09-05,2013-09-06,2013-09-10,2013-09-04,2013-09-05,2013-09-08,2013-09-06,2013-09-07,2013-09-11,0.32578,0.33229,0.35027,0.32315,0.37537
freemangrass,GR,0001,falling,gcc_90,2013-12-02,2013-11-15,2013-10-30,2013-12-18,2013-11-17,2013-10-31,2013-11-26,2013-11-13,2013-10-19,0.32764,0.3352,0.34868,0.32254,0.37454
freemangrass,GR,0001,falling,gcc_90,2013-06-26,2013-06-21,2013-06-17,2013-06-28,2013-06-25,2013-06-22,2013-06-25,2013-06-20,2013-06-16,0.33969,0.34616,0.36473,0.33548,0.38232
freemangrass,GR,0001,falling,gcc_90,2012-11-24,2012-11-18,2012-11-10,2012-11-26,2012-11-20,2012-11-13,2012-11-21,2012-11-16,2012-11-07,0.31596,0.32677,0.34352,0.31076,0.37489
freemangrass,GR,0001,falling,gcc_90,2012-06-22,2012-06-14,2012-06-06,2012-06-25,2012-06-16,2012-06-07,2012-06-21,2012-06-13,2012-06-04,0.34891,0.35898,0.38033,0.34196,0.41189
freemangrass,GR,0001,falling,gcc_75,2013-12-01,2013-11-15,2013-10-20,2013-12-09,2013-11-16,2013-10-22,2013-11-26,2013-11-12,2013-10-19,0.32729,0.33453,0.35074,0.32198,0.37641
freemangrass,GR,0001,falling,gcc_75,2013-06-26,2013-06-23,2013-06-18,2013-06-28,2013-06-25,2013-06-22,2013-06-25,2013-06-22,2013-06-17,0.33708,0.34436,0.35919,0.33294,0.37935
freemangrass,GR,0001,falling,gcc_75,2012-11-24,2012-11-19,2012-11-11,2012-11-26,2012-11-20,2012-11-13,2012-11-21,2012-11-17,2012-11-08,0.31459,0.32289,0.34111,0.30915,0.37219
freemangrass,GR,0001,falling,gcc_75,2012-06-22,2012-06-14,2012-06-06,2012-06-24,2012-06-15,2012-06-07,2012-06-21,2012-06-13,2012-06-04,0.34574,0.35528,0.37551,0.33906,0.40739
freemangrass,GR,0001,falling,gcc_50,2013-12-02,2013-11-16,2013-10-30,2013-12-17,2013-11-17,2013-10-31,2013-11-26,2013-11-13,2013-10-20,0.32609,0.33242,0.3463,0.32149,0.37017
freemangrass,GR,0001,falling,gcc_50,2013-06-26,2013-06-23,2013-06-18,2013-06-27,2013-06-24,2013-06-22,2013-06-25,2013-06-22,2013-06-17,0.33437,0.34049,0.35398,0.33075,0.3757
freemangrass,GR,0001,falling,gcc_50,2012-11-24,2012-11-19,2012-11-11,2012-11-26,2012-11-20,2012-11-13,2012-11-21,2012-11-17,2012-11-10,0.31343,0.32189,0.33985,0.30774,0.36975
freemangrass,GR,0001,falling,gcc_50,2012-06-23,2012-06-13,2012-06-06,2012-06-24,2012-06-14,2012-06-07,2012-06-22,2012-06-12,2012-06-04,0.34154,0.35187,0.37003,0.33572,0.40425
freemangrass,GR,0001,falling,gcc_mean,2013-11-27,2013-11-14,2013-10-20,2013-12-03,2013-11-15,2013-10-21,2013-11-24,2013-11-11,2013-10-19,0.327,0.33387,0.34842,0.32244,0.37398
freemangrass,GR,0001,falling,gcc_mean,2013-06-26,2013-06-22,2013-06-18,2013-06-27,2013-06-24,2013-06-22,2013-06-25,2013-06-21,2013-06-13,0.33553,0.34259,0.35564,0.33132,0.3781
freemangrass,GR,0001,falling,gcc_mean,2012-11-24,2012-11-19,2012-11-11,2012-11-26,2012-11-20,2012-11-13,2012-11-21,2012-11-17,2012-11-09,0.31325,0.32129,0.34057,0.30695,0.37324
freemangrass,GR,0001,falling,gcc_mean,2012-06-22,2012-06-09,2012-06-06,2012-06-23,2012-06-10,2012-06-07,2012-06-21,2012-06-08,2012-06-05,0.34326,0.35302,0.37703,0.3368,0.40393
