#
# Transition date estimate for gatesofthemountains
#
# Site: gatesofthemountains
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:41:17
# Spline RMSE gcc_mean: 0.00196
# Spline RMSE gcc_50: 0.00208
# Spline RMSE gcc_75: 0.00197
# Spline RMSE gcc_90: 0.00193
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
gatesofthemountains,GR,0001,rising,gcc_90,2012-05-30,2012-05-31,2012-06-17,2012-05-01,2012-05-30,2012-06-12,2012-05-31,2012-06-01,2012-06-22,0.33478,0.33629,0.34278,0.3331,0.35233
gatesofthemountains,GR,0001,rising,gcc_90,2013-06-02,2013-06-06,2013-06-16,2013-05-31,2013-06-05,2013-06-15,2013-06-05,2013-06-07,2013-06-18,0.33481,0.3405,0.35078,0.33176,0.36939
gatesofthemountains,GR,0001,rising,gcc_90,2014-05-19,2014-05-28,2014-06-08,2014-05-16,2014-05-25,2014-06-05,2014-05-22,2014-05-31,2014-06-20,0.33756,0.34216,0.35194,0.33426,0.36832
gatesofthemountains,GR,0001,rising,gcc_90,2015-05-18,2015-05-31,2015-06-07,2015-05-17,2015-05-29,2015-06-04,2015-05-19,2015-06-01,2015-06-08,0.33461,0.33903,0.34699,0.33299,0.35857
gatesofthemountains,GR,0001,rising,gcc_75,2012-05-30,2012-06-01,2012-06-17,2012-05-27,2012-05-31,2012-06-12,2012-05-31,2012-06-02,2012-06-22,0.33435,0.33738,0.34214,0.33267,0.35161
gatesofthemountains,GR,0001,rising,gcc_75,2013-06-03,2013-06-06,2013-06-16,2013-06-01,2013-06-05,2013-06-15,2013-06-05,2013-06-07,2013-06-18,0.33496,0.34009,0.35017,0.33126,0.36873
gatesofthemountains,GR,0001,rising,gcc_75,2014-05-20,2014-05-30,2014-06-09,2014-05-18,2014-05-27,2014-06-08,2014-05-23,2014-06-01,2014-06-21,0.33694,0.34218,0.3512,0.33391,0.36772
gatesofthemountains,GR,0001,rising,gcc_75,2015-05-27,2015-05-31,2015-06-07,2015-05-17,2015-05-30,2015-06-05,2015-05-28,2015-06-01,2015-06-08,0.33462,0.33764,0.34574,0.33232,0.35782
gatesofthemountains,GR,0001,rising,gcc_50,2012-05-30,2012-06-01,2012-06-19,2012-03-17,2012-05-31,2012-06-13,2012-05-31,2012-06-04,2012-06-22,0.33347,0.33612,0.34125,0.33197,0.35035
gatesofthemountains,GR,0001,rising,gcc_50,2013-06-03,2013-06-06,2013-06-16,2013-06-01,2013-06-05,2013-06-15,2013-06-05,2013-06-07,2013-06-18,0.33394,0.33942,0.3489,0.33033,0.36722
gatesofthemountains,GR,0001,rising,gcc_50,2014-05-20,2014-05-30,2014-06-09,2014-05-18,2014-05-27,2014-06-08,2014-05-23,2014-06-02,2014-06-23,0.33571,0.34091,0.35002,0.3324,0.36694
gatesofthemountains,GR,0001,rising,gcc_50,2015-05-27,2015-06-01,2015-06-07,2015-05-17,2015-05-30,2015-06-05,2015-05-28,2015-06-02,2015-06-08,0.33356,0.33738,0.34468,0.33139,0.35668
gatesofthemountains,GR,0001,rising,gcc_mean,2012-05-30,2012-06-01,2012-06-19,2012-03-17,2012-05-31,2012-06-12,2012-05-31,2012-06-02,2012-06-22,0.3333,0.33597,0.34093,0.33186,0.34984
gatesofthemountains,GR,0001,rising,gcc_mean,2013-06-03,2013-06-06,2013-06-17,2013-06-01,2013-06-05,2013-06-15,2013-06-05,2013-06-07,2013-06-22,0.33364,0.33874,0.34873,0.33004,0.36662
gatesofthemountains,GR,0001,rising,gcc_mean,2014-05-20,2014-05-30,2014-06-09,2014-05-18,2014-05-28,2014-06-08,2014-05-25,2014-06-02,2014-06-23,0.33509,0.34042,0.3493,0.33232,0.36596
gatesofthemountains,GR,0001,rising,gcc_mean,2015-05-28,2015-06-01,2015-06-07,2015-05-18,2015-05-31,2015-06-05,2015-05-29,2015-06-02,2015-06-08,0.33352,0.33678,0.3442,0.33123,0.35612
gatesofthemountains,GR,0001,falling,gcc_90,2014-09-10,2014-09-09,2014-09-07,2014-09-15,2014-09-10,2014-09-08,2014-09-08,2014-09-07,2014-08-18,0.33849,0.3422,0.35538,0.33582,0.37089
gatesofthemountains,GR,0001,falling,gcc_90,2013-09-24,2013-09-16,2013-09-01,2013-09-25,2013-09-21,2013-09-03,2013-09-22,2013-09-14,2013-08-31,0.33452,0.34092,0.35089,0.33265,0.36881
gatesofthemountains,GR,0001,falling,gcc_90,2012-09-09,2012-09-05,2012-08-19,2012-09-13,2012-09-06,2012-08-27,2012-09-05,2012-08-31,2012-08-16,0.33318,0.33607,0.34249,0.33135,0.35308
gatesofthemountains,GR,0001,falling,gcc_90,2011-09-04,2011-08-31,2011-08-25,2011-09-06,2011-09-01,2011-08-27,2011-09-01,2011-08-28,2011-08-23,0.33183,0.33551,0.34479,0.32922,0.35972
gatesofthemountains,GR,0001,falling,gcc_75,2014-09-10,2014-09-09,2014-09-07,2014-09-15,2014-09-10,2014-09-08,2014-09-09,2014-09-08,2014-08-18,0.33815,0.34193,0.35532,0.33498,0.36987
gatesofthemountains,GR,0001,falling,gcc_75,2013-09-24,2013-09-16,2013-08-31,2013-09-25,2013-09-20,2013-09-03,2013-09-22,2013-09-14,2013-08-30,0.33404,0.34004,0.35139,0.33199,0.3684
gatesofthemountains,GR,0001,falling,gcc_75,2012-09-09,2012-09-05,2012-08-19,2012-09-13,2012-09-06,2012-08-27,2012-09-05,2012-09-01,2012-08-16,0.33219,0.33524,0.34181,0.33036,0.35249
gatesofthemountains,GR,0001,falling,gcc_75,2011-09-05,2011-08-31,2011-08-25,2011-09-07,2011-09-01,2011-08-27,2011-09-01,2011-08-28,2011-08-23,0.33065,0.33464,0.34422,0.32822,0.35911
