#
# Transition date estimate for gcesapelo
#
# Site: gcesapelo
# Veg Type: WL
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:41:25
# Spline RMSE gcc_mean: 0.00283
# Spline RMSE gcc_50: 0.00336
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00398
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
gcesapelo,WL,0001,rising,gcc_90,2014-04-05,2014-05-04,2014-05-17,2014-03-29,2014-05-01,2014-05-11,2014-04-11,2014-05-07,2014-05-31,0.35236,0.36004,0.37471,0.34768,0.40132
gcesapelo,WL,0001,rising,gcc_90,2015-03-18,2015-04-15,2015-05-28,2015-03-09,2015-04-07,2015-05-21,2015-04-05,2015-04-21,2015-06-01,0.34295,0.35231,0.36895,0.33688,0.39947
gcesapelo,WL,0001,rising,gcc_75,2014-04-06,2014-05-05,2014-05-28,2014-03-31,2014-05-01,2014-05-20,2014-04-14,2014-05-09,2014-06-01,0.35204,0.36026,0.37473,0.34654,0.40254
gcesapelo,WL,0001,rising,gcc_75,2015-03-14,2015-04-09,2015-05-22,2015-03-05,2015-04-01,2015-05-14,2015-03-25,2015-04-15,2015-05-28,0.33978,0.3479,0.36214,0.33444,0.38935
gcesapelo,WL,0001,rising,gcc_50,2014-04-07,2014-05-05,2014-05-26,2014-04-01,2014-04-29,2014-05-21,2014-04-19,2014-05-09,2014-05-30,0.35015,0.35738,0.3694,0.34566,0.39277
gcesapelo,WL,0001,rising,gcc_50,2015-03-17,2015-04-09,2015-05-23,2015-03-07,2015-04-01,2015-05-16,2015-03-26,2015-04-16,2015-05-28,0.33824,0.34538,0.35851,0.33338,0.38272
gcesapelo,WL,0001,rising,gcc_mean,2014-04-06,2014-05-03,2014-05-20,2014-04-01,2014-04-28,2014-05-13,2014-04-11,2014-05-07,2014-05-29,0.34839,0.35532,0.36738,0.34422,0.39043
gcesapelo,WL,0001,rising,gcc_mean,2015-03-17,2015-04-10,2015-05-25,2015-03-08,2015-04-02,2015-05-19,2015-03-27,2015-04-19,2015-05-29,0.33842,0.34635,0.36014,0.33328,0.38616
gcesapelo,WL,0001,falling,gcc_90,2015-11-17,2015-10-11,2015-10-04,2015-11-21,2015-10-15,2015-10-06,2015-11-14,2015-10-08,2015-10-02,0.34872,0.35636,0.37107,0.34375,0.39763
gcesapelo,WL,0001,falling,gcc_90,2014-10-29,2014-10-21,2014-10-04,2014-11-03,2014-10-25,2014-10-06,2014-10-25,2014-10-13,2014-10-02,0.34378,0.35341,0.3701,0.3379,0.40141
gcesapelo,WL,0001,falling,gcc_90,2013-11-24,2013-11-07,2013-10-19,2013-12-03,2013-11-12,2013-10-24,2013-11-13,2013-10-30,2013-10-16,0.35064,0.3596,0.37672,0.34458,0.4068
gcesapelo,WL,0001,falling,gcc_75,2015-11-18,2015-10-13,2015-10-04,2015-11-22,2015-10-17,2015-10-07,2015-11-14,2015-10-09,2015-10-02,0.34667,0.35323,0.36686,0.34229,0.38889
gcesapelo,WL,0001,falling,gcc_75,2014-10-30,2014-10-18,2014-10-04,2014-11-03,2014-10-24,2014-10-07,2014-10-26,2014-10-14,2014-10-03,0.34194,0.35192,0.36969,0.33643,0.39884
gcesapelo,WL,0001,falling,gcc_75,2013-11-24,2013-11-05,2013-10-18,2013-12-01,2013-11-11,2013-10-23,2013-11-15,2013-10-31,2013-10-15,0.34928,0.35772,0.37296,0.34374,0.40057
gcesapelo,WL,0001,falling,gcc_50,2015-11-16,2015-10-13,2015-10-02,2015-11-21,2015-10-18,2015-10-05,2015-11-10,2015-10-08,2015-09-30,0.34449,0.35044,0.3615,0.34038,0.38254
gcesapelo,WL,0001,falling,gcc_50,2014-10-31,2014-10-21,2014-10-04,2014-11-04,2014-10-25,2014-10-07,2014-10-27,2014-10-15,2014-10-03,0.34004,0.34886,0.36532,0.33501,0.39193
gcesapelo,WL,0001,falling,gcc_50,2013-11-26,2013-11-07,2013-10-19,2013-12-01,2013-11-13,2013-10-23,2013-11-17,2013-11-01,2013-10-16,0.34633,0.35368,0.36627,0.34169,0.39062
gcesapelo,WL,0001,falling,gcc_mean,2015-11-16,2015-10-10,2015-09-29,2015-11-20,2015-10-18,2015-10-02,2015-11-13,2015-10-06,2015-09-28,0.3449,0.35138,0.36375,0.3407,0.38347
gcesapelo,WL,0001,falling,gcc_mean,2014-10-30,2014-10-24,2014-10-05,2014-11-03,2014-10-26,2014-10-07,2014-10-27,2014-10-20,2014-10-03,0.34029,0.34707,0.3602,0.33575,0.38366
gcesapelo,WL,0001,falling,gcc_mean,2013-11-25,2013-11-07,2013-10-19,2013-12-01,2013-11-12,2013-10-23,2013-11-16,2013-11-01,2013-10-16,0.34643,0.3535,0.36642,0.34176,0.39052
