#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2011
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:45:15
# Spline RMSE gcc_mean: 0.00358
# Spline RMSE gcc_50: 0.00402
# Spline RMSE gcc_75: 0.00321
# Spline RMSE gcc_90: 0.00318
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,EN,0001,rising,gcc_90,2009-04-07,2009-04-13,2009-04-22,2009-03-02,2009-04-12,2009-04-19,2009-04-08,2009-04-16,2009-04-25,0.33668,0.34383,0.35891,0.33174,0.38433
groundhog,EN,0001,rising,gcc_90,2010-03-01,2010-03-06,2010-03-29,2010-02-27,2010-03-04,2010-03-25,2010-03-03,2010-03-09,2010-04-01,0.33701,0.3446,0.35793,0.33226,0.38255
groundhog,EN,0001,rising,gcc_90,2011-03-19,2011-03-20,2011-04-04,2011-03-03,2011-03-03,2011-03-03,2011-04-14,2011-04-14,2011-04-14,0.3392,0.34568,0.36037,0.33491,0.38387
groundhog,EN,0001,rising,gcc_75,2009-04-07,2009-04-13,2009-04-21,2009-03-02,2009-04-12,2009-04-18,2009-04-08,2009-04-16,2009-04-24,0.33495,0.34235,0.3567,0.33039,0.38227
groundhog,EN,0001,rising,gcc_75,2010-02-28,2010-03-05,2010-03-29,2010-02-26,2010-03-03,2010-03-24,2010-03-03,2010-03-08,2010-04-01,0.33426,0.34227,0.35643,0.33016,0.38129
groundhog,EN,0001,rising,gcc_75,2011-03-19,2011-03-20,2011-04-29,2011-03-03,2011-03-03,2011-04-26,2011-04-14,2011-04-14,2011-05-02,0.3393,0.34485,0.35911,0.33492,0.38315
groundhog,EN,0001,rising,gcc_50,2009-04-06,2009-04-13,2009-04-23,2009-03-04,2009-04-11,2009-04-20,2009-04-07,2009-04-16,2009-04-25,0.3337,0.34121,0.35561,0.32937,0.38023
groundhog,EN,0001,rising,gcc_50,2010-02-28,2010-03-05,2010-03-28,2010-02-26,2010-03-03,2010-03-23,2010-03-03,2010-03-09,2010-04-01,0.33223,0.34015,0.35413,0.32785,0.37986
groundhog,EN,0001,rising,gcc_50,2011-03-22,2011-03-24,2011-04-29,2011-03-03,2011-03-03,2011-04-25,2011-04-14,2011-04-14,2011-05-01,0.3352,0.34395,0.35769,0.33278,0.38102
groundhog,EN,0001,rising,gcc_mean,2009-04-06,2009-04-13,2009-04-23,2009-03-04,2009-04-11,2009-04-20,2009-04-07,2009-04-16,2009-04-25,0.33324,0.34047,0.35473,0.32868,0.37862
groundhog,EN,0001,rising,gcc_mean,2010-03-01,2010-03-06,2010-04-07,2010-02-27,2010-03-04,2010-03-30,2010-03-04,2010-03-10,2010-04-13,0.3325,0.34038,0.35399,0.32822,0.37891
groundhog,EN,0001,rising,gcc_mean,2011-03-22,2011-03-24,2011-03-27,2011-03-03,2011-03-03,2011-03-03,2011-04-14,2011-04-14,2011-04-14,0.33195,0.34283,0.35568,0.33083,0.38034
groundhog,EN,0001,falling,gcc_90,2011-11-28,2011-11-20,2011-11-03,2011-12-01,2011-11-24,2011-11-09,2011-11-24,2011-11-15,2011-10-28,0.33935,0.3461,0.35737,0.33552,0.3789
groundhog,EN,0001,falling,gcc_90,2010-11-13,2010-10-27,2010-10-05,2010-11-18,2010-11-03,2010-10-11,2010-11-05,2010-10-20,2010-10-01,0.34602,0.35195,0.36222,0.34263,0.38084
groundhog,EN,0001,falling,gcc_90,2009-11-15,2009-10-31,2009-10-04,2009-11-19,2009-11-09,2009-10-08,2009-11-06,2009-10-16,2009-07-04,0.35006,0.35481,0.36303,0.34703,0.3788
groundhog,EN,0001,falling,gcc_75,2011-11-27,2011-11-20,2011-11-01,2011-11-30,2011-11-23,2011-11-08,2011-11-23,2011-11-15,2011-10-27,0.33875,0.34503,0.35683,0.33496,0.37791
groundhog,EN,0001,falling,gcc_75,2010-11-11,2010-10-25,2010-10-04,2010-11-15,2010-11-02,2010-10-09,2010-11-01,2010-10-17,2010-09-30,0.34625,0.35187,0.36161,0.34276,0.38002
groundhog,EN,0001,falling,gcc_75,2009-10-20,2009-10-13,2009-09-21,2009-11-10,2009-10-17,2009-10-08,2009-10-14,2009-07-16,2009-07-04,0.35347,0.35746,0.36578,0.35059,0.3808
groundhog,EN,0001,falling,gcc_50,2011-11-24,2011-11-17,2011-10-30,2011-11-28,2011-11-21,2011-11-05,2011-11-21,2011-11-12,2011-10-26,0.33914,0.34524,0.3564,0.33504,0.37673
groundhog,EN,0001,falling,gcc_50,2010-11-21,2010-11-12,2010-10-11,2010-11-24,2010-11-15,2010-10-18,2010-11-17,2010-11-06,2010-10-06,0.33632,0.34343,0.35605,0.33192,0.37962
groundhog,EN,0001,falling,gcc_50,2009-10-19,2009-10-13,2009-09-26,2009-10-28,2009-10-16,2009-10-08,2009-10-14,2009-07-17,2009-07-04,0.35186,0.35572,0.36413,0.34906,0.37808
groundhog,EN,0001,falling,gcc_50,2008-11-18,2008-11-11,2008-10-29,2008-11-21,2008-11-14,2008-11-02,2008-11-15,2008-11-08,2008-09-16,0.32829,0.33632,0.34923,0.32364,0.37447
groundhog,EN,0001,falling,gcc_mean,2011-11-24,2011-11-16,2011-10-31,2011-11-28,2011-11-20,2011-11-05,2011-11-20,2011-11-10,2011-10-26,0.33819,0.34446,0.35543,0.33468,0.37592
groundhog,EN,0001,falling,gcc_mean,2010-11-11,2010-10-23,2010-10-04,2010-11-14,2010-11-02,2010-10-10,2010-11-03,2010-10-17,2010-09-30,0.3436,0.34954,0.35964,0.34013,0.37814
groundhog,EN,0001,falling,gcc_mean,2009-10-19,2009-10-13,2009-10-03,2009-10-26,2009-10-16,2009-10-08,2009-10-14,2009-07-25,2009-07-04,0.35014,0.35487,0.3627,0.3476,0.37747
groundhog,EN,0001,falling,gcc_mean,2008-11-15,2008-11-09,2008-10-24,2008-11-17,2008-11-11,2008-10-30,2008-11-12,2008-11-06,2008-09-02,0.33291,0.34,0.35158,0.32925,0.3737
