#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:48:28
# Spline RMSE gcc_mean: 0.00262
# Spline RMSE gcc_50: 0.00277
# Spline RMSE gcc_75: 0.00287
# Spline RMSE gcc_90: 0.00373
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,0001,rising,gcc_90,2012-04-29,2012-05-03,2012-05-09,2012-04-27,2012-05-02,2012-05-07,2012-05-01,2012-05-05,2012-05-10,0.32501,0.33751,0.36761,0.31555,0.41118
harvardbarn2,DB,0001,rising,gcc_90,2013-05-02,2013-05-06,2013-05-12,2013-05-01,2013-05-05,2013-05-10,2013-05-04,2013-05-08,2013-05-13,0.32111,0.33686,0.36986,0.31289,0.42133
harvardbarn2,DB,0001,rising,gcc_90,2014-05-11,2014-05-14,2014-05-19,2014-05-10,2014-05-13,2014-05-18,2014-05-13,2014-05-16,2014-05-20,0.32575,0.34104,0.37028,0.31844,0.42188
harvardbarn2,DB,0001,rising,gcc_90,2015-05-05,2015-05-08,2015-05-14,2015-05-04,2015-05-07,2015-05-12,2015-05-07,2015-05-10,2015-05-15,0.32899,0.34444,0.37921,0.32099,0.42968
harvardbarn2,DB,0001,rising,gcc_75,2012-04-29,2012-05-04,2012-05-09,2012-04-26,2012-05-03,2012-05-07,2012-05-01,2012-05-06,2012-05-10,0.32231,0.33504,0.3633,0.31301,0.4081
harvardbarn2,DB,0001,rising,gcc_75,2013-05-03,2013-05-06,2013-05-12,2013-05-02,2013-05-05,2013-05-10,2013-05-05,2013-05-08,2013-05-13,0.31943,0.33229,0.36773,0.31058,0.41463
harvardbarn2,DB,0001,rising,gcc_75,2014-05-11,2014-05-14,2014-05-19,2014-05-09,2014-05-13,2014-05-17,2014-05-12,2014-05-15,2014-05-20,0.32108,0.33602,0.3679,0.3108,0.4144
harvardbarn2,DB,0001,rising,gcc_75,2015-05-06,2015-05-08,2015-05-14,2015-05-05,2015-05-07,2015-05-12,2015-05-07,2015-05-10,2015-05-15,0.32749,0.33942,0.3778,0.31681,0.42612
harvardbarn2,DB,0001,rising,gcc_50,2012-04-30,2012-05-05,2012-05-11,2012-04-27,2012-05-04,2012-05-09,2012-05-03,2012-05-07,2012-05-12,0.32084,0.3326,0.36276,0.31206,0.40349
harvardbarn2,DB,0001,rising,gcc_50,2013-05-03,2013-05-06,2013-05-12,2013-05-02,2013-05-05,2013-05-10,2013-05-05,2013-05-08,2013-05-13,0.31646,0.32827,0.36203,0.30827,0.40826
harvardbarn2,DB,0001,rising,gcc_50,2014-05-10,2014-05-14,2014-05-19,2014-05-09,2014-05-13,2014-05-17,2014-05-12,2014-05-15,2014-05-20,0.3163,0.33349,0.36451,0.30872,0.40947
harvardbarn2,DB,0001,rising,gcc_50,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-12,2015-05-07,2015-05-10,2015-05-15,0.32409,0.34079,0.37191,0.31485,0.41987
harvardbarn2,DB,0001,rising,gcc_mean,2012-04-29,2012-05-05,2012-05-10,2012-04-27,2012-05-04,2012-05-09,2012-05-02,2012-05-06,2012-05-11,0.31958,0.33306,0.35816,0.31141,0.40167
harvardbarn2,DB,0001,rising,gcc_mean,2013-05-03,2013-05-07,2013-05-12,2013-05-02,2013-05-06,2013-05-10,2013-05-05,2013-05-08,2013-05-13,0.31519,0.33197,0.36006,0.30822,0.40499
harvardbarn2,DB,0001,rising,gcc_mean,2014-05-10,2014-05-13,2014-05-19,2014-05-09,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-20,0.3156,0.3273,0.36349,0.30759,0.40792
harvardbarn2,DB,0001,rising,gcc_mean,2015-05-06,2015-05-08,2015-05-14,2015-05-05,2015-05-07,2015-05-12,2015-05-07,2015-05-10,2015-05-15,0.32325,0.33426,0.37121,0.31402,0.41744
harvardbarn2,DB,0001,falling,gcc_90,2015-10-22,2015-10-15,2015-10-06,2015-10-24,2015-10-16,2015-10-08,2015-10-19,2015-10-13,2015-10-05,0.32819,0.3424,0.37053,0.31834,0.42092
harvardbarn2,DB,0001,falling,gcc_90,2014-10-22,2014-10-16,2014-10-08,2014-10-23,2014-10-17,2014-10-10,2014-10-19,2014-10-14,2014-10-07,0.32508,0.33883,0.36546,0.31798,0.40782
harvardbarn2,DB,0001,falling,gcc_90,2013-10-20,2013-10-12,2013-09-24,2013-10-21,2013-10-14,2013-09-27,2013-10-17,2013-10-09,2013-09-22,0.32132,0.3371,0.36375,0.31327,0.41078
harvardbarn2,DB,0001,falling,gcc_90,2012-10-15,2012-10-11,2012-09-27,2012-10-17,2012-10-12,2012-09-30,2012-10-13,2012-10-08,2012-09-24,0.33004,0.3408,0.36148,0.32364,0.39826
harvardbarn2,DB,0001,falling,gcc_75,2015-10-15,2015-10-12,2015-10-05,2015-10-17,2015-10-13,2015-10-07,2015-10-13,2015-10-10,2015-10-04,0.33579,0.34529,0.3732,0.32783,0.41583
harvardbarn2,DB,0001,falling,gcc_75,2014-10-17,2014-10-13,2014-10-07,2014-10-18,2014-10-14,2014-10-08,2014-10-15,2014-10-11,2014-10-06,0.33046,0.34391,0.36689,0.32393,0.40854
harvardbarn2,DB,0001,falling,gcc_75,2013-10-19,2013-10-13,2013-09-24,2013-10-21,2013-10-15,2013-09-27,2013-10-17,2013-10-11,2013-09-23,0.32064,0.3354,0.36189,0.3114,0.40908
harvardbarn2,DB,0001,falling,gcc_75,2012-10-12,2012-10-04,2012-09-23,2012-10-14,2012-10-07,2012-09-27,2012-10-09,2012-10-01,2012-09-20,0.33687,0.34638,0.36362,0.33137,0.39409
harvardbarn2,DB,0001,falling,gcc_50,2015-10-15,2015-10-11,2015-10-05,2015-10-17,2015-10-12,2015-10-07,2015-10-13,2015-10-10,2015-10-04,0.33219,0.34526,0.36763,0.32521,0.40949
