#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:49:29
# Spline RMSE gcc_mean: 0.00624
# Spline RMSE gcc_50: 0.00694
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00629
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,EN,0001,rising,gcc_90,2013-03-30,2013-04-06,2013-04-17,2013-03-27,2013-04-04,2013-04-14,2013-04-02,2013-04-08,2013-04-21,0.3429,0.35409,0.37311,0.3358,0.40961
harvardbarn2,EN,0001,rising,gcc_90,2014-04-02,2014-04-07,2014-04-17,2014-03-31,2014-04-05,2014-04-14,2014-04-04,2014-04-09,2014-04-18,0.34576,0.35759,0.37692,0.34,0.41084
harvardbarn2,EN,0001,rising,gcc_90,2015-04-08,2015-04-11,2015-04-18,2015-04-07,2015-04-10,2015-04-16,2015-04-10,2015-04-13,2015-04-19,0.3448,0.35462,0.38038,0.33812,0.41883
harvardbarn2,EN,0001,rising,gcc_75,2013-03-30,2013-04-05,2013-04-17,2013-03-27,2013-04-03,2013-04-13,2013-04-01,2013-04-08,2013-04-22,0.34075,0.35105,0.37107,0.33336,0.40834
harvardbarn2,EN,0001,rising,gcc_75,2014-04-02,2014-04-06,2014-04-16,2014-03-31,2014-04-05,2014-04-13,2014-04-04,2014-04-08,2014-04-18,0.34409,0.35374,0.37308,0.3377,0.40742
harvardbarn2,EN,0001,rising,gcc_75,2015-04-08,2015-04-11,2015-04-18,2015-04-06,2015-04-10,2015-04-16,2015-04-10,2015-04-13,2015-04-19,0.34205,0.35215,0.37786,0.33443,0.41528
harvardbarn2,EN,0001,rising,gcc_50,2013-03-29,2013-04-04,2013-04-15,2013-03-27,2013-04-02,2013-04-12,2013-04-01,2013-04-07,2013-04-19,0.33502,0.34701,0.36608,0.3292,0.4027
harvardbarn2,EN,0001,rising,gcc_50,2014-04-01,2014-04-05,2014-04-15,2014-03-30,2014-04-04,2014-04-12,2014-04-04,2014-04-08,2014-04-17,0.33921,0.34834,0.36812,0.33306,0.40219
harvardbarn2,EN,0001,rising,gcc_50,2015-04-07,2015-04-11,2015-04-17,2015-04-05,2015-04-10,2015-04-16,2015-04-09,2015-04-13,2015-04-18,0.33582,0.34774,0.36916,0.32798,0.40997
harvardbarn2,EN,0001,rising,gcc_mean,2013-03-29,2013-04-04,2013-04-16,2013-03-27,2013-04-02,2013-04-13,2013-04-01,2013-04-07,2013-04-19,0.3347,0.34594,0.36624,0.32878,0.4026
