#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:47:16
# Spline RMSE gcc_mean: 0.00282
# Spline RMSE gcc_50: 0.00281
# Spline RMSE gcc_75: 0.00305
# Spline RMSE gcc_90: 0.00333
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,0001,rising,gcc_90,2012-04-25,2012-05-03,2012-05-09,2012-04-18,2012-05-02,2012-05-08,2012-04-30,2012-05-05,2012-05-10,0.31128,0.32396,0.35112,0.30175,0.39853
harvardbarn,DB,0001,rising,gcc_90,2013-05-03,2013-05-05,2013-05-11,2013-05-02,2013-05-04,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.30648,0.31642,0.34834,0.29796,0.39323
harvardbarn,DB,0001,rising,gcc_90,2014-05-09,2014-05-13,2014-05-17,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30569,0.32387,0.35057,0.29854,0.40041
harvardbarn,DB,0001,rising,gcc_90,2015-05-04,2015-05-08,2015-05-12,2015-05-03,2015-05-07,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.307,0.32465,0.35122,0.30132,0.39691
harvardbarn,DB,0001,rising,gcc_75,2012-04-24,2012-05-03,2012-05-10,2012-04-18,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.30863,0.32129,0.35301,0.2994,0.39478
harvardbarn,DB,0001,rising,gcc_75,2013-05-03,2013-05-05,2013-05-11,2013-05-01,2013-05-04,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.30431,0.31366,0.34394,0.29481,0.39044
harvardbarn,DB,0001,rising,gcc_75,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30404,0.31669,0.34748,0.29576,0.39788
harvardbarn,DB,0001,rising,gcc_75,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30392,0.31755,0.34859,0.29815,0.39372
harvardbarn,DB,0001,rising,gcc_50,2012-04-21,2012-05-03,2012-05-10,2012-04-17,2012-05-01,2012-05-08,2012-04-25,2012-05-05,2012-05-11,0.30377,0.31769,0.34618,0.29419,0.39033
harvardbarn,DB,0001,rising,gcc_50,2013-05-02,2013-05-05,2013-05-11,2013-05-01,2013-05-04,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.29689,0.30911,0.33887,0.29012,0.38464
harvardbarn,DB,0001,rising,gcc_50,2014-05-09,2014-05-13,2014-05-18,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-15,2014-05-19,0.2998,0.31574,0.34902,0.29235,0.39344
harvardbarn,DB,0001,rising,gcc_50,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30045,0.31366,0.34401,0.29474,0.38882
harvardbarn,DB,0001,rising,gcc_mean,2012-04-20,2012-05-02,2012-05-10,2012-04-17,2012-05-01,2012-05-08,2012-04-25,2012-05-05,2012-05-11,0.30254,0.31551,0.34566,0.29401,0.38823
harvardbarn,DB,0001,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-11,2013-05-01,2013-05-04,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.29693,0.309,0.33868,0.28965,0.38098
harvardbarn,DB,0001,rising,gcc_mean,2014-05-09,2014-05-13,2014-05-18,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-19,0.30006,0.31655,0.34971,0.29187,0.39228
harvardbarn,DB,0001,rising,gcc_mean,2015-05-04,2015-05-08,2015-05-12,2015-05-03,2015-05-07,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30037,0.31743,0.34268,0.29459,0.38707
harvardbarn,DB,0001,falling,gcc_90,2015-10-30,2015-10-27,2015-10-17,2015-10-31,2015-10-28,2015-10-21,2015-10-28,2015-10-25,2015-10-15,0.30744,0.32302,0.34611,0.30211,0.38746
harvardbarn,DB,0001,falling,gcc_90,2014-10-25,2014-10-22,2014-10-16,2014-10-26,2014-10-23,2014-10-18,2014-10-23,2014-10-21,2014-10-15,0.30896,0.32323,0.34777,0.30305,0.38611
harvardbarn,DB,0001,falling,gcc_90,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-15,2013-10-21,2013-10-18,2013-10-11,0.30066,0.31329,0.33746,0.29271,0.37796
harvardbarn,DB,0001,falling,gcc_90,2012-10-19,2012-10-17,2012-10-13,2012-10-20,2012-10-18,2012-10-15,2012-10-18,2012-10-16,2012-10-12,0.30702,0.31822,0.34068,0.29948,0.37683
harvardbarn,DB,0001,falling,gcc_75,2015-10-28,2015-10-26,2015-10-19,2015-10-29,2015-10-27,2015-10-21,2015-10-27,2015-10-24,2015-10-16,0.30691,0.31852,0.3417,0.29844,0.38483
harvardbarn,DB,0001,falling,gcc_75,2014-10-25,2014-10-23,2014-10-17,2014-10-26,2014-10-24,2014-10-19,2014-10-23,2014-10-21,2014-10-16,0.30563,0.31558,0.342,0.29954,0.38287
