#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:48:17
# Spline RMSE gcc_mean: 0.00738
# Spline RMSE gcc_50: 0.00774
# Spline RMSE gcc_75: 0.0076
# Spline RMSE gcc_90: 0.00686
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,EN,0001,rising,gcc_90,2013-03-27,2013-04-03,2013-04-15,2013-03-25,2013-04-01,2013-04-12,2013-03-30,2013-04-06,2013-04-16,0.31897,0.32894,0.34765,0.3134,0.37941
harvardbarn,EN,0001,rising,gcc_90,2014-04-03,2014-04-07,2014-04-17,2014-04-01,2014-04-06,2014-04-14,2014-04-05,2014-04-09,2014-04-19,0.32389,0.33352,0.35115,0.31751,0.38349
harvardbarn,EN,0001,rising,gcc_90,2015-04-06,2015-04-10,2015-04-16,2015-04-03,2015-04-09,2015-04-14,2015-04-08,2015-04-12,2015-04-17,0.32942,0.33864,0.35578,0.32371,0.38465
harvardbarn,EN,0001,rising,gcc_75,2013-03-28,2013-04-03,2013-04-14,2013-03-26,2013-04-01,2013-04-12,2013-03-30,2013-04-06,2013-04-16,0.31731,0.32646,0.34409,0.31075,0.3771
harvardbarn,EN,0001,rising,gcc_75,2014-04-03,2014-04-07,2014-04-17,2014-04-02,2014-04-06,2014-04-15,2014-04-05,2014-04-09,2014-04-19,0.32136,0.33074,0.34903,0.31609,0.38094
harvardbarn,EN,0001,rising,gcc_75,2015-04-05,2015-04-09,2015-04-16,2015-04-03,2015-04-08,2015-04-14,2015-04-08,2015-04-11,2015-04-17,0.3257,0.3336,0.3534,0.32079,0.38121
harvardbarn,EN,0001,rising,gcc_50,2013-03-27,2013-04-02,2013-04-14,2013-03-25,2013-03-31,2013-04-11,2013-03-29,2013-04-04,2013-04-15,0.31213,0.32271,0.3411,0.30608,0.37342
harvardbarn,EN,0001,rising,gcc_50,2014-04-03,2014-04-07,2014-04-17,2014-04-01,2014-04-06,2014-04-15,2014-04-05,2014-04-09,2014-04-19,0.31681,0.3258,0.3456,0.31015,0.37948
harvardbarn,EN,0001,rising,gcc_50,2015-04-03,2015-04-08,2015-04-15,2015-03-31,2015-04-07,2015-04-13,2015-04-06,2015-04-10,2015-04-16,0.32062,0.32835,0.34704,0.31512,0.37782
harvardbarn,EN,0001,rising,gcc_mean,2013-03-27,2013-04-02,2013-04-14,2013-03-25,2013-03-31,2013-04-11,2013-03-29,2013-04-05,2013-04-16,0.31258,0.32197,0.34043,0.30614,0.37279
harvardbarn,EN,0001,rising,gcc_mean,2014-04-03,2014-04-07,2014-04-17,2014-04-01,2014-04-06,2014-04-15,2014-04-05,2014-04-09,2014-04-19,0.31577,0.32497,0.34425,0.30882,0.37912
harvardbarn,EN,0001,rising,gcc_mean,2015-04-04,2015-04-09,2015-04-16,2015-04-01,2015-04-07,2015-04-14,2015-04-07,2015-04-11,2015-04-17,0.32122,0.32996,0.34644,0.31524,0.37513
harvardbarn,EN,0001,falling,gcc_90,2015-01-02,2014-12-03,2014-11-15,2015-01-03,2014-12-04,2014-11-18,2014-12-29,2014-12-01,2014-11-14,0.33215,0.34085,0.35794,0.32801,0.3856
harvardbarn,EN,0001,falling,gcc_90,2013-12-02,2013-11-24,2013-11-12,2013-12-04,2013-11-27,2013-11-16,2013-11-28,2013-11-21,2013-11-07,0.33219,0.33976,0.35283,0.32802,0.37744
harvardbarn,EN,0001,falling,gcc_90,2012-12-20,2012-11-27,2012-11-15,2012-12-22,2012-11-29,2012-11-19,2012-12-16,2012-11-24,2012-11-11,0.32365,0.33264,0.34985,0.31807,0.38039
harvardbarn,EN,0001,falling,gcc_75,2014-12-07,2014-12-03,2014-11-14,2014-12-31,2014-12-05,2014-11-16,2014-12-05,2014-12-01,2014-11-12,0.33362,0.34158,0.35637,0.32877,0.3828
harvardbarn,EN,0001,falling,gcc_75,2013-12-04,2013-11-28,2013-11-15,2013-12-06,2013-11-30,2013-11-19,2013-12-03,2013-11-24,2013-11-11,0.32702,0.33449,0.34861,0.32248,0.37426
harvardbarn,EN,0001,falling,gcc_75,2012-12-22,2012-12-14,2012-11-17,2012-12-24,2012-12-18,2012-11-20,2012-12-19,2012-11-27,2012-11-14,0.31968,0.32942,0.34657,0.31386,0.37766
harvardbarn,EN,0001,falling,gcc_50,2014-12-08,2014-12-05,2014-11-14,2014-12-10,2014-12-06,2014-11-17,2014-12-07,2014-12-03,2014-11-13,0.32518,0.33306,0.35178,0.31968,0.37999
harvardbarn,EN,0001,falling,gcc_50,2013-12-06,2013-11-27,2013-11-15,2013-12-08,2013-12-01,2013-11-19,2013-12-02,2013-11-23,2013-11-09,0.32239,0.33096,0.34443,0.3177,0.37094
harvardbarn,EN,0001,falling,gcc_50,2012-12-23,2012-12-17,2012-11-18,2012-12-25,2012-12-19,2012-11-21,2012-12-20,2012-12-12,2012-11-16,0.31392,0.32337,0.34122,0.30798,0.373
harvardbarn,EN,0001,falling,gcc_mean,2014-12-08,2014-12-05,2014-11-14,2014-12-10,2014-12-06,2014-11-16,2014-12-07,2014-12-03,2014-11-13,0.32469,0.33262,0.3503,0.31956,0.3792
harvardbarn,EN,0001,falling,gcc_mean,2013-12-01,2013-11-25,2013-11-14,2013-12-03,2013-11-27,2013-11-18,2013-11-28,2013-11-22,2013-11-08,0.32333,0.33061,0.34401,0.31896,0.369
harvardbarn,EN,0001,falling,gcc_mean,2012-12-23,2012-12-16,2012-11-18,2012-12-26,2012-12-19,2012-11-20,2012-12-20,2012-12-09,2012-11-15,0.31336,0.32264,0.33973,0.30723,0.37161
