#
# Transition date estimate for harvardblo
#
# Site: harvardblo
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:49:45
# Spline RMSE gcc_mean: 0.00324
# Spline RMSE gcc_50: 0.00315
# Spline RMSE gcc_75: 0.00405
# Spline RMSE gcc_90: 0.00438
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardblo,DB,0001,rising,gcc_90,2009-04-27,2009-05-02,2009-05-08,2009-04-25,2009-05-01,2009-05-07,2009-04-30,2009-05-04,2009-05-09,0.35204,0.36494,0.38815,0.34448,0.43144
harvardblo,DB,0001,rising,gcc_90,2010-04-22,2010-04-27,2010-05-03,2010-04-20,2010-04-25,2010-05-01,2010-04-24,2010-04-29,2010-05-04,0.35242,0.36691,0.39176,0.34377,0.4366
harvardblo,DB,0001,rising,gcc_90,2011-05-02,2011-05-06,2011-05-12,2011-04-30,2011-05-05,2011-05-10,2011-05-04,2011-05-07,2011-05-13,0.35421,0.36944,0.39952,0.34552,0.44161
harvardblo,DB,0001,rising,gcc_90,2012-04-23,2012-04-29,2012-05-05,2012-04-15,2012-04-28,2012-05-04,2012-04-26,2012-05-01,2012-05-06,0.35496,0.36688,0.39161,0.34629,0.43636
harvardblo,DB,0001,rising,gcc_90,2013-04-29,2013-05-04,2013-05-10,2013-04-28,2013-05-03,2013-05-09,2013-05-02,2013-05-06,2013-05-11,0.35521,0.37032,0.39683,0.34751,0.44568
harvardblo,DB,0001,rising,gcc_90,2014-05-07,2014-05-11,2014-05-17,2014-05-05,2014-05-10,2014-05-15,2014-05-09,2014-05-13,2014-05-18,0.35657,0.37052,0.3986,0.34827,0.44473
harvardblo,DB,0001,rising,gcc_90,2015-04-30,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-09,2015-05-03,2015-05-07,2015-05-12,0.35643,0.37051,0.4008,0.34844,0.44754
harvardblo,DB,0001,rising,gcc_75,2009-04-27,2009-05-02,2009-05-08,2009-04-25,2009-04-30,2009-05-06,2009-04-29,2009-05-04,2009-05-09,0.35067,0.36331,0.38488,0.34417,0.42101
harvardblo,DB,0001,rising,gcc_75,2010-04-22,2010-04-26,2010-05-03,2010-04-20,2010-04-25,2010-05-01,2010-04-24,2010-04-28,2010-05-04,0.35143,0.36222,0.38807,0.3431,0.42671
harvardblo,DB,0001,rising,gcc_75,2011-05-02,2011-05-06,2011-05-12,2011-04-30,2011-05-05,2011-05-10,2011-05-04,2011-05-08,2011-05-13,0.35282,0.3664,0.39276,0.34471,0.4332
