#
# Transition date estimate for harvardhemlock
#
# Site: harvardhemlock
# Veg Type: EN
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:51:33
# Spline RMSE gcc_mean: 0.00377
# Spline RMSE gcc_50: 0.00426
# Spline RMSE gcc_75: 0.00498
# Spline RMSE gcc_90: 0.0058
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardhemlock,EN,0002,rising,gcc_90,2013-03-17,2013-04-05,2013-04-29,2013-03-12,2013-03-30,2013-04-24,2013-03-24,2013-04-11,2013-05-06,0.37701,0.38337,0.39451,0.37298,0.41568
harvardhemlock,EN,0002,rising,gcc_90,2014-03-31,2014-04-12,2014-05-11,2014-03-26,2014-04-07,2014-05-04,2014-04-05,2014-04-17,2014-05-15,0.37745,0.38391,0.39463,0.37383,0.41465
harvardhemlock,EN,0002,rising,gcc_90,2015-04-03,2015-04-12,2015-04-26,2015-03-28,2015-04-08,2015-04-22,2015-04-09,2015-04-17,2015-04-30,0.37794,0.38195,0.38923,0.37547,0.40288
harvardhemlock,EN,0002,rising,gcc_75,2013-03-19,2013-04-06,2013-04-28,2013-03-14,2013-04-01,2013-04-23,2013-03-26,2013-04-11,2013-05-03,0.37386,0.38063,0.39196,0.3698,0.41322
harvardhemlock,EN,0002,rising,gcc_75,2014-03-31,2014-04-07,2014-05-09,2014-03-27,2014-04-05,2014-05-05,2014-04-03,2014-04-11,2014-05-13,0.37379,0.3799,0.39055,0.36994,0.41087
harvardhemlock,EN,0002,rising,gcc_75,2015-04-04,2015-04-12,2015-04-27,2015-03-31,2015-04-08,2015-04-23,2015-04-08,2015-04-18,2015-05-01,0.37462,0.37884,0.38616,0.37221,0.39972
harvardhemlock,EN,0002,rising,gcc_50,2013-03-25,2013-04-07,2013-04-25,2013-03-10,2013-04-01,2013-04-21,2013-03-31,2013-04-13,2013-04-30,0.37037,0.37615,0.38625,0.36701,0.40468
harvardhemlock,EN,0002,rising,gcc_50,2014-04-03,2014-04-08,2014-05-07,2014-03-31,2014-04-06,2014-05-03,2014-04-06,2014-04-11,2014-05-10,0.37077,0.37564,0.38424,0.36762,0.40054
harvardhemlock,EN,0002,rising,gcc_50,2015-03-31,2015-04-07,2015-04-28,2015-03-23,2015-04-05,2015-04-16,2015-04-06,2015-04-11,2015-05-01,0.36842,0.37192,0.37973,0.36586,0.39339
harvardhemlock,EN,0002,rising,gcc_mean,2013-03-24,2013-04-07,2013-04-23,2013-03-21,2013-03-29,2013-04-18,2013-03-29,2013-04-13,2013-05-03,0.36939,0.37446,0.3825,0.36686,0.39799
