#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 0003
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:53:50
# Spline RMSE gcc_mean: 0.0032
# Spline RMSE gcc_50: 0.00357
# Spline RMSE gcc_75: 0.0035
# Spline RMSE gcc_90: 0.00375
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,0003,rising,gcc_90,2011-04-05,2011-04-11,2011-05-01,2011-03-25,2011-04-08,2011-04-27,2011-04-09,2011-04-25,2011-05-20,0.35692,0.36248,0.37292,0.35353,0.39081
howland1,EN,0003,rising,gcc_90,2012-03-16,2012-03-17,2012-03-22,2012-03-14,2012-03-16,2012-03-21,2012-03-18,2012-03-19,2012-04-14,0.35505,0.35858,0.3702,0.35273,0.3857
howland1,EN,0003,rising,gcc_90,2013-03-30,2013-04-16,2013-04-29,2013-03-24,2013-04-13,2013-04-25,2013-04-14,2013-04-21,2013-05-02,0.3572,0.36225,0.37227,0.35376,0.38869
howland1,EN,0003,rising,gcc_90,2014-04-07,2014-04-12,2014-05-04,2014-04-04,2014-04-09,2014-05-01,2014-04-10,2014-04-29,2014-05-07,0.35645,0.36184,0.37113,0.35358,0.38723
howland1,EN,0003,rising,gcc_90,2015-04-10,2015-04-13,2015-05-03,2015-04-08,2015-04-11,2015-04-30,2015-04-13,2015-04-17,2015-05-06,0.35645,0.36119,0.37059,0.35424,0.38663
howland1,EN,0003,rising,gcc_75,2011-04-04,2011-04-09,2011-04-30,2011-03-25,2011-04-07,2011-04-27,2011-04-07,2011-04-25,2011-05-22,0.35492,0.36025,0.37036,0.35172,0.38848
howland1,EN,0003,rising,gcc_75,2012-03-16,2012-03-17,2012-03-21,2012-03-14,2012-03-16,2012-03-20,2012-03-17,2012-03-19,2012-04-14,0.3544,0.35801,0.36848,0.3519,0.38368
howland1,EN,0003,rising,gcc_75,2013-03-31,2013-04-16,2013-04-29,2013-03-25,2013-04-13,2013-04-25,2013-04-14,2013-04-21,2013-05-02,0.35604,0.36053,0.37012,0.35266,0.38662
howland1,EN,0003,rising,gcc_75,2014-04-07,2014-04-13,2014-05-08,2014-04-03,2014-04-10,2014-05-04,2014-04-11,2014-05-01,2014-05-11,0.35573,0.3607,0.37009,0.35259,0.38631
howland1,EN,0003,rising,gcc_75,2015-04-10,2015-04-13,2015-05-03,2015-04-09,2015-04-11,2015-04-30,2015-04-13,2015-04-16,2015-05-05,0.35457,0.35976,0.36917,0.35268,0.38426
