#
# Transition date estimate for howland2
#
# Site: howland2
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:54:29
# Spline RMSE gcc_mean: 0.0048
# Spline RMSE gcc_50: 0.00598
# Spline RMSE gcc_75: 0.00543
# Spline RMSE gcc_90: 0.00642
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland2,DB,0002,rising,gcc_90,2014-05-27,2014-05-29,2014-06-03,2014-05-11,2014-05-28,2014-06-01,2014-05-29,2014-05-31,2014-06-04,0.35334,0.3655,0.41018,0.34308,0.46115
howland2,DB,0002,rising,gcc_90,2015-05-22,2015-05-25,2015-05-29,2015-05-14,2015-05-24,2015-05-27,2015-05-25,2015-05-27,2015-05-30,0.3486,0.36393,0.39914,0.34052,0.44562
howland2,DB,0002,rising,gcc_75,2014-05-27,2014-05-29,2014-06-03,2014-05-25,2014-05-28,2014-06-01,2014-05-29,2014-05-31,2014-06-04,0.35145,0.36351,0.40547,0.34268,0.45035
howland2,DB,0002,rising,gcc_75,2015-05-22,2015-05-25,2015-05-29,2015-05-15,2015-05-24,2015-05-28,2015-05-25,2015-05-27,2015-05-30,0.3479,0.36161,0.3933,0.34014,0.44225
howland2,DB,0002,rising,gcc_50,2014-05-26,2014-05-29,2014-06-03,2014-05-24,2014-05-28,2014-06-01,2014-05-29,2014-05-31,2014-06-04,0.34796,0.36198,0.3956,0.34172,0.44026
howland2,DB,0002,rising,gcc_50,2015-05-21,2015-05-25,2015-05-29,2015-05-18,2015-05-24,2015-05-27,2015-05-24,2015-05-27,2015-05-30,0.34729,0.36172,0.38852,0.33974,0.43299
howland2,DB,0002,rising,gcc_mean,2014-05-27,2014-05-30,2014-06-03,2014-05-26,2014-05-29,2014-06-02,2014-05-29,2014-06-01,2014-06-04,0.34786,0.36256,0.39362,0.34184,0.44223
howland2,DB,0002,rising,gcc_mean,2015-05-22,2015-05-25,2015-05-29,2015-05-15,2015-05-24,2015-05-28,2015-05-24,2015-05-27,2015-05-30,0.34697,0.36003,0.39034,0.33955,0.43496
howland2,DB,0002,falling,gcc_90,2015-09-26,2015-09-25,2015-09-22,2015-10-08,2015-10-08,2015-10-08,2015-08-21,2015-08-21,2015-08-21,0.36284,0.37118,0.40844,0.36255,0.43748
howland2,DB,0002,falling,gcc_90,2014-09-29,2014-09-27,2014-09-24,2014-09-30,2014-09-28,2014-09-25,2014-09-27,2014-09-26,2014-09-23,0.34073,0.35866,0.3938,0.3336,0.44707
howland2,DB,0002,falling,gcc_75,2015-09-26,2015-09-25,2015-09-22,2015-10-08,2015-10-08,2015-10-08,2015-08-21,2015-08-21,2015-08-21,0.36,0.36816,0.40407,0.36,0.43438
howland2,DB,0002,falling,gcc_75,2014-09-29,2014-09-27,2014-09-24,2014-09-30,2014-09-28,2014-09-26,2014-09-27,2014-09-26,2014-09-23,0.33795,0.35531,0.38947,0.3311,0.43534
howland2,DB,0002,falling,gcc_50,2015-10-07,2015-10-05,2015-10-02,2015-10-08,2015-10-08,2015-10-08,2015-08-21,2015-08-21,2015-08-21,0.32851,0.34495,0.37676,0.31955,0.42989
howland2,DB,0002,falling,gcc_50,2014-09-28,2014-09-26,2014-09-22,2014-09-29,2014-09-27,2014-09-24,2014-09-26,2014-09-25,2014-09-21,0.34092,0.35629,0.38421,0.33584,0.42693
howland2,DB,0002,falling,gcc_mean,2015-09-26,2015-09-24,2015-09-22,2015-10-08,2015-10-08,2015-10-08,2015-08-21,2015-08-21,2015-08-21,0.3518,0.36941,0.39188,0.35007,0.42883
howland2,DB,0002,falling,gcc_mean,2014-09-29,2014-09-27,2014-09-23,2014-09-30,2014-09-28,2014-09-25,2014-09-27,2014-09-26,2014-09-22,0.33077,0.34649,0.38576,0.32645,0.43036
